Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML,Compound formula,mz_y,rt_y,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
148,231.1495,23.99,754013227.9998144,780789898.2574962,809632861.7692442,788892594.9217373,780251499.343509,767502769.2311459,775803347.2859297,767022307.418392,783782374.2928826,777549771.9422011,C14H18N2O,231.1495,23.99,1.01,0.627,1/1,782716016.4583603,2.5522494079045552,774332114.0341103,0.9175067553727156,0.9892887046541023,0.9794937669842597
149,325.1715,8.18,1156857587.814744,959528040.4139524,589648857.9426076,1018621339.2496628,940944869.4993724,986417250.2107388,731783832.5484812,1145183013.5206056,1143394301.126567,1173272303.7073565,C20H21FN2O,325.1715,8.18,1.0,0.877,1/1,933120138.9840677,22.485997161663178,1036010140.2227497,17.88330215286701,1.1102644739301235,1.1102644739301235
150,528.1878,10.33,346970537.2874187,302652245.7680333,220299427.485482,354678450.812329,296570637.88963413,363485723.508359,302299192.50837785,350197892.07671404,363436381.5217489,246555110.45585465,C27H29NO10,528.1878,10.33,1.01,0.905,1/1,304234259.84857947,17.606850336305026,325194860.0142109,15.575646970280891,1.0688962517767189,1.0583131205710088
151,475.1149,4.43,55388397.44987984,55001400.53703329,57488187.50250995,57668929.65933865,58197616.64727728,36192492.96391424,39085910.25909072,35560150.03027408,36410498.210322864,37861607.11954987,C22H24BrFN4O2,475.1149,4.43,0.69,0.002,1/1,56748906.35920781,2.5530640344204327,37022131.716630355,3.8587954953356576,0.6523849372935681,0.9454854163674901
154,387.2535,28.93,578567591.4463837,460458990.4390094,479042280.32658255,465790110.5825799,562735267.176026,441269009.3667642,455961935.8248055,445695488.3082399,450701124.4720508,526908327.6595338,C24H34O4,387.2535,28.93,0.93,0.462,1/1,509318847.9941163,11.127254983242958,464107177.1262789,7.656393302636114,0.911231105925301,0.9798183934680655
155,255.1132,10.35,605674727.0121531,528200270.2756472,553605754.7547874,601201809.0257465,512475417.9136444,563914185.3296313,557974890.3031838,558290613.5579153,543747504.7007256,542617523.7599736,C15H14N2O2,255.1132,10.35,0.91,0.357,1/1,560231595.7963957,7.517163867402757,553308943.530286,1.7259248530816502,0.9876432312671176,1.0853222321616676
156,282.1605,5.14,655615501.296479,636974588.1529441,605893123.2506127,619816590.6803973,670500525.7446115,669605549.3358469,563223030.2302092,692657760.4181609,625067534.2073498,521183991.885536,C17H19N3O,282.1605,5.14,1.06,0.467,1/1,637760065.825009,4.095452051785593,614347573.2154206,11.679558022784718,0.9632894973138497,0.908763676711179
157,242.0807,0.65,176033944.1604755,158613003.21464914,189494448.83672816,184938135.76109132,177434518.1549721,315558996.73877776,335103569.72194934,302031698.4467173,319931741.7713938,373345067.69009054,C9H12ClN5O,242.0807,0.65,0.99,0.348,1/1,177302810.02558324,6.660718581049002,329194214.8737858,8.310446418004396,1.8566779332278263,1.875432255785683
158,375.184,12.42,902597705.1584438,1023571738.3474302,890264834.6987127,1164667628.590787,1031123735.6123766,1049258644.3237392,798491755.913818,1080274643.259765,1031077243.2254032,849460053.9257259,C21H27ClN2O2,375.184,12.42,0.91,0.091,1/1,1002445128.48155,11.16854583165242,961712468.1296902,13.333777523684581,0.959366693303643,1.0542491135204868
159,315.0726,11.46,18436697.838909943,13352324.586357992,12381416.339768073,17968749.06017895,12099687.05158917,13289272.851008806,13503882.825147765,13347723.826244293,19283738.593093675,13569401.003022484,C14H10N4O5,315.0726,11.46,0.92,0.661,1/1,14847774.975360826,20.892701650606213,14598803.819703406,17.956349507728405,0.9832317531703858,1.0687301664895497
160,433.2156,6.05,252001277.10612127,256446952.13242203,269018744.6063601,257147858.964506,245837036.0990448,170816520.52143252,168538378.70420364,189434785.91136557,188043831.0867116,202914782.3357506,C24H25FN6O,433.2156,6.05,1.01,0.458,1/1,256090373.78169084,3.3262528804965075,183949659.71189278,7.766980395238825,0.7182997822038567,0.7111879031721353
161,206.1404,3.65,634276833.7893411,710361781.6580837,864635209.3316511,704796570.0497679,956433340.2376496,744056235.988894,527942862.74331135,834190190.898974,731711504.6496723,451425226.9815499,C10H15N5,206.1404,3.65,1.04,0.707,1/1,774100747.0132987,17.071864240377934,657865204.2524803,24.447823840414785,0.849844425019239,0.8171581009800374
162,288.1598,0.63,226086472.4565364,213997034.71565628,216253165.490302,230682761.21399692,233246467.32355103,209754546.565369,210311887.9155192,177956208.178483,197286168.3647993,223519637.7408128,C17H21NO3,288.1598,0.63,0.96,0.452,1/1,224053180.2400085,3.8301166413332415,203765689.75299665,8.418536646310548,0.909452343121041,0.9473461907510844
163,415.212,27.01,618658605.1272376,587723803.4014596,619531922.9687405,606179223.3839183,708227387.9392452,657034517.1737857,680482729.7355294,661946425.7531228,671203061.92829,667487024.081652,C24H30O6,415.212,27.01,0.98,0.782,1/1,628064188.5641202,7.422809836113148,667630751.734476,1.3450247406600777,1.0629976424237988,1.0846914718610192
164,403.0429,27.36,462711654.7029778,355188548.6250282,389266511.3452736,368815820.8132963,463790483.2265835,373519140.42941856,371262809.5034055,369070879.12154967,374997731.8293088,371806947.5159571,C17H14Cl2F2N2O3,403.0429,27.36,0.88,0.048,1/1,407954603.7426319,12.726068315438138,372131501.67992795,0.6063868459759574,0.9121885088829544,1.0365778510033574
165,406.2092,3.63,161550155.21773565,164015370.104333,180849523.4054286,152646226.53082708,175972794.4411324,175703099.2365033,177913551.1437354,172338408.8374541,165900305.79145142,167759751.98200244,C19H27N5O5,406.2092,3.63,1.05,0.444,1/1,167006813.93989137,6.807132056201666,171923023.39822936,2.9652161199338165,1.0294371788932362,0.980416360850701
166,352.2124,14.58,843543165.2438257,820989707.3634319,450415670.8054699,970081980.664843,773685751.5157573,286344096.73385215,75754397.7518643,649547122.8511536,986133612.041904,937093162.2935362,C19H29NO5,352.2124,14.58,0.97,0.617,1/1,771743255.1186655,25.106973405179517,586974478.334462,68.01555794686857,0.7605825829267626,0.7841057555946006
167,510.1585,13.11,234527273.87740096,236380842.14746663,157559376.71711308,262437220.8863865,231439594.27708203,245460538.8199366,138947365.9939534,296704502.5577909,319925474.02394295,284726158.087692,C25H25Cl2N7O,510.1585,13.11,1.13,0.028,1/1,224468861.58108982,17.553526103797193,257152807.8966632,27.75362757954058,1.1456057026589688,1.0138103563353706
168,319.0753,7.82,36729580.177739866,36132312.052800015,37042067.17946807,34187542.978711314,33883933.744819686,38505441.99863636,38532760.19667228,35865216.589356035,36638205.710212246,46539055.957647055,C15H14N2O4S,319.0753,7.82,1.08,0.036,1/1,35595087.226707794,4.1142411306644675,39216136.090504795,10.853985071064978,1.1017288942357204,1.020119346514556
169,845.4837,11.12,98765208.59690364,101200022.30792823,110185688.66974172,102253693.45206738,112468605.8848464,33324754.26719497,14682743.237026762,67797859.39804797,111924973.93713668,113354592.4254311,C43H65FN6O10,845.4837,11.12,0.87,0.056,1/1,104974643.78229748,5.706189170217601,68216984.6529675,65.68584210625305,0.6498424971504533,0.7469453990235095
170,535.1584,28.18,708756106.396628,601758710.5203118,629003956.1128726,620553519.2150884,730450275.2671466,505077922.0759049,486244411.8035112,505705543.4452261,533974000.9603247,636310982.4676454,C23H21F7N4O3,535.1584,28.18,0.91,0.19,1/1,658104513.5024095,8.739282402897489,533462572.1505224,11.240927687317177,0.8106046398488487,0.8907743295042293
171,540.2617,12.53,326942930.1563624,336573496.30654645,283428532.06204563,373978941.2940349,332291994.7924201,345577571.4734188,295015849.3825131,333591862.2906568,319183341.13746965,288133101.03933764,C31H33N5O4,540.2617,12.53,1.1,0.121,1/1,330643178.9222819,9.752005702766981,316300345.0646792,7.761735185505938,0.9566214131368063,0.8696558301243693
172,980.5722,31.51,221656166.16410533,180319320.00137743,167595606.51669466,193070115.63098148,209561734.67649457,207864423.7812541,201477317.7736304,205811164.31005,211907252.589925,218253822.13080555,C53H83NO14,980.5722,31.51,0.99,0.846,1/1,194440588.5979307,11.183063382754195,209062796.117133,3.045119121447665,1.0752014156336385,1.0860620359935742
173,445.1468,9.18,126983294.82658917,116163805.77420764,89669442.79984164,118076264.09875694,114489940.66593018,132191190.5068352,115594243.18820524,134348197.29158008,123726068.81995603,93559260.40538992,C24H25FO5S,445.1468,9.18,1.16,0.012,1/1,113076549.6330651,12.332068918594167,119883792.0423933,13.749642709379678,1.0602003017550303,0.9139657773750262
174,289.2278,5.51,1355116251.885895,1406932917.619956,1454155510.8430295,1387027152.027264,1412365239.0691557,1364888128.6069927,1214234616.1127782,1425892603.1604838,1454746659.098403,1427942594.4094927,C18H28N2O,289.2278,5.51,0.84,0.047,1/1,1403119414.28906,2.586409302950478,1377540920.27763,7.044524341632666,0.9817702657728599,1.1687741259200712
175,483.0852,29.62,597301553.352388,537261321.7635329,545584534.8009126,545606450.1936306,608279898.3411777,524168846.9400722,548135569.442803,550163527.4390926,528853549.9027349,564059084.1424531,C21H15ClF4N4O3,483.0852,29.62,0.95,0.157,1/1,566806751.6903284,5.866510280741998,543076115.5734313,3.019891543827164,0.9581327568062171,1.0085607966381234
176,1270.4492,25.87,6314872.40906927,8534832.670773936,7661251.383388296,7886967.389014797,8268785.981803868,11246998.274682129,10460246.610839598,11756122.971199963,8491349.47530465,4852560.494850992,C56H71N9O23S,1270.4492,25.87,1.07,0.338,1/1,7733341.966810033,11.142348193952834,9361455.565375466,30.016635225347578,1.2105316958118462,1.131338033469015
177,720.4344,24.9,710548669.663488,671580382.0703428,630714568.6114266,701550859.9364699,686095898.0646095,653159798.8372146,641712079.0782664,714905385.1811383,707379241.5000416,644618119.1284536,C40H57N5O7,720.4344,24.9,0.98,0.508,1/1,680098075.6692674,4.611637633861804,672354924.745023,5.318048233511798,0.9886146554427101,1.0087904647374593
178,564.3096,31.34,176488.98895983043,122877.53830429338,163162.3240780778,181340.4786611728,165651.6509354913,196352.58272301187,97925.49066041857,200476.65692787172,291291.6092848691,242885.05606520397,C30H46NO7P,564.3096,31.34,0.89,0.213,1/1,161904.19618777314,14.250144560264449,205786.27913227503,34.73596303102078,1.2710373416981013,1.4281318446046083
179,412.1925,27.1,2385984.879950345,2221420.904067645,2375864.404849078,2327436.3758608587,3005428.0567287467,1083162.6517305567,1294988.0411999058,1026369.6609352756,966744.4595676096,1041387.7415327828,C24H26FNO4,412.1925,27.1,0.98,0.791,1/1,2463226.9242913346,12.58658789802081,1082530.5109932262,11.629106074682536,0.43947656641690375,0.44844547593561607
180,847.4508,22.58,98928586.05996504,58769384.68861624,11105998.861895386,65211968.82005237,43198936.15031802,31342217.90344338,14937585.284005351,28566072.563843086,12012026.645351226,4062188.640138662,C46H62N4O11,847.4508,22.58,0.93,0.276,1/1,55442974.91616942,57.8378800020889,18184018.20735634,63.2414000683364,0.32797695713209546,0.352663394765694
181,294.1604,4.47,40858290.25579244,40148144.05590458,37717588.709692,41637995.39281256,45445562.25507183,43720058.22985355,42019339.9382756,39629522.5643416,34399313.21888274,28330496.42512038,C18H19N3O,294.1604,4.47,1.0,0.926,1/1,41161516.13385468,6.824083123201767,37619746.07529478,16.667795711534666,0.9139543342611024,0.9139543342611024
182,329.1321,31.5,2561729555.54028,2223893210.222012,2346777455.3236094,2233917137.062819,2726745110.819711,1940172763.7317803,1909694105.5054507,1958949672.6718657,1980836599.8877084,2382068368.4669185,C18H20N2O2S,329.1321,31.5,0.82,0.063,1/1,2418612493.7936864,9.072989317302236,2034344302.0527446,9.64086571508522,0.8411203974481243,1.0257565822538102
183,465.0944,29.04,1153927885.9709194,1029758078.2073504,1059997601.9865872,1059944370.2760274,1163202537.7504678,1621281460.541278,1625542625.3249023,1635574322.5528371,1632834835.0825512,1766161293.4320312,C21H16ClF3N4O3,465.0944,29.04,0.95,0.283,1/1,1093366094.8382707,5.567338845110336,1656278907.38672,3.7245358233776207,1.5148438525814307,1.5945724764015061
184,296.1859,4.58,919278569.5806026,939578052.074825,1038016682.660926,935562674.0056056,1038601492.1580734,749348379.7916769,678569497.6966864,769864156.3674093,806284604.2145793,862122005.4595575,C16H25NO4,296.1859,4.58,0.92,0.157,1/1,974207494.0960066,6.05707597428504,773237728.7059819,8.803853093143791,0.7937094852914163,0.8627277014037134
185,221.1111,3.81,539350444.4293032,591266692.0396752,620496895.0484991,622980348.3318113,637907766.5284529,598261421.8183144,535313670.0180017,606581071.5969617,646511000.8873765,512908145.2985276,C12H16N2S,221.1111,3.81,1.01,0.859,1/1,602400429.2755483,6.488473537102152,579915061.9238365,9.429867939699879,0.9626737195742823,0.9531422966082003
186,304.2023,0.64,184755916.98044693,185196687.56255835,168469946.1547295,194196301.6490945,193112991.2161872,102392234.22054648,99764468.37416293,84741621.46877381,97168869.07601716,105932392.1630238,C17H25N3O2,304.2023,0.64,0.98,0.654,1/1,185146368.7126033,5.558355521470419,97999917.06050484,8.255280807631205,0.5293105003459556,0.5401127554550568
188,379.1657,25.46,629592056.289848,745832913.642342,664524123.3580879,646863089.3305746,640095748.3726037,548671187.1362196,530014800.48859984,569813792.9351231,597186707.9141004,600641196.5440084,C22H22N2O4,379.1657,25.46,0.88,0.069,1/1,665381586.1986911,7.023672307479824,569265537.0036103,5.363589016704752,0.8555474765326923,0.972213041514423
189,390.1578,4.43,60392747.25721512,51657654.062631816,43435085.55356151,59021030.87422028,57301714.03465566,69828703.09197791,65197473.08353887,66662531.95007709,57109696.1441223,44144765.08698318,C18H20FN5O4,390.1578,4.43,1.04,0.481,1/1,54361646.356456876,12.79200393749088,60588633.87133987,17.033032484005584,1.1145474416659822,1.0716802323711367
190,391.1479,3.22,30497012.58509912,18682138.361801136,28854476.49443333,30037741.799062595,31495871.30121598,47353892.21860462,53955404.99337616,58999554.51912482,48664604.82270959,50159481.39877549,C15H18N8O5,391.1479,3.22,1.01,0.766,1/1,27913448.108322434,18.797370842632617,51826587.59051813,9.089499728470502,1.8566888400672348,1.8383057822447868
191,502.1781,15.95,1921377750.1608284,1898572263.012018,1441466381.389119,2058004949.1405616,1887988595.488498,1980029272.4824648,1427228452.5421116,2045004227.9934456,1911404985.95602,1541703544.373876,C28H24FN3O5,502.1781,15.95,1.06,0.327,1/1,1841481987.8382049,12.697759422246136,1781074096.6695836,15.598392256499388,0.9671960455939421,0.9124490996169264
192,285.0673,24.71,222006757.6755148,224446399.4629538,227242676.4408559,217713738.7441788,218078382.7314081,212520518.71650496,219653074.0854469,219013585.3943925,213732434.99609235,215703931.0578557,C15H9FN2O3,285.0673,24.71,1.04,0.107,1/1,221897591.01098228,1.8467268872484208,216124708.85005847,1.4574034053546556,0.9739840250873292,0.9365231010455088
193,371.1269,7.93,93990.58191202258,189512.26045404785,283946.76734698104,86995.78953232603,157528.82282620465,113214320.7034335,116720516.8388864,104886496.69405334,103668957.71579528,111122761.71128772,C17H15FN6O3,371.1269,7.93,0.85,0.06,1/1,162394.84441431644,49.548602319913385,109922610.73269124,5.043837967989838,676.8848551142838,796.3351236638633
194,445.1641,14.47,240490633.06924856,235730678.49219403,251950116.82798517,267601912.12780836,229873390.02979103,254526305.28988975,251570516.34622824,256247187.6866477,270244290.105466,254349075.33752856,C20H21FN6O5,445.1641,14.47,1.03,0.539,1/1,245129346.10940543,6.0992505570404125,257387474.95315203,2.8672429227741905,1.0500067782103721,1.0194240565149244
195,308.2587,24.82,954914179.079505,1048238630.1438724,906135893.1357708,963612728.2175508,966516726.5432,906511351.2119548,707418760.0527731,961522112.8465452,849177482.4540043,631973685.9478694,C19H33NO2,308.2587,24.82,0.95,0.013,1/1,967883631.4239798,5.282891503499126,811320678.5026294,16.99141181781388,0.838241966453126,0.8823599646875011
196,588.9704,29.71,391333172.0582447,330834778.58846,347738427.489796,338131893.1091336,391920353.7953625,328436357.0640325,340976447.8311455,321885907.9544554,332102506.6385838,387683137.95850426,C19H20Br2N6O4S,588.9704,29.71,0.92,0.216,1/1,359991725.00819933,8.19327521827537,342216871.4893443,7.695609714160838,0.9506242719372224,1.0332872521056764
198,376.1405,13.82,1113201125.604494,1171254726.1812322,935953364.6169928,1315906018.3656938,1121240861.3179164,367142544.853006,117504763.64425446,773519784.7236805,1175506008.8483565,1295961530.778961,C20H25NO2S2,376.1405,13.82,1.0,0.967,1/1,1131511219.217266,12.042095595908698,745926926.5696518,67.9040999521571,0.6592306942264824,0.6592306942264824
199,393.2178,9.77,538860504.0077807,472532497.1827012,374690210.0778963,471818894.2493388,482446514.4471832,95996.76422575105,172320.2767952076,264865.1223024514,350001.22331580054,455631.366251736,C24H28N2O3,393.2178,9.77,0.92,0.051,1/1,468069723.9929801,12.626546736905544,267762.95057818934,53.03954265832167,0.0005720578299616856,0.0006218019890887887
200,451.1654,28.92,581132903.8321862,514119028.639368,528051130.1875935,518212993.8207399,564419118.828036,490922370.8122462,486779750.2456103,478182547.0273079,489426306.05342233,520406006.4089379,C23H23ClN6O2,451.1654,28.92,0.91,0.112,1/1,541187035.0615847,5.519016331198554,493143396.109505,3.248169876215188,0.9112254436276128,1.001346641349025
201,227.1142,0.67,30669077.84450277,25763820.419075437,24786743.64598992,32858891.82921256,29746253.39876281,36122809.77276395,30397514.06579268,30567486.3698766,36394732.39593359,36844161.57445486,C9H14N4O3,227.1142,0.67,1.15,0.071,1/1,28764957.4275087,11.812512398169659,34065340.83576433,9.632517289923792,1.1842652964675253,1.0297959099717613
202,616.0869,27.03,61025251.09111475,56229344.08705416,58187116.00327618,55976141.4069656,67850557.54753022,41126427.4898855,47561767.371227294,39193203.61560685,40756530.360945225,45519160.44572565,C26H23FIN5O4,616.0869,27.03,0.81,0.048,1/1,59853682.02718818,8.196478093979566,42831417.856678106,8.258571019531207,0.7156020549783753,0.8834593271337966
203,442.1894,15.4,277975633.06909806,272782813.1593353,164207883.6540797,321655662.81280506,275841572.9033377,257001885.0533449,138879004.77244198,314187208.3266298,367892211.7368603,281083713.4789938,C22H24FN5O4,442.1894,15.4,0.99,0.894,1/1,262492713.11973113,22.28223098432491,271808804.6736542,31.3279565752914,1.035490857796398,1.045950361410503
204,398.1981,10.87,1019697152.78838,961511505.1677914,1017783066.1072685,912849964.1328832,957097363.7065748,719189146.3747442,782478787.5296552,695205382.648316,757888400.6343775,728482498.4551775,C24H23N5O,398.1981,10.87,0.92,0.006,1/1,973787810.3805796,4.64558290763854,736648843.128454,4.62377022247164,0.7564777821983149,0.8222584589112117
205,267.1859,7.84,1062543525.9253048,1084601105.2842026,1049174995.3844674,1095942115.614246,1055712014.9292384,1173781919.6086843,980193526.1501808,1271588035.757262,1280991005.5885918,1382434821.2166348,C18H22N2,267.1859,7.84,1.08,0.037,1/1,1069594751.4274919,1.8574325034338768,1217797861.6642709,12.479473208360863,1.1385600574787653,1.054222275443301
207,493.2638,17.94,3880868340.709126,2507862431.017295,459440281.9672546,2779243949.106984,2017966805.8794656,8818497845.246721,6358322123.197552,9020323524.347504,8672004204.61313,6319921405.932428,C28H36N4O2S,493.2638,17.94,1.05,0.263,1/1,2329076361.736025,53.604910016600904,7837813820.667467,17.527302645925367,3.365202596803392,3.2049548540984687
208,417.1284,25.33,112771433.306538,128167399.63493848,111693132.03603284,113900268.21744904,114274194.78111789,112880116.26016197,117519682.28663117,108206083.7645329,108498400.51507153,107788786.6483596,C21H21FN2O4S,417.1284,25.33,0.97,0.506,1/1,116161285.59521525,5.843088824870878,110978613.89495143,3.780613419806195,0.9553838297010265,0.9849317831969346
209,299.1579,16.58,549584030.8473755,273307988.993904,30620273.392049324,290910472.7008804,173585815.82613283,1987893401.2682188,1074853151.0526469,2636324178.6703043,3016243770.3718834,2237751524.728873,C18H22N2S,299.1579,16.58,0.98,0.681,1/1,263601716.35206842,72.2302915877581,2190613205.2183847,33.6116798865211,8.310314650199718,8.479912908367059
210,399.167,3.98,402459885.7173055,414245752.65482026,471866681.32106537,413669458.4774036,443433252.81006455,279092534.71065634,246868116.1847232,262587539.74256077,261213633.62522924,191418823.98403585,C20H22N4O5,399.167,3.98,0.98,0.652,1/1,429135006.1961318,6.593952057929414,248236129.64944106,13.596409201234705,0.57845695658766,0.5902622005996532
211,186.0916,6.19,17553195.97083317,18007612.39913326,17565055.082076203,17340132.43103279,17025080.383634377,15303332.394123292,14900365.9961159,15638854.914331302,15246746.712466303,18800753.91551708,C12H11NO,186.0916,6.19,1.12,0.189,1/1,17498215.25334196,2.0522320487261214,15978010.786510775,10.010907183527387,0.9131223130575649,0.8152877795156829
212,307.1669,6.47,881943470.9478765,1004135632.7322792,1135999505.8769703,1090384436.4960363,1168154592.672295,1539192710.4453166,1336860632.7102222,1483509166.0118966,1247283505.7556047,835270162.1314564,C17H18N6,307.1669,6.47,1.05,0.229,1/1,1056123527.7450917,10.91420505697773,1288423235.4108992,21.61839701706358,1.2199550540851845,1.1618619562716042
213,316.0351,28.12,63878185.55856109,41558542.75313786,41842797.61035444,43804706.56357512,59015912.51129106,40437180.38826907,41654802.61139783,40028684.33057693,39933736.80098606,55851517.37942021,C14H9ClF3NO2,316.0351,28.12,0.91,0.519,1/1,50020028.99938391,21.20632355466675,43581184.30213002,15.817586856688004,0.8712746708456887,0.9574446932370204
214,810.4564,32.31,8229646.731283294,6321595.430990372,7126017.467146924,7587300.376322807,8967392.790267544,10476511.54930406,10476814.217459988,9619748.856697222,9899025.584637564,12795629.477269484,C43H68ClNO11,810.4564,32.31,0.95,0.444,1/1,7646390.559202189,13.264080789914507,10653545.937073663,11.769859104772893,1.3932777634870426,1.4666081720916238
215,394.1403,12.58,141380497.47930607,139730643.07501763,110027537.16013604,148514443.71368647,130424975.54388388,114359181.157977,76456595.34898582,148035449.742267,163222176.6481999,138753099.31888694,C21H19N3O5,394.1403,12.58,1.09,0.127,1/1,134015619.394406,11.101817092263051,128165300.44326334,26.46019248677672,0.9563459917763372,0.877381643831502
216,463.0861,31.42,2970256161.466431,2517886016.7742224,2688146050.0171385,2654205413.9953794,2866502358.235498,678525.6116649352,687283.9258604572,849579.7410616628,739542.1588270869,877619.2447661045,C22H21Cl3N4O,463.0861,31.42,0.97,0.44,1/1,2739399200.097734,6.540371915308353,766510.1364360494,12.026380184830359,0.0002798095788334546,0.00028846348333345836
218,308.1431,4.04,190008027.6020364,168656261.6239907,212684155.1294172,192008032.9654455,204773256.384264,334705610.921049,322422138.0713851,324221118.36019355,315459419.4551975,319075474.45759445,C15H21N3O2S,308.1431,4.04,1.07,0.242,1/1,193625946.74103075,8.66771875301733,323176752.2530839,2.2470987530917674,1.6690777124272693,1.5598857125488497
219,416.1636,9.18,248042730.9624035,243299038.56359,176312351.66340342,244013782.6294832,234236590.73901108,5726559.764597757,1017628.603531844,37584520.50783588,65052971.363490194,41494156.277995855,C22H18FN7O,416.1636,9.18,1.01,0.755,1/1,229180898.91157824,13.082364013581016,30175167.303490303,88.41841105826163,0.13166528033879638,0.1303616637017786
220,351.1959,32.56,3767822.14815923,4554261.509073282,5311119.519316353,5587467.36229774,11042333.74904394,4654987.595053274,3483045.938972776,4347330.787317963,5290280.510439508,10286632.772188695,C23H26O3,351.1959,32.56,0.95,0.71,1/1,6052600.857578109,47.54785225632201,5612455.520794444,47.977934863271294,0.9272799665564292,0.9760841753225571
221,392.2006,21.74,13003338.411694275,12046610.462049024,12414291.869379072,12071675.738321813,12005604.295927938,12547435.54628652,12699258.0439412,12597967.381290635,11187269.902639706,12382619.477936337,C22H28FO5,392.2006,21.74,1.05,0.552,1/1,12308304.155474424,3.4239409097958395,12282910.070418878,5.072796526517549,0.9979368331546916,0.9504160315758967
222,204.0303,0.67,4143265.542772202,4395184.885568643,6052810.533792157,6242777.27222147,4357835.310130651,4774196.269553312,5992527.993690711,6399086.109973943,6336918.280143918,7661126.957362888,C5H11NO4S,204.0303,0.67,0.74,0.001,1/1,5038374.708897025,20.23516712997688,6232771.122144954,16.564966087546885,1.237059862010422,1.6717025162303
223,302.1754,3.41,194780593.2765023,192866919.34482083,227335108.71627557,195386677.73827264,223622046.8337522,109488941.84933184,112995882.39430556,102244477.95416068,103792263.5317718,99895129.39355852,C18H23NO3,302.1754,3.41,1.0,0.927,1/1,206798269.1819247,8.282676683300563,105683339.02462567,5.114446738900875,0.5110455684310098,0.5110455684310098
224,339.2167,31.5,561507.0178231176,334935.9541939625,192839.78328037035,1512946.7362972144,244126.21859489495,1142089.0250890483,1440843.2049483953,1264017.982658644,1182974.933743375,1398813.2039687803,C19H30O5,339.2167,31.5,0.76,0.61,1/1,569271.1420379119,95.93031948307207,1285747.6700816485,10.178723956252652,2.2585857162526275,2.97182331085872
225,331.0439,27.22,82707659.34129284,53975008.89836556,57424448.78088572,53626065.20745699,84219390.65324195,53877424.63939874,54353490.89264233,53905525.97235389,51752127.39715868,52810671.10945869,C10H19O6PS2,331.0439,27.22,0.84,0.149,1/1,66390514.57624861,23.595423452134053,53339848.002202466,1.97460138846277,0.8034257354782568,0.9564592089026867
226,192.1385,13.66,4669886772.65304,4772453266.009267,4781391932.754425,5670008932.496514,4674398441.436752,5659731552.684888,5646362043.727676,5702581688.196453,6653959474.003719,5657373177.20494,C12H17NO,192.1385,13.66,0.98,0.753,1/1,4913627869.07,8.67134975914902,5864001587.163535,7.539551690833449,1.1934158921712181,1.2177713185420593
227,340.3695,29.46,262350133.85167256,227931048.36285397,143810435.54579437,227810515.9088897,261696447.91361228,273241601.2965103,279108078.55269426,261181892.9796129,258648636.0161636,282909108.01023,C21H45N3,340.3695,29.46,1.13,0.474,1/1,224719716.31656462,21.514096975006048,271017863.3710422,3.9634910747291827,1.2060261903733314,1.0672798144896738
228,555.253,3.66,827935562.4453617,788418190.163156,866176028.0898958,773625981.9688938,842767199.7151043,857039443.8975022,920354197.7566456,874830871.1939973,818497663.8253949,826241271.337796,C22H42N4O8S2,555.253,3.66,1.06,0.445,1/1,819784592.4764822,4.669455103596114,859392689.6022673,4.7735064281995925,1.0483152495049135,0.9889766504763334
230,305.1084,29.94,3265776798.6702776,2750185406.9384613,3038495756.8991146,2769611283.7506704,3491672006.684408,2742537023.459412,2698574986.792163,2827806356.334732,2784239873.843354,2581117349.477258,C12H21N2O3PS,305.1084,29.94,0.88,0.09,1/1,3063148250.588587,10.444324332416901,2726855117.981384,3.467875134680074,0.890213236482242,1.0116059505480024
231,109.0763,0.71,275046406.0487475,285174020.59956163,280089335.06327,287070149.79159456,294196300.36079514,279352363.5945383,273374402.0665184,258121839.6625568,269221718.8304596,276144289.61500573,C6H8N2,109.0763,0.71,0.94,0.221,1/1,284315242.3727938,2.546842857859011,271242922.75381577,3.0321983307260587,0.9540217418177053,1.01491674661458
232,204.1386,18.06,3470123551.3294387,3494768361.133437,3618747580.575361,3478445040.5080867,3559343521.825222,3593780943.733123,3263659051.1769843,3151059424.9025707,3558520921.4163327,3067014076.438869,C13H17NO,204.1386,18.06,0.94,0.43,1/1,3524285611.074309,1.7978289077002516,3326806883.533576,7.165958511899455,0.9439663099607483,1.0042194786816472
