,Compound Name,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_1_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_2_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_3_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_4_Area,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
235,236,12299.54,11979.829,13882.797,16079.495,16889.162,17147.771,C12H13NO3,220.0968,6.94,0.85,0.004,1/1,16615.424,2.9475089216214325,13560.41525,13.82102880215261,0.8161341684690081,0.9601578452576566
236,237,87148.585,88675.927,85998.444,92541.174,78380.497,73552.729,C14H10N2O,223.0867,10.9,1.16,0.052,1/1,74968.23675,3.184995551639043,88591.0325,3.220031641310233,1.1817142344621039,1.018719167639745
237,238,3664.744,3485.128,3866.816,4443.479,3312.34,3342.54,C7H6N2,119.0602,4.97,1.15,0.382,1/1,3305.6142499999996,5.740834217133935,3865.0417500000003,10.76188369059587,1.1692355664306568,1.0167265795049192
238,239,766.518,870.792,784.506,822.873,633.393,657.97,C7H4ClNOS,185.9774,11.02,1.2,0.023,1/1,661.35775,4.134436944589092,811.17225,5.692433075215268,1.2265256587678908,1.022104715639909
239,240,19200.974,18721.648,20116.207,21863.997,15572.963,14240.777,C12H11N5,226.1087,3.69,1.34,0.005,1/1,14786.565750000002,4.039588620103622,19975.7065,6.9355779113626825,1.3509361698810962,1.008161320806788
240,241,66232.037,66688.348,63812.02,62966.207,67896.345,65294.472,C20H25NO,296.2011,6.88,1.09,0.26,1/1,68770.095,4.687029136367812,64924.653,2.797055686774426,0.9440826423171292,0.8661308645111276
241,242,96.197,94.614,101.997,106.879,96.919,84.14,C18H27NO3,306.2068,3.38,1.03,0.586,1/1,85.25524999999999,15.813317086032692,99.92175,5.624483089508101,1.1720304614671826,1.137893651909886
242,243,29025.798,27195.08,30424.443,32234.032,21265.328,23478.784,C25H32N2O4,425.2436,5.9,1.41,0.001,1/1,21372.47275,6.932022916353829,29719.83825,7.183506635219319,1.3905662015641125,0.986217164229867
243,244,95579.05,98610.697,104648.325,103353.507,99980.675,101168.473,C25H32N2O6,457.2334,8.6,0.98,0.762,1/1,98278.75825,6.713513334642764,100547.89474999999,4.18528094242395,1.023088778698524,1.0439681415291062
244,245,60023.223,53225.538,54437.107,51005.776,49860.181,56883.093,C15H10O2,223.0755,21.02,0.99,0.889,1/1,53797.12699999999,5.620090633844568,54672.91100000001,7.022588404991071,1.0162793823543776,1.0265448306609875
245,246,5243.51,5246.699,5441.095,6224.375,4225.71,4292.798,C9H9I2NO3,433.874,3.67,1.3,0.003,1/1,4374.922,4.502809856749028,5538.91975,8.417133779215458,1.2660613720656049,0.9738933631273883
246,247,1008.138,1160.901,1395.437,1207.287,692.235,807.542,C8H13NO2,156.1013,0.56,1.32,0.059,1/1,764.539,11.709500155276729,1192.94075,13.376310215370232,1.56033995649666,1.1820757246186817
248,249,14605.488,14892.626,15829.378,13984.497,14119.031,12652.181,C17H28O6,329.1942,6.53,1.13,0.036,1/1,13935.596250000002,6.26864974528715,14827.99725,5.1771535330017455,1.0640375183085544,0.9416261223969509
249,250,1360.845,1152.767,1270.661,1178.426,1158.713,1533.52,C10H6O3,175.0363,31.35,0.89,0.435,1/1,1398.509,12.942780502157342,1240.6747500000001,7.638398952696937,0.8871410552238135,0.9967877024986668
250,251,11658.745,11240.502,11505.397,12284.433,10102.103,10695.203,C15H12O2,225.091,19.03,1.28,0.021,1/1,10276.87975,2.732885566883422,11672.269250000001,3.7967693649951393,1.1357794908517833,0.8873277272279557
251,252,1636.945,1712.723,1989.743,1919.424,1505.574,1572.217,C11H8O3,189.0543,7.91,1.29,0.015,1/1,1575.27925,7.213317771708157,1814.70875,9.199075680173571,1.1519917817745646,0.8930168850965617
252,253,100720.024,98082.159,106612.208,96265.363,81465.258,75804.86,C22H31N3O3,386.244,7.92,1.11,0.176,1/1,82544.25175,6.183554031056603,100419.9385,4.496276703850736,1.2165588320327831,1.095998947777282
253,254,141189.578,145104.013,145545.734,157847.454,148788.675,147490.965,C20H31NO2,318.243,17.67,0.98,0.663,1/1,146737.5645,1.2285263693667112,147421.69475,4.898163677634275,1.004662270716644,1.0251655823639223
254,255,684.396,665.15,662.786,658.631,771.326,899.546,C13H16N4O6,325.114,3.04,0.99,0.698,1/1,895.2862500000001,9.890117627635114,667.7407499999999,1.7111125576317547,0.7458405063185097,0.7533742488065754
255,256,690.712,726.124,772.868,624.979,583.666,576.975,C13H16N4O6,325.1152,21.79,1.36,0.014,2/1,592.61575,6.046514816345936,703.67075,8.856939721313923,1.1873979893379478,0.873086756866138
256,257,8794.135,9085.29,9220.523,9990.583,7298.522,7987.006,C21H18O11,447.0919,6.64,1.3,0.003,1/1,7386.07175,5.54575801291002,9272.63275,5.506837578934353,1.2554214288535717,0.9657087914258243
257,258,4010.569,4245.604,4770.16,4709.684,1977.95,2039.71,C15H24N2O2,265.1909,0.67,1.83,0.052,2/1,2099.723,8.880742335610853,4434.00425,8.274126658621821,2.1117091397293835,1.1539394206171494
258,259,3805.654,3622.366,4191.99,4093.16,1408.426,1366.523,C15H24N2O,249.1959,0.62,2.94,0.015,4/1,1403.9075,5.837644888939255,3928.2925,6.660115085317477,2.798113479698627,0.9517392788090567
259,260,5507.08,6150.236,6505.07,6294.337,4532.932,4662.027,C22H16N4O3,385.1296,4.35,1.48,0.001,1/1,4299.6669999999995,8.09262217326123,6114.1807499999995,7.035505578972451,1.4220126233031536,0.9608193400696984
260,261,37873.838,39814.015,40740.547,42158.333,38408.989,37251.103,C14H22N4O4S,343.1434,4.43,1.12,0.193,1/1,37180.725,3.696098541707616,40146.68325,4.473376421786147,1.0797713936454978,0.9640816014691944
261,262,109524.661,113765.699,123980.191,122577.07,97373.147,99449.964,C24H27FN2O2,395.213,11.01,1.15,0.034,1/1,99710.63025000002,2.216137019741208,117461.90525,5.925120348978918,1.1780279089149572,1.0243720947086585
262,263,43146.119,43669.672,45622.665,47639.903,47318.193,42936.209,C24H32N2O2,381.2538,11.88,0.96,0.433,1/1,44827.407,4.436161262969004,45019.58975,4.545333048592006,1.0042871707926357,1.0461324695756622
263,264,33939.083,34573.459,33697.871,32923.343,29611.98,27158.919,C24H32N6O3,453.261,4.84,1.12,0.017,1/1,28766.435749999997,5.116291867497439,33783.439,2.018792443536844,1.1744047574611325,1.0485756763045824
264,265,83800.367,71681.575,79515.284,84907.293,71365.175,74272.633,C17H19N3O2S,330.1272,5.54,1.19,0.008,1/1,72390.68,3.170572579119351,79976.12975,7.50061210791026,1.10478489427092,0.9283906674545547
265,266,3938.14,3910.473,4105.938,4197.042,3347.995,2835.487,C18H14N6O2,347.1249,4.06,1.4,0.001,1/1,3006.6850000000004,8.444606233487308,4037.89825,3.387971224280334,1.3429734907381383,0.9592667790986703
266,267,8497.864,8171.914,7821.448,8161.28,7896.523,6339.363,C28H40BrN7O4,618.2396,7.97,1.04,0.749,1/1,8652.9785,22.405303420499674,8163.126499999999,3.383616201916119,0.9433892040757988,0.9071050039190374
268,269,155887.788,152722.214,126182.28,124718.341,114961.988,149764.097,C26H26F3N7O2,526.2176,23.04,1.08,0.304,1/1,138677.17100000003,11.78608543258087,139877.65575,11.953302642310994,1.0086566861823276,0.9339413760947477
269,270,39406.971,38567.794,40190.813,40921.967,34691.306,36266.003,C19H19N5O,334.1664,29.53,1.17,0.002,1/1,35445.036250000005,1.867166007049311,39771.88625,2.5481335558281817,1.1220720997287736,0.9590359826741656
270,271,2357.252,2535.901,2572.031,2586.71,1987.883,2195.186,C14H10F3NO5,330.0582,25.82,1.17,0.018,1/1,2059.18925,4.633046001657447,2512.9735,4.217592161070713,1.2203703472131084,1.0430515788146226
271,272,3243.007,3294.919,3611.089,3427.053,2489.017,2298.998,C21H24N4O2S,397.1691,6.41,1.68,0.009,1/1,2387.7264999999998,6.259772573209689,3394.017,4.836463776264789,1.4214429500196109,0.8460969940592922
272,273,22487.751,23082.746,23416.996,23514.967,22742.723,21908.239,C19H17Cl3N4O3,455.0437,27.0,0.97,0.676,1/1,23472.40375,5.848168680016048,23125.615,2.005373695932074,0.9852256823078889,1.0156965796988546
273,274,14046.929,13684.479,12639.766,13975.121,10496.397,11258.683,C18H19FN2O2,315.1502,7.67,1.23,0.0,1/1,10897.282500000001,2.9374158056966118,13586.57375,4.786825734832865,1.2467854944569894,1.013646743460967
274,275,26111.917,25897.184,22143.029,22388.987,24418.673,24087.726,C26H28N8O,469.2459,7.16,1.02,0.621,1/1,23803.799,2.507618866757369,24135.27925,8.960163279395985,1.0139255187795864,0.9940446262544964
275,276,18514.011,19408.004,19945.16,21807.47,16926.929,17084.003,C21H22FN3O,352.1818,5.17,1.18,0.068,1/1,17082.692,3.872883577238684,19918.66125,6.981879503369112,1.1660141885131454,0.9881476173840216
276,277,1560.78,1256.333,1469.238,1460.172,1099.761,1243.447,C16H15N7O,322.141,5.47,1.04,0.751,1/1,1250.9132499999998,9.643444055935156,1436.6307500000003,8.944628368913905,1.1484655310829912,1.1042937798874914
277,278,19922.187,18420.92,17670.869,17689.235,18739.227,17851.554,C27H32N8O2,501.2786,5.64,0.96,0.6,1/1,17968.551,3.0134461703273594,18425.802750000003,5.736434912518735,1.0254473357367548,1.0681743080591197
278,279,94059.623,87796.08,93606.608,97595.546,81198.229,79089.17,C23H23O2N5,402.1926,26.41,1.06,0.316,1/1,83444.58575,4.834447492486942,93264.46424999999,4.351452732272203,1.1176814338730179,1.0544164470500168
279,280,32190.58,33831.083,28338.683,34969.573,35288.209,37620.598,C18H14N4,287.1293,3.51,1.07,0.469,1/1,32871.15675,13.014016375371936,32332.47975,8.958747979934355,0.9836124720496792,0.9192639925697935
280,281,9735.222,10415.7,10279.388,11413.78,8799.343,8486.794,C19H21ClN4,341.1524,3.58,1.45,0.007,1/1,8659.207250000001,2.225583042438566,10461.0225,6.690546946273371,1.208080855207617,0.8331592104880118
281,282,8127.071,8304.594,9546.069,9681.68,7114.251,7071.057,C26H24N8O2,481.2092,3.69,1.26,0.0,1/1,6804.348,4.924270727812054,8914.853500000001,9.111713218382725,1.3101701294525208,1.0398175630575561
282,283,16449.634,17635.318,18193.841,18912.638,14816.832,14665.102,C21H24ClFN4O3,435.159,6.46,1.27,0.022,1/1,14635.018,1.3908366839855721,17797.85775,5.842377087825219,1.2161145104160445,0.9575704806425547
283,284,58617.014,64374.743,63125.43,70423.16,50386.071,53598.815,C24H17N3O6,444.1191,26.74,1.22,0.015,1/1,51066.12425,6.505860703432558,64135.08675,7.588817599747812,1.2559223495407525,1.0294445488038955
284,285,22044.187,23957.806,25301.928,25179.546,18735.699,18902.601,C25H25ClN6O4S,541.1421,21.91,1.24,0.01,1/1,19178.86675,2.441915165103366,24120.86675,6.266814899140118,1.257679458563421,1.0142576278737265
285,286,12946.249,12325.007,12990.282,11250.44,9262.986,9564.76,C26H19ClN8,479.1491,6.74,1.37,0.01,1/1,8725.32875,11.075781039144083,12377.9945,6.550012072493801,1.4186278654543532,1.0354947923024476
286,287,105549.12,112407.871,108338.538,102074.566,95660.618,80607.204,C25H34FN3O2,428.2709,18.56,1.09,0.335,1/1,92309.31049999999,9.021617167866825,107092.52375,4.083316480081881,1.1601486694020968,1.0643565774331163
287,288,31836.628,28634.702,23303.174,20323.295,29321.792,29681.841,C29H35N7O4,546.2824,6.3,1.04,0.849,1/1,27125.966,10.13280173055398,26024.44975,19.905118459738443,0.9593925521398943,0.9224928385960521
288,289,2111.311,2067.1,2159.62,2367.793,1762.256,2075.068,C34H44N4O4,573.3429,3.83,1.24,0.172,1/1,1694.2787500000002,17.091372608299668,2176.456,6.112515755144635,1.284591452262504,1.0359608485987934
289,290,21784.312,21996.042,24107.703,24539.278,17951.702,16517.841,C24H30N6O2,435.2501,5.5,1.41,0.033,1/1,17341.4915,3.976652013268115,23106.833749999998,6.138943231769293,1.3324594225358297,0.9450066826495247
290,291,33432.974,34890.565,35379.389,37281.57,30395.311,30983.902,C22H22F3N3O3,434.1688,12.54,1.17,0.033,1/1,29395.228000000003,5.151329258483109,35246.124500000005,4.508288773878563,1.1990423921869224,1.02482255742472
291,292,21824.227,24055.785,24946.361,25780.888,20427.223,19978.403,C24H29ClN6OS,485.1883,5.37,1.36,0.002,1/1,19503.439749999998,5.2112519770142365,24151.81525,7.055865100043477,1.2383361888766315,0.9105413153504643
292,293,33532.722,33871.845,32823.875,34019.073,31007.741,30566.47,C21H24FN5O5S,478.1557,26.36,1.08,0.056,1/1,31899.3295,4.0929498384375105,33561.87875,1.5865623834741664,1.0521186268194134,0.974183913721679
293,294,10470.288,11154.828,9191.953,9642.705,10270.05,9434.735,C26H40N4,409.3322,3.47,0.93,0.363,1/1,10265.705999999998,6.781991876900579,10114.943500000001,8.623549797975015,0.9853139667159767,1.0594773835655662
294,295,9399.45,9480.863,11069.737,11258.227,9516.516,9322.201,C11H11Cl2N,228.0342,5.89,1.11,0.011,1/1,9130.3505,4.154330623059049,10302.06925,9.69489394669751,1.1283322858196956,1.0165155728105364
295,296,52281.278,56854.514,55355.938,56654.756,41761.489,42055.793,C36H46N8O3,639.3768,13.61,1.17,0.151,1/1,43983.742,5.477091324582499,55286.6215,3.8179994393829872,1.2569785785847871,1.074340665457083
296,297,6767.541,6025.18,6530.729,7446.141,5825.531,5429.774,C31H32BrNO4S2,628.1011,32.02,1.1,0.325,1/1,5485.79825,21.89569910267857,6692.39775,8.819314471757131,1.2199496673068502,1.1090451520971365
297,298,53385.736,55123.552,57723.083,57755.751,53150.705,53868.471,C18H16ClN3O2,342.1006,12.98,1.09,0.048,1/1,54007.04624999999,2.1737752571970637,55997.03049999999,3.809843765652008,1.036846752195784,0.9512355524731962
298,299,5538.504,6231.272,5435.313,4709.283,5622.067,5391.631,C27H31FN6OS,507.2333,4.16,1.17,0.27,1/1,5437.959000000001,5.2713543974144335,5478.593,11.36879326902427,1.007472288775991,0.8610874263042659
299,300,44911.592,51904.87,48768.529,50119.635,40048.549,36722.146,C24H22F3N5O5,518.1647,27.56,1.31,0.021,1/1,39949.479250000004,5.969538627236103,48926.156500000005,6.067619210197718,1.2247007324882715,0.9348860553345584
300,301,40016.766,35421.726,33481.323,37106.768,46751.894,44072.739,C23H35N5O2,414.2865,3.65,0.86,0.052,1/1,46007.219750000004,2.9114626562742347,36506.645749999996,7.586344147447474,0.7934981932917169,0.9226723177810662
301,302,8632.253,8123.716,9986.152,9725.94,10444.833,10941.93,C26H36N6O3,481.2919,4.65,1.04,0.605,1/1,9367.86875,16.49950755049008,9117.01525,9.703303918701192,0.973221924143632,0.9357903116765691
302,303,72970.238,76463.63,72308.642,72426.396,65072.226,60779.041,C26H33FN4O3S,501.2331,14.93,1.16,0.038,1/1,64109.5205,3.536484895920399,73542.2265,2.6771080360429584,1.1471342466209837,0.9889088332939515
303,304,5611.046,5625.981,5567.354,6363.595,4208.14,4140.328,C18H11N3O2S,334.0642,5.33,1.32,0.001,1/1,4229.00925,7.152564068874575,5791.994000000001,6.59321117839691,1.3695865053972158,1.0375655343918302
304,305,33341.22,37507.992,36887.508,35175.696,35184.658,35213.048,C15H15N7O,310.1414,14.85,0.99,0.855,1/1,35974.649000000005,3.349230793028133,35728.104,5.239930761262906,0.993146701723205,1.003178486589096
305,306,37589.615,38162.548,41978.581,44336.58,34836.864,36274.967,C24H25N5O4,448.198,14.73,1.13,0.057,1/1,34156.66925,5.2879787020159625,40516.831000000006,7.913162513905676,1.1862055607193025,1.0497394342648696
306,307,17569.263,18275.4,18818.586,18960.228,13097.419,14190.047,C19H19N3O2S,354.1268,5.63,1.48,0.008,1/1,13458.1265,6.120409862675856,18405.86925,3.4283948833215665,1.3676397862659413,0.9240809366661765
307,308,37515.86,39885.101,37686.123,36790.21,37306.087,36706.169,C23H26IN7O2S,592.0988,8.26,1.05,0.484,1/1,36148.280249999996,2.922801830619777,37969.3235,3.515887356028683,1.0503770369546142,1.0003590828139182
308,309,24165.47,23666.276,23006.465,23014.401,17926.251,18436.152,C14H17IN4O2,401.0467,9.15,1.26,0.08,1/1,16624.17675,13.05345712371167,23463.153,2.391346888725366,1.4113873638885608,1.1201487014988578
309,310,73743.235,74013.091,58332.366,74011.42,69578.591,67324.903,C29H29ClN4O2,501.2051,9.94,1.09,0.577,1/1,68318.32375,2.189883560706536,70025.028,11.133361559208536,1.0249816470358,0.9403501348952292
310,311,81041.921,85393.647,82324.285,79956.428,68286.471,72934.345,C30H31FN4O2,499.2504,25.24,1.21,0.063,1/1,70560.43549999999,2.9691239148966893,82179.07025,2.861363558064002,1.1646621745978314,0.9625307228081251
311,312,16863.655,17432.069,17557.972,17990.707,13885.394,14893.03,C15H19Cl2N3O4,376.0823,5.32,1.3,0.007,1/1,13956.05875,5.653686473865894,17461.10075,2.6609597377889633,1.2511484125129526,0.9624218557791943
312,313,49946.368,56591.242,54670.1,54475.092,48667.806,48004.261,C21H19Cl2IN4O2,557.0004,30.39,1.04,0.042,1/1,48911.6415,1.5848779197544245,53920.7005,5.223196650981576,1.1024103637985652,1.060009965190928
313,314,76684.47,76470.89,76162.216,82905.093,69402.466,70988.207,C27H20ClFN4O4,519.1233,27.02,1.09,0.385,1/1,68429.77375,7.713260612238786,78055.66725,4.150948888390885,1.1406682058480428,1.0464845925211401
314,315,9834.193,9829.838,9794.041,10302.068,9093.179,9254.314,C19H18ClN3O4,388.1055,14.76,1.09,0.121,1/1,9078.972,1.4206181182868232,9940.035,2.434848828916095,1.0948414644301139,1.004441710486343
315,316,11829.007,12244.198,12063.12,12134.647,10305.802,10871.497,C16H11BrN2O,327.012,22.38,1.16,0.073,1/1,10254.58525,5.1161141524419795,12067.743000000002,1.4560833973394285,1.1768143426376023,1.0144951229634502
316,317,14298.181,16302.743,16931.675,16113.131,13130.406,12189.318,C30H27N5O,474.2288,21.73,1.31,0.022,1/1,13318.82925,6.421571175563479,15911.4325,7.107909891302798,1.1946569928434212,0.9119519029339093
317,318,42136.485,44726.712,48289.46,45529.174,33659.36,34041.988,C25H27N3O2S,434.1895,10.28,1.26,0.022,1/1,32967.666,3.142461981539856,45170.45775,5.609174696568911,1.3701442422402605,1.087416065270048
318,319,9323.712,9623.784,9404.321,10282.617,8082.695,8484.495,C19H20ClN3O5S,438.0883,26.04,1.27,0.011,1/1,7879.353500000001,6.394714547216475,9658.6085,4.5027313875941815,1.2258123080783212,0.9652065417939537
319,320,116894.994,111663.728,106224.64,112609.495,95009.275,97639.085,C15H18N2,227.1544,5.0,1.13,0.208,1/1,102377.247,8.400392219933288,111848.21425,3.921289616770416,1.0925104701242845,0.9668234248887474
320,321,1272.338,723.912,1113.873,1296.306,1946.865,1945.883,C14H16ClN5O2S,354.0785,17.92,0.68,0.26,1/1,1869.30525,10.887262944426165,1101.60725,24.009227674577208,0.5893137303284202,0.8666378387182648
321,322,32462.01,32089.243,34056.138,37271.291,31068.182,29979.744,C28H23N7O2,490.1985,17.04,1.21,0.001,1/1,30887.735999999997,2.4852355143140894,33969.6705,6.949124577810947,1.0997785820236228,0.9089079190277874
322,323,194097.216,183438.643,173338.696,137718.678,175523.404,149211.19,C30H26F2N4O5,561.1949,24.5,0.87,0.069,1/1,154688.39625,10.825262817821239,172148.30825,14.2133005294108,1.1128715044131825,1.2791626487507846
323,324,10602.96,11083.934,10914.845,11084.044,9312.835,9381.066,C23H25F4N3O3S,500.1623,11.44,1.19,0.031,1/1,8716.3635,8.62832356650126,10921.44575,2.0766659378189405,1.252981905814277,1.0529259712725019
324,325,26770.44,28664.515,27790.139,31440.131,27050.545,25254.571,C30H25F10NO3,638.1752,32.51,1.12,0.094,1/1,26389.50725,3.741264190671377,28666.30625,6.993116835378702,1.0862766772577765,0.969889890408729
325,326,24855.833,25609.076,24297.074,22475.358,24445.63,24590.992,C19H17ClN2O5,389.0899,17.73,1.07,0.255,1/1,23978.00375,2.823558920655188,24309.335250000004,5.494250611037797,1.0138181436392513,0.9474935921862161
326,327,1480.858,1454.915,1424.9,1541.048,1250.188,1248.151,C21H20N2OS3,413.0807,30.78,1.14,0.022,1/1,1264.2015,4.984430123606932,1475.4302500000001,3.3454882647566353,1.1670847171119478,1.0237585237824105
327,328,864.781,1025.151,1174.32,1235.099,828.116,847.715,C10H7NO2,174.0535,5.39,1.39,0.003,1/1,811.7145,8.782792505588843,1074.83775,15.397883400710718,1.3241573853861177,0.9526312125079984
328,329,1474.538,1472.815,1385.721,1511.546,1309.385,1332.803,C42H45ClN6O5S2,813.2653,19.69,0.99,0.946,1/1,1306.09175,1.7515728130598134,1461.1550000000002,3.6524896276190058,1.1187230912376562,1.130023324482481
329,330,21416.893,24266.041,24865.365,24930.132,20714.272,21052.04,C20H20N4O3,365.1609,15.41,1.12,0.136,1/1,20646.35325,2.4806011168640247,23869.60775,6.963871424680809,1.1561173763216512,1.0322476574300457
330,331,30674.498,29944.721,30850.656,33891.952,27354.859,26683.842,C19H31N5O2,362.2552,3.43,1.27,0.004,1/1,25845.738,5.3606408802209,31340.456749999998,5.569874968956872,1.2125967054993747,0.9548005555113187
331,332,7331.007,7517.815,8058.063,8501.842,6396.752,6949.763,C9H9BrN2O3,272.9868,5.75,1.27,0.001,1/1,6318.124,7.425032709748425,7852.181750000001,6.770388740358517,1.2428027291012333,0.9785848260639632
332,333,9154.755,9536.971,9725.794,11718.046,18625.158,16759.194,C28H31N5O,454.2596,6.24,0.58,0.005,1/2,18275.747,6.0720821558193485,10033.8915,11.437460584337794,0.5490277086895545,0.9465994977406114
334,335,14948.521,16998.313,17569.568,16365.166,10943.672,11470.319,C17H18N2O2,283.1442,7.88,1.67,0.006,1/1,11209.70075,2.319066564777128,16470.392,6.845871764299129,1.4692980987917987,0.8798192208334125
335,336,4442.263,4518.91,5065.786,4944.883,3801.443,3758.382,C9H7NO2,162.0544,3.49,1.24,0.013,1/1,3702.5525000000002,6.9623495862474725,4742.960499999999,6.505399829279192,1.280997501048263,1.0330625008453733
336,337,3203.61,3136.756,3219.924,3391.154,2289.668,2359.588,C21H23Cl2N5O2S,480.1019,7.91,1.44,0.003,1/1,2298.1144999999997,2.107845497956688,3237.8610000000003,3.3461865376378075,1.4089206608286928,0.9784171255754812
337,338,65403.099,64899.456,59839.574,61744.594,66281.349,63965.484,C22H31N3O2,370.2489,5.65,0.88,0.056,1/1,65932.813,2.7281289904425345,62971.68075,4.195882807303446,0.9550886407652591,1.0853280008696127
338,339,200.513,245.685,187.476,179.255,161.353,192.539,C47H55ClF3N5O6S3,974.3027,25.83,0.77,0.355,1/1,268.1725,42.215873682418774,203.23225,14.57657650630859,0.7578415012725018,0.98420974191234
339,340,16597.382,16672.597,16347.194,15132.54,14767.949,13307.418,C27H32N6,441.2756,3.71,1.2,0.235,1/1,12926.8415,11.448991346431061,16187.428250000003,4.428642491092289,1.2522338306693095,1.0435281922244246
340,341,18703.6,17380.073,18524.172,18637.67,18490.212,19043.021,C22H29N7O,408.2503,10.3,1.0,0.992,1/1,18655.0825,1.6810787818734247,18311.378749999996,3.4146922631286,0.9815758654511443,0.9815758654511443
341,342,54649.884,55601.723,55946.356,53182.97,55779.385,51485.44,C31H33ClN2O3,517.2253,24.4,1.11,0.002,1/1,53668.738000000005,3.2689957698854974,54845.23325,2.2543371044739113,1.0219214256537947,0.9206499330214366
342,343,28865.282,30491.01,34459.105,43587.651,21992.059,23002.301,C20H15ClF3N5,418.1038,10.03,1.43,0.001,1/1,22211.128000000004,2.386110778416946,34350.762,19.187066808519567,1.546556392813548,1.0815079670024812
343,344,2298.876,2275.036,2339.719,2451.854,1641.628,1873.16,C12H13N3O3S,280.0749,22.25,1.37,0.019,1/1,1680.281,7.9145867902536,2341.37125,3.346258054831576,1.3934402936175558,1.0171097033704786
344,345,10630.175,9990.376,8657.482,7962.053,9056.628,9099.27,C22H32N6,381.2761,5.3,1.1,0.475,1/1,8712.08575,7.231714994450095,9310.021499999999,13.079651974760214,1.0686329045831533,0.9714844587119574
345,346,13245.498,14570.585,15821.747,15402.993,11258.663,11111.415,C20H25N5O2,368.2077,3.9,1.3,0.054,1/1,10966.89025,2.415997181689752,14760.205750000001,7.695229370919616,1.3458879785908318,1.0352984450698706
346,347,32809.901,33219.651,31572.2,33632.802,30539.928,29075.051,C20H20N2O4,353.1496,6.6,1.15,0.111,1/1,29167.04625,3.6492732643932406,32808.6385,2.7130760320251923,1.1248529665563924,0.9781330143968631
347,348,15488.76,17226.04,17448.455,13058.943,12528.217,13105.113,C21H17F3N4,383.1476,6.72,1.35,0.097,1/1,11370.0005,15.452508702251741,15805.549500000001,12.842776984175835,1.3901098333285034,1.029710987650743
348,349,5730.386,6382.937,5240.28,5277.047,8654.628,8529.423,C25H21N3O,380.1754,3.34,0.85,0.231,1/1,8351.341,3.924842491074128,5657.662499999999,9.41046161726648,0.6774555727038327,0.7970065561221562
349,350,25189.365,27182.513,28041.777,27955.468,26214.307,25266.003,C19H12F4N4O2,405.0968,8.47,1.13,0.088,1/1,25847.84475,2.1355162506841503,27092.280749999998,4.894864404664427,1.0481446717138765,0.9275616563839616
350,351,15981.235,16008.161,16479.428,16307.575,11927.243,12060.763,C20H21N5O4,396.1663,6.29,1.55,0.007,1/1,11233.785,7.942438928913196,16194.099750000001,1.4878993572742252,1.4415532921450787,0.930034382029083
351,352,89241.784,88682.758,95269.921,90177.452,86216.219,85062.708,C17H18N2,251.1542,10.1,0.95,0.537,1/1,87404.36924999999,5.812635691124697,90842.97875,3.318940817669679,1.039341391391598,1.0940435698858928
352,353,42019.429,41742.383,44335.988,41196.777,39897.7,42896.925,C30H28N2O6S,545.174,31.22,1.05,0.595,1/1,39031.0015,7.838288594885799,42323.64425,3.271007241143283,1.0843596788055772,1.0327235036243592
353,354,14536.878,14211.446,14606.466,13967.391,11785.172,11523.381,C16H14BrN3O3,376.0291,4.67,1.26,0.076,1/1,11287.8495,3.976946349546837,14330.54525,2.073060379883125,1.2695549537580209,1.0075832966333498
354,355,14153.089,13638.168,14234.143,14552.76,11967.244,10820.182,C26H25F9N2O4,601.1745,31.73,1.1,0.204,1/1,11114.96875,9.4576030969017,14144.539999999999,2.680209520630216,1.2725667807208183,1.1568788915643802
355,356,8294.374,8932.52,10012.715,10025.724,5778.208,7367.219,C20H18F6N4O,445.1455,9.33,1.28,0.013,1/1,6550.19675,11.066351925956551,9316.33325,9.149813764327096,1.4222982309653522,1.1111704929416815
356,357,45590.805,47612.675,52379.596,45550.794,40854.275,41516.239,C27H29NO3,416.2221,29.3,1.1,0.226,1/1,42798.67675,4.840592427927228,47783.4675,6.721483603362056,1.1164706745285062,1.0149733404804602
357,358,30146.6,40928.821,45324.485,48146.973,31204.195,22050.815,C24H27ClN2O4,443.1733,9.07,1.33,0.003,1/1,27516.42875,14.826653254580565,41136.719750000004,19.21845348778505,1.4949875989993797,1.124050826315323
358,359,43592.676,47576.977,42453.185,45357.76,46038.573,42097.909,C22H20FN3O2,378.1611,27.86,0.98,0.891,1/1,44789.35975,4.774791228346835,44745.1495,4.993314644346896,0.9990129296277783,1.019400948599774
359,360,15963.198,15846.658,16622.786,17106.279,12784.379,12964.261,C12H17N3O3S,284.1062,4.04,1.21,0.015,1/1,13010.5195,2.51348154274225,16384.73025,3.601283213327359,1.2593448132490022,1.0407808373958696
