Compound Name,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio
438,C16H18N2O2,271.1441,5.1,1.45,0.003,1/1
439,C24H23ClFN5O2,468.1594,5.07,1.02,0.624,1/1
440,C24H23N3O5,434.171,18.32,1.42,0.015,1/1
441,C21H15F4N5O2S,478.0953,26.91,1.11,0.022,1/1
442,C48H78O19,959.5209,10.07,0.68,0.078,1/1
443,C27H41NO2,412.321,9.77,0.83,0.162,1/1
444,C13H12N2O,213.1023,4,0.95,0.576,1/1
445,C20H24O6,361.1647,8.89,1.13,0.193,1/1
446,C15H15FIN3O3,432.0213,6.69,1.25,0.025,1/1
447,C28H36O3,421.2738,32.32,1.07,0.298,1/1
448,C17H19FN4O4,363.1456,4.37,0.9,0.274,1/1
449,C34H34F2N4O6,633.2518,8.34,0.91,0.174,1/1
450,C25H22F3N5O4S,546.142,20.01,1.18,0.022,1/1
451,C18H11F3N2O,329.0893,26.11,1.4,0.004,1/1
452,C30H42N8O3,563.3447,3.59,1.3,0.118,1/1
453,C9H9N3O2,192.0767,3.23,1.14,0.072,1/1
454,C26H40O3,401.3047,33.52,1.06,0.407,1/1
455,C22H30O4,359.2214,14.25,1.09,0.272,1/1
456,C28H37N3O3S3,560.2075,23.83,1.07,0.67,1/1
457,C24H26N4O4,435.2028,7.77,1.34,0.015,1/1
458,C16H14Br2N4O4,486.9431,30.81,1.08,0.349,1/1
459,C5H5N5S,168.0326,35.71,1.19,0.411,1/1
460,C6H7NO2,126.0544,0.53,0.89,0.798,1/1
461,C17H15BrClFN4O3,459.0048,11.87,1.16,0.087,1/1
462,C21H16F4N4O2S,465.1002,26.25,1.12,0.107,1/1
463,C21H20N4O3,377.1606,3.62,1.03,0.677,1/1
464,C27H32ClN5O5,542.2161,4.3,0.7,0.036,1/1
465,C19H17N5O7S3,524.036,6.97,1.36,0,1/1
466,C26H33NO2,392.2582,32.05,1.09,0.14,1/1
467,C33H38N4O6,587.2867,5.81,1.11,0.135,1/1
468,C23H26F2N2O4,433.193,27.97,1.14,0.221,1/1
469,C28H39N7O3,522.3181,3.84,1.09,0.415,1/1
470,C29H31N7O,494.266,4.46,0.84,0.496,1/1
471,C5H5N5,136.0616,3.37,1.3,0.01,1/1
472,C35H28F3N5O2,608.2268,25.18,1.19,0.01,1/1
473,C20H25NO4,344.187,4.55,1.09,0.234,1/1
474,C12H22O11,343.1235,31.67,1.53,0.142,1/1
475,C21H25N3O2S,384.1744,6.42,0.87,0.34,1/1
476,C26H26ClN3,416.1883,5.33,1.24,0.19,1/1
477,C18H18N2O3,311.139,21.45,1.24,0.002,1/1
478,C22H30FN3O7,468.2137,16.96,1.04,0.205,1/1
479,C20H32O2,305.2476,26,1.13,0.152,1/1
480,C12H10N2O,199.0867,3.35,1.16,0.014,1/1
481,C20H19N3O,318.1601,16.79,0.93,0.003,1/1
482,C11H14ClN,196.0887,4.55,0.9,0.115,1/1
483,C16H14N2O3,283.1076,21.3,1.12,0.167,1/1
484,C23H36O3,361.2734,32.55,1.1,0.24,1/1
485,C13H18Br2N2O,378.9834,4.48,1.15,0.126,1/1
486,C20H21N5O6,428.1557,3.75,1.44,0.022,1/1
487,C11H12N2O2,205.0969,3.09,1.05,0.21,1/1
488,C21H17Cl3N4OS,479.0259,28.99,1.25,0.038,1/1
489,C29H36O10,545.238,8.77,1.01,0.869,1/1
490,C27H44O3,417.336,34.55,1.22,0.018,1/1
491,C20H28O6,365.1963,21.03,1.01,0.644,1/1
492,C17H17ClFN3O3,366.1014,3.95,1.34,0.003,1/1
493,C14H25N3O9,380.1688,4.76,0.91,0.037,1/1
494,C16H16O5,289.1077,4.73,1.41,0.003,1/1
495,C19H20FN3O3,358.1569,3.53,1.34,0.012,1/1
496,C8H12N4S3,261.0315,25.77,1.45,0.058,1/1
497,C25H21F3N4O3S,515.1372,31.31,1.08,0.447,1/1
498,C23H33N5O2,412.2705,3.97,1.15,0.129,1/1
499,C25H24N4O2,413.1973,4.48,1.2,0.052,1/1
500,C22H21NO3,348.1595,26.97,1.2,0.015,1/1
501,C27H28N4O3S2,521.1677,26.4,1.11,0.158,1/1
502,C26H24ClN3O3,462.1573,8.01,1.16,0.121,1/1
503,C22H30N4O,367.2488,3.78,1.26,0.026,1/1
504,C14H10F3N5O2,338.0857,15.99,1.37,0.02,1/1
505,C24H23N5OS,430.1698,30.36,1.12,0.27,1/1
506,C16H16N2OS,285.1058,17.91,0.71,0.063,1/1
507,C16H14N2O2S2,331.0568,25.99,1.22,0.05,1/1
508,C23H22N6O2,415.1872,4.16,1.25,0.015,1/1
509,C16H10N2O2,263.0815,14.1,1.32,0.012,1/1
510,C18H14N2O4,323.1025,13.83,1.4,0.002,1/1
511,C18H21F3N6O2,411.1751,5.07,1.5,0,1/1
512,C17H11F6N7O,444.0999,24.59,1.09,0.13,1/1
513,C31H29N5O6S,600.1912,31.59,1.08,0.159,1/1
514,C21H27N7O,394.235,9.26,1.13,0.005,1/1
515,C18H14Cl2N2O2,361.0507,27.34,1.02,0.673,1/1
516,C19H20ClN3,326.1419,9.75,0.88,0.236,1/1
517,C19H23N3O3,342.1811,13.7,1.28,0,1/1
518,C31H32N6O2,521.2672,31.43,0.92,0.231,1/1
519,C25H34N4O2S,455.2475,21.54,1.27,0.039,1/1
520,C17H13ClN4,309.0906,31.08,1.2,0.04,1/1
521,C16H10BrN3O2,356.0027,26.07,1.17,0.117,1/1
522,C23H30N8O3S,499.226,4.01,1.16,0.491,1/1
523,C22H21Cl2IN4O,555.0219,31.84,0.98,0.9,1/1
524,C21H28N6O2,397.2345,4.54,1.14,0.099,1/1
525,C18H17Cl2FN4OS,427.0553,13.59,1.22,0.031,1/1
526,C22H24N8OS,449.1868,26.52,1.2,0.012,1/1
527,C22H29N7O5,472.2292,16.45,0.55,0.004,1/2
528,C21H16FN7O,402.1474,8.46,1.07,0.233,1/1
529,C22H20N6O3,417.1669,7.33,1.25,0.063,1/1
530,C18H17F2N3O2,346.1363,26,1.1,0.309,1/1
531,C30H27BrN4O2,555.1387,15.97,1.09,0.298,1/1
532,C19H16N8O,373.1515,3.96,1.44,0.017,1/1
533,C25H23N5O2S,458.1645,8.85,1.2,0.32,1/1
534,C19H18N2O5S2,419.0728,28.43,1.07,0.392,1/1
535,C13H9Cl2N5,306.0306,8.32,1.2,0.011,1/1
536,C19H17N3O3,336.134,6.05,0.92,0.11,1/1
537,C24H25N5O3S,464.1748,9.66,1.28,0.17,1/1
538,C29H29N7O2,508.2454,4.38,1.4,0.026,1/1
539,C26H24F4N6O,513.2039,8.72,1.28,0.044,1/1
540,C21H17FN2O2,349.1349,8.29,1.16,0.102,1/1
541,C26H29N5O2,444.2392,7.63,1.26,0.002,1/1
542,C22H19ClN4O5,455.1119,12.93,1.49,0.039,1/1
543,C25H52NO4P,462.3703,32.9,0.93,0.539,1/1
544,C20H19N5,330.1715,14.6,1.16,0.003,1/1
545,C18H25NO3Si,332.168,32.19,1.03,0.691,1/1
546,C25H23N5O2,426.1921,3.9,1.21,0.004,1/1
547,C21H18F3N3O3S2,482.0816,29.6,1.13,0.296,1/1
548,C32H36N6O4,569.2876,19.44,1.06,0.429,1/1
549,C16H13FN2O2,285.1035,14.97,1.2,0.002,1/1
550,C16H14IN3O2,408.0206,9.38,1.39,0.079,1/1
551,C16H15N3O2,282.1237,4.68,1.3,0.022,1/1
552,C12H21N3O2,240.1703,15.25,0.97,0.632,1/1
553,C24H16F3NO4,440.11,31.22,1.14,0.077,1/1
554,C19H16ClNO4,358.0844,30.61,1.1,0.024,1/1
555,C22H19FN4O2,391.1563,4.47,1.29,0.023,1/1
556,C22H24Cl2N2O4,451.1183,27.63,1.24,0.007,1/1
557,C18H24N6O,341.2086,6.04,1.17,0.171,1/1
558,C9H11NOS,182.0631,5.21,1.26,0.091,1/1
559,C16H15N3O3,298.1184,3.92,1.39,0.022,1/1
560,C25H27N5O5,478.2084,24.44,1.01,0.924,1/1
561,C15H12N2O,237.1024,22.5,1.14,0.026,1/1
562,C29H24ClN3O3S,530.1298,29.16,1.24,0.069,1/1
563,C32H36N2O3,497.2799,31.43,1.3,0.026,1/1
564,C15H23N5O2S,338.1645,3.27,1.27,0.027,1/1
565,C17H16N4O2S,341.1067,5.45,1.38,0.018,1/1
566,C15H14O3S2,307.0456,27.23,1.26,0.045,1/1
567,C27H24N2O5,457.1759,27.47,1.05,0.076,1/1
568,C19H17NO3,308.1283,16.75,1.1,0.107,1/1
569,C20H24FN5O3,402.1935,26.49,1.07,0.3,1/1
570,C24H30ClN7O2S,516.1946,9.53,0.94,0.522,1/1
571,C11H10N2O2S,235.0535,13.03,1.17,0.135,1/1
572,C24H28N8O2,461.2409,12.96,1.04,0.679,1/1
573,C17H12BrFN2O3,391.0085,21.21,1.13,0.056,1/1
574,C34H36FN5O2,566.2918,25.45,1.2,0.012,1/1
575,C22H18FN3O2,376.1458,13.1,1.36,0.013,1/1
576,C22H30N4O6,447.2234,21.8,1.13,0.014,1/1
577,C18H13ClF6N2O3,455.0587,31.14,1.03,0.502,1/1
578,C19H21F3N6,391.1853,4.81,0.86,0.099,1/1
579,C28H25FN6O3,513.2046,8.74,1.27,0.034,1/1
580,C23H24N6,385.2137,10.3,1,0.938,1/1
581,C18H17N3O4S,372.101,5,1.29,0,1/1
582,C21H27N3O3,370.2127,14.35,1.06,0.37,1/1
583,C25H28Cl2N4O2,487.1662,4.05,1,0.982,1/1
584,C16H14BrN3O2,360.0343,7.95,1.21,0.001,1/1
585,C21H19FN4O,363.1613,22.46,1.07,0.277,1/1
586,C23H17FN6O2,429.147,17.75,0.85,0.133,1/1
587,C21H19F4N7,446.1704,5.57,1.4,0.06,1/1
588,C20H15NO3,318.1124,21.8,1.92,0.05,2/1
589,C20H23ClFNO,348.1527,13.34,1.15,0.053,1/1
590,C21H21N5,344.1871,4.59,1.09,0.243,1/1
591,C21H16FN3OS,378.107,3.93,1.33,0.015,1/1
592,C18H17N5O3S,384.1122,8.27,1.6,0.001,1/1
593,C16H12F3NOS,324.0665,29.18,1.08,0.013,1/1
594,C16H13NO2,252.102,25.7,1.17,0.001,1/1
595,C16H13ClFN3O2,334.0755,7.09,1.19,0.055,1/1
596,C23H28N8OS,465.2193,32.46,0.96,0.776,1/1
597,C26H34N2O5Si,483.2316,32.54,1,0.988,1/1
598,C15H18BrN7,376.0875,3.62,1.37,0.003,1/1
599,C20H22N2O5,371.1605,18.73,0.55,0,1/2
600,C12H11ClN2O2S,283.0303,26.17,0.99,0.772,1/1
601,C30H33N3O5S,548.2209,8.02,1.58,0.014,1/1
602,C16H15NO2,254.118,5.6,1.56,0.016,1/1
603,C23H23F3N2O4,449.1683,29.04,1.05,0.194,1/1
604,C17H15FN2O3,315.1139,14.83,1.27,0.008,1/1
605,C32H38ClN3O2,532.2721,19.83,0.78,0.003,1/1
606,C19H15Br2N3O3,493.9527,27.03,1.18,0.114,1/1
607,C20H21N3O2,336.1708,7.19,1.08,0.141,1/1
608,C16H16F3N3O3,356.122,31,1.24,0.006,1/1
609,C20H31N3O2S2,410.1933,32.44,1.11,0.241,1/1
610,C17H18N2O4,315.1338,4.39,1.28,0.02,1/1
611,C24H27N5O3,434.2186,15.36,1.16,0.06,1/1
612,C20H21NO4S,372.1267,27.52,1.12,0.257,1/1
613,C10H8BrN5OS,325.9705,5.7,1.47,0.009,1/1
614,C18H15Cl4N3OS,463.9731,29.71,1.24,0.007,1/1
615,C16H15NO7S,366.064,16.76,1.39,0.007,1/1
616,C13H12N4O2S2,321.0476,11.15,1.21,0.084,1/1
617,C12H7F2NO3S2,315.991,28.02,1.26,0.073,1/1
618,C22H20N2O5S,425.1161,13.23,1.3,0.034,1/1
619,C16H14N2O4,299.1028,23.76,1.15,0.148,1/1
620,C24H25ClFN5O3,486.1696,4.89,1.39,0.002,1/1
621,C21H20F3N7O3S,508.1371,6.47,1.34,0.005,1/1
622,C25H30N6O,431.2552,4.99,1.29,0.034,1/1
623,C25H27FN4O3,451.2141,10.85,1.01,0.68,1/1
624,C17H15BrF2N4O3,441.0366,9.05,1.27,0.003,1/1
625,C23H25NO,332.2007,13.82,0.89,0.011,1/1
626,C17H15NO3,282.1126,11.73,1.15,0.053,1/1
627,C43H69NO12,792.4889,31.4,1.05,0.534,1/1
628,C23H18N4O3,399.1452,4.78,1.27,0.112,1/1
629,C18H17N5O3,352.1402,3.55,1.3,0.005,1/1
630,C19H14F3N3O3,390.1035,14.53,1.2,0.021,1/1
631,C24H18F3N3O4,470.1322,16,1.1,0.153,1/1
632,C22H19N5O,370.1652,3.55,1.01,0.913,1/1
633,C18H21N5O2S,372.1486,3.98,1.44,0,1/1
634,C20H19ClFN5OS,432.1056,4.98,1.05,0.424,1/1
635,C17H17N7,320.1619,8.37,1.22,0.052,1/1
636,C25H23N7OS,470.1758,14.42,1.29,0.038,1/1
637,C17H14ClF2N3O3S,414.0483,23.72,1.17,0.049,1/1
638,C18H16N2OS,309.1059,30.71,1.09,0.26,1/1
639,C23H28N4O2,393.2286,12.78,1.29,0.02,1/1
640,C19H18F3N3O6,442.1217,21.41,1.13,0.047,1/1
641,C27H30ClN7O2,520.2222,12.75,1.05,0.339,1/1
642,C24H25F3N6S,487.1883,4.56,1.12,0.011,1/1
643,C19H19N5OS,366.1381,26.69,1.23,0.073,1/1
644,C25H20N4O2S2,473.1102,28.71,1.08,0.413,1/1
645,C16H13F3N4O,335.1116,20.63,1.09,0.113,1/1
646,C27H27N5O2,454.2234,3.48,1.03,0.116,1/1
647,C19H26N6O,355.2242,9.37,1.26,0.119,1/1
648,C19H16N2O2S2,369.0722,29.39,1.08,0.22,1/1
649,C17H15N5O,306.135,6.97,1.25,0.015,1/1
650,C25H30N4O2,419.2443,6.5,1.02,0.818,1/1
651,C17H21ClN4O3S2,429.0813,5.13,1.33,0.022,1/1
652,C19H24N8,365.2193,3.24,1.3,0.049,1/1
653,C28H30F3N7O3,570.2438,13.44,1.12,0.057,1/1
654,C26H21F3N4O4,511.1589,27.4,1.24,0.131,1/1
655,C20H17F2N3O2,370.1364,28.11,1.09,0.053,1/1
656,C25H27N7O3S2,538.1687,13.45,1.13,0.02,1/1
657,C21H21N3O2S,380.1427,10.61,1.1,0.201,1/1
658,C15H22N2O3,279.1704,9.53,1.01,0.921,1/1
659,C30H40ClN7O3S,614.2677,9.34,0.86,0.114,1/1
660,C26H27N5O2,442.2224,17.95,18.52,0,16/1
661,C17H18BrN3O4S,440.027,21.29,1.2,0.009,1/1
662,C29H31F3N6O3,569.2484,13.74,1.02,0.628,1/1
663,C14H7F6N3O,348.0567,27.94,1.18,0.015,1/1
664,C16H14ClN3O2,316.0849,7.19,1.06,0.016,1/1
665,C18H18N4O3S2,403.089,5.84,1.31,0.009,1/1
666,C20H27N7O3S,446.1965,6.6,1.36,0.032,1/1
667,C21H19N5O2S,406.1343,31.82,1.04,0.169,1/1
668,C23H21N5O3,416.1713,6.34,1.25,0.006,1/1
669,C18H17ClN2O3S,377.0723,27.6,1.12,0.193,1/1
670,C19H17N3O2S2,384.0835,24.73,1.37,0.004,1/1
671,C34H37N5O4,580.2915,27.92,1.12,0.009,1/1
672,C19H18ClN5OS,400.0994,15.77,1,0.926,1/1
673,C22H22FN3O3,396.1717,10.1,1.27,0.001,1/1
674,C24H19N3O6,446.1342,31.15,1.14,0.259,1/1
675,C27H28N4O2,441.2286,6.67,1.1,0,1/1
676,C26H19F3N4O,461.1585,26,1.13,0.085,1/1
677,C29H27N7O4S,570.191,3.5,1.39,0.022,1/1
678,C17H14ClF2IN2O2,478.9827,31.22,0.86,0.101,1/1
679,C12H9ClN2O4,281.0324,19,1.19,0.03,1/1
680,C22H25N3O3,380.1963,3.73,1.52,0.002,1/1
681,C19H23N9O,394.2095,5.25,1.2,0.043,1/1
682,C18H16N4O3S,369.1018,22.83,1.21,0.061,1/1
683,C19H23N5O3,370.1872,21.56,1.15,0.036,1/1
684,C23H28N4O4S,457.1905,26.77,1.13,0.268,1/1
685,C27H40N8O7,589.3095,4.76,1.21,0.118,1/1
686,C13H8N6,249.0883,3.82,1.3,0.015,1/1
687,C18H12Cl2N4O4S,451.0026,30.45,1.21,0.005,1/1
688,C22H15Br2N3O4,545.9482,31.12,1.44,0.066,1/1
689,C37H61N7O2,636.4953,3.45,1.07,0.311,1/1
690,C23H25N3O3S,424.169,16.66,1.23,0.007,1/1
691,C23H24FN9O,462.2162,22.6,1.18,0.069,1/1
692,C20H20N4O,333.1701,32.11,0.95,0.61,1/1
693,C26H35N7O2S,510.261,7.56,1.09,0.234,1/1
694,C21H16Cl2N4OS,443.0497,30.94,1.12,0.135,1/1
695,C29H23N5O3S,522.1596,23.56,1.22,0.185,1/1
696,C19H23N7O2,382.1968,3.39,1.29,0.007,1/1
697,C26H43N5O7,538.3236,16.91,1.12,0.165,1/1
698,C18H21N3OS,328.1479,26.23,1.42,0.013,1/1
699,C22H21ClN2O3,397.1311,13.3,1.06,0.285,1/1
700,C6H7N5,150.0773,0.59,0.91,0.623,1/1
701,C28H34N2O,415.2745,19,1.13,0.133,1/1
702,C7H5N5S2,224.0058,5.29,1.29,0.008,1/1
703,C12H15N3O2,234.1233,0.52,2.81,0.014,4/1
704,C26H31N3O5,466.2338,7.53,1.31,0.004,1/1
705,C25H17F2N5O3S,506.1092,16.66,1.18,0.074,1/1
706,C18H18N4,291.1602,0.84,1.8,0.026,2/1
707,C13H14ClN3O2,280.0848,6.91,1.41,0.003,1/1
708,C15H13N5OS,312.0916,6,1.2,0.05,1/1
709,C18H15NO4,310.108,30.71,1.07,0.396,1/1
710,C23H26FN6O9P,581.1556,7,1.25,0.02,1/1
711,C28H30N6OS,499.2268,4.16,1.19,0.427,1/1
712,C26H31BrN8O,551.1871,3.74,1.43,0.005,1/1
713,C29H31F3N2O3,513.2363,21.83,1.08,0.387,1/1
714,C24H20F3N5O,452.1692,17.27,0.93,0.214,1/1
715,C18H15ClN6OS2,431.0505,10.57,1.33,0.004,1/1
716,C15H19N7O3S,378.1342,5.81,1.88,0.013,2/1
717,C31H33N3O5,528.2489,7.97,1.46,0,1/1
718,C20H22F3N5O,406.1847,4.57,0.63,0.011,1/2
719,C19H12N2O2Cl2,371.0347,28.82,1.17,0.185,1/1
720,C23H25ClFN7O,470.1864,11.6,1.1,0.077,1/1
721,C15H14F2N4S,321.098,3.95,1.31,0.001,1/1
722,C14H12N4OS,285.0803,3.06,1.91,0.002,2/1
723,C21H18Cl2N2O4,433.0713,31.11,1.19,0.025,1/1
724,C25H33N7O2,464.2762,3.66,1.12,0.069,1/1
725,C25H25BrN6O2,521.1292,11.53,1.08,0.112,1/1
726,C19H20FN5,338.1776,6.07,1.03,0.35,1/1
727,C9H7ClFN5O2,272.0344,15.34,1.21,0.063,1/1
728,C30H28FN7O3,554.2312,24.37,1.31,0.022,1/1
729,C23H21Cl2FN4O3,491.105,13.04,1.18,0.045,1/1
730,C25H30N2O5,439.223,30.44,1.05,0.261,1/1
731,C18H25N5S2,376.1626,9.38,1.34,0.061,1/1
732,C25H22N2O2,383.1756,28.26,1.27,0.004,1/1
733,C28H41N7O3,524.3346,13.48,1.09,0.251,1/1
734,C21H18FN5O,376.1569,22.77,1.21,0,1/1
735,C22H20Br2N2O2,504.994,31.55,0.99,0.925,1/1
736,C27H31N7O2,486.2611,4.18,0.67,0.009,1/1
737,C24H29N3O2,392.2333,9.21,0.9,0.11,1/1
738,C13H20Cl2N2,275.1078,3.63,0.93,0.222,1/1
739,C15H14N2O,239.1163,27.71,1.01,0.793,1/1
740,C17H17N3O2,296.1393,3.31,1.34,0.001,1/1
741,C18H22N2O,283.1806,10.22,0.99,0.863,1/1
742,C19H16N2O5,353.1133,25.88,1.26,0.005,1/1
743,C19H16N2O5,353.1127,27.6,1.28,0.009,1/1
744,C20H17Cl2N9O2,486.0951,7.88,1.09,0.316,1/1
745,C22H21N3O3S,408.1378,28.35,1.18,0,1/1
746,C22H21N3O3S,408.1333,32.08,1.11,0.052,1/1
747,C23H20N6O,397.177,3.81,1.53,0.015,1/1
748,C23H20N6O,397.1769,4.87,0.85,0.081,1/1
749,C23H21N5O3S,448.1437,6.16,1.3,0.043,1/1
750,C24H29N7O2,448.2461,11.17,1.33,0.033,1/1
751,C25H31N5O4,466.2449,9.17,1.31,0.142,1/1
752,C25H31N5O4,466.245,8.87,1.08,0.09,1/1
753,C29H27F3N6O,533.2272,18.35,1.27,0.002,1/1
754,C37H40N2O6,609.2954,3.81,0.78,0.113,1/1
755,C25H31N7O6,548.2211,8.01,1.6,0.011,2/1
756,C19H14N2O4,357.0843,15.16,1.73,0.011,2/1
757,C16H18N2OS,309.1057,30.86,1.08,0.256,1/1
758,C14H16N2O2S,299.0795,14.2,1.27,0.127,1/1
759,C17H12N2O2,299.0814,13.5,0.97,0.107,1/1
760,C22H33N8O6S2,592.1881,31.65,1.61,0.567,1/1
761,C19H20N4O2,359.1468,28.16,1.25,0.028,1/1
762,C35H46O20,804.2916,3.34,1.39,0.039,1/1
763,C29H24F3N5O,533.2272,18.2,1.27,0.002,1/1
764,C26H44O4,438.357,31.1,1.03,0.497,1/1
765,C24H27N7O,447.2574,26.8,1.11,0.561,1/1
766,C32H37N4O12S3,766.1635,31.82,1.27,0,1/1
767,C19H24N2S,313.1765,3.49,1.23,0.039,1/1
768,C19H24N2S,313.173,5.22,1.17,0.177,1/1
769,C19H24N2S,313.1768,32.2,0.96,0.704,1/1
770,C15H25NO3,268.1887,7.97,1.06,0.317,1/1
771,C11H11N5,214.1106,7.29,1.41,0.015,1/1
772,C11H11N5,214.1103,28.55,1.15,0.081,1/1
773,C21H28O5,361.1987,31.29,1.15,0.139,1/1
774,C21H26N2S2,371.16,9.61,1.09,0.318,1/1
775,C18H28N2O4,337.2167,13.16,1.3,0.001,1/1
776,C21H19F2N3O3,400.1473,4.54,1.39,0.057,1/1
777,C21H19F2N3O3,400.1427,27.58,1.22,0.051,1/1
778,C25H31NO6,442.2233,3.33,0.97,0.831,1/1
779,C22H38O5,383.2788,13.13,0.98,0.77,1/1
780,C12H20N4O7,333.1411,13.54,1.15,0.178,1/1
781,C17H16FN3O2S,346.1025,4.86,1.56,0.003,1/1
782,C17H16FN3O2S,346.1022,13.1,1.07,0.133,1/1
783,C22H28F2O5,411.196,32.34,1.09,0.324,1/1
784,C20H29FO3,337.2127,3.72,0.06,0,1/16
785,C16H21N5O2,316.1767,0.47,1.11,0.523,1/1
786,C21H23N7O2S,438.1719,32.63,0.87,0.373,1/1
787,C15H13NO3,256.0966,3.77,1.84,0.002,2/1
788,C15H13NO3,256.0992,5.89,1.06,0.067,1/1
789,C15H22N2O,247.1805,12,0.88,0.159,1/1
790,C15H22N2O,247.1804,24.86,1.41,0.069,1/1
791,C19H17N5O2,348.1423,25.41,1.04,0.642,1/1
792,C14H17N3O2S,292.1086,28.84,1.26,0.01,1/1
793,C27H31N7OS,502.2354,14.91,1.14,0.109,1/1
794,C27H37N3O7S,548.2492,29.35,0.9,0.18,1/1
795,C20H19F2N3O5,420.1304,6.32,1.12,0.457,1/1
796,C20H23NO4,342.1691,0.74,2.72,0.007,4/1
797,C22H29N3O4S,432.1896,15.12,0.97,0.811,1/1
798,C15H14N2O2,255.1127,3.5,0.98,0.756,1/1
799,C9H12ClN5O,242.0805,2.09,1.11,0.009,1/1
800,C14H10N4O5,315.0768,31.22,1.03,0.337,1/1
801,C17H21NO3,288.1597,2.39,1.19,0.013,1/1
802,C24H30O6,415.2113,11.69,1.31,0.004,1/1
803,C24H30O6,415.2117,27.03,1.34,0.012,1/1
804,C19H18N2O4S,371.107,4.08,1,0.964,1/1
805,C19H18N2O4S,371.1059,23.73,1.21,0.001,1/1
806,C19H18N2O4S,371.1008,31.48,1.08,0.842,1/1
807,C19H18N2O4S,371.1016,32.13,1.42,0.53,1/1
808,C19H18N2O4S,371.1016,32.91,0.91,0.795,1/1
809,C19H18N2O4S,371.1012,34.05,0.87,0.732,1/1
810,C24H26FNO4,412.1958,18.03,1.12,0.221,1/1
811,C24H26FNO4,412.1911,32.63,1.15,0.202,1/1
812,C16H25NO4,296.1837,5.31,1.34,0.025,1/1
813,C22H22N2O4,379.166,4.7,0.96,0.344,1/1
814,C22H22N2O4,379.1652,7.85,1.4,0.004,1/1
815,C22H22N2O4,379.1615,9.66,1.37,0.006,1/1
816,C22H22N2O4,379.1651,25.56,1.08,0.838,1/1
817,C15H9FN2O3,285.07,9.1,1.05,0.473,1/1
818,C20H25NO2S2,376.14,13.73,1.17,0.018,1/1
819,C9H14N4O3,227.1142,10.72,1.18,0.169,1/1
820,C25H25N5O4,460.192,26.63,1.2,0.028,1/1
821,C10H17NOS,200.1103,3.39,0.98,0.834,1/1
822,C12H11NO,186.0886,3.19,0.95,0.789,1/1
823,C15H21N3O2S,308.1404,9.21,1.29,0.005,1/1
824,C6H8N2,109.0754,3.48,1.18,0.135,1/1
825,C6H8N2,109.0755,4.86,1.76,0.028,2/1
826,C21H43N5O7,478.3273,27.91,1.04,0.881,1/1
827,C16H20N6O,313.1733,5.01,1.2,0.166,1/1
828,C16H20N6O,313.174,12.26,4.57,0,4/1
829,C16H20N6O,313.1772,32.37,0.97,0.774,1/1
830,C19H20FNO3,330.1487,26.76,1.27,0.026,1/1
831,C24H32O7,433.222,29.95,1.13,0.126,1/1
832,C13H15NO3,234.1125,29.47,1.18,0.064,1/1
833,C13H15NO3,234.1125,30.43,1.17,0.038,1/1
834,C12H13NO3,220.0984,31.18,1.25,0.011,1/1
835,C8H11NO2,154.0855,3.4,1.83,0.128,2/1
836,C8H11NO2,154.086,31.63,0.21,0.037,1/4
837,C8H11NO2,154.0859,31.89,0.14,0,1/4
838,C12H11N5,226.1114,10.84,1.15,0.078,1/1
839,C8H13NO2,156.1015,3.36,1.18,0.074,1/1
840,C15H12O2,225.0915,11.03,1.08,0.176,1/1
841,C13H16N4O6,325.1131,25.71,1.94,0.015,2/1
842,C15H24N2O2,265.1912,2.24,1.2,0.113,1/1
843,C15H24N2O,249.1963,1.42,0.96,0.596,1/1
844,C15H24N2O,249.196,19.17,1.5,0.034,1/1
845,C21H24N4O2S,397.1736,10.12,1.25,0.069,1/1
846,C26H24N8O2,481.2147,12.76,0.28,0,1/4
847,C18H10F3NO3S2,410.0126,29.58,0.37,0.01,1/2
848,C18H10F3NO3S2,410.0126,30.22,0.69,0.011,1/1
849,C22H22F3N3O3,434.1698,18.48,1.39,0.021,1/1
850,C21H24FN5O5S,478.1589,8.61,1.11,0.301,1/1
851,C27H31FN6OS,507.2315,14.76,1.06,0.154,1/1
852,C15H15N7O,310.141,4.22,1.4,0.003,1/1
853,C30H22N4O2,471.1799,14.46,7.96,0,16/1
854,C25H27N3O2S,434.1953,27.98,1.24,0.075,1/1
855,C14H16ClN5O2S,354.0787,5.55,1.12,0.325,1/1
856,C27H27N7O2S,514.2009,7.03,1.19,0.324,1/1
857,C27H27N7O2S,514.2063,8.55,1.26,0.032,1/1
858,C10H7NO2,174.0574,4.42,1.55,0.005,1/1
859,C10H7NO2,174.0528,13.44,1.1,0.072,1/1
860,C20H20N4O3,365.1583,4.11,0.89,0.466,1/1
861,C28H31N5O,454.2623,4.94,1.05,0.553,1/1
862,C27H31FN4O2,463.2551,6.09,1.19,0.104,1/1
863,C20H21N5O4,396.171,10.28,1.29,0.003,1/1
864,C22H20FN3O2,378.1598,9.49,1.34,0.029,1/1
865,C24H18FN3O2,400.1473,4.03,0.35,0.001,1/4
866,C24H18FN3O2,400.1472,4.7,1.39,0.056,2/1
867,C24H18FN3O2,400.1427,27.55,1.22,0.06,1/1
868,C12H17N3O3S,284.1099,21.19,1.16,0.202,1/1
869,C31H38N8O3,571.3095,14.93,1.24,0.062,1/1
