Compound Name,Compound formula,mz,RT,Fold change,Compound concentration ratio,p-value
437,C28H36O15,613.2122,7.45,1.33,1/1,0.021
438,C16H18N2O2,271.1441,4.97,1.45,1/1,0.003
439,C24H23ClFN5O2,468.1594,4.99,1.02,1/1,0.624
440,C24H23N3O5,434.171,18.49,1.42,1/1,0.015
441,C21H15F4N5O2S,478.0953,27.08,1.11,1/1,0.022
442,C48H78O19,959.5209,9.88,0.68,1/1,0.078
443,C27H41NO2,412.321,9.82,0.83,1/1,0.162
444,C13H12N2O,213.1023,4.05,0.95,1/1,0.576
445,C20H24O6,361.1647,8.76,1.13,1/1,0.193
446,C15H15FIN3O3,432.0213,6.51,1.25,1/1,0.025
447,C28H36O3,421.2738,32.13,1.07,1/1,0.298
448,C17H19FN4O4,363.1456,4.27,0.9,1/1,0.274
449,C34H34F2N4O6,633.2518,8.39,0.91,1/1,0.174
450,C25H22F3N5O4S,546.142,20.18,1.18,1/1,0.022
451,C18H11F3N2O,329.0893,26,1.4,1/1,0.004
452,C30H42N8O3,563.3447,3.57,1.3,1/1,0.118
453,C9H9N3O2,192.0767,3.26,1.14,1/1,0.072
454,C26H40O3,401.3047,33.36,1.06,1/1,0.407
455,C22H30O4,359.2214,14.41,1.09,1/1,0.272
456,C28H37N3O3S3,560.2075,23.83,1.07,1/1,0.67
457,C24H26N4O4,435.2028,7.97,1.34,1/1,0.015
458,C16H14Br2N4O4,486.9431,30.82,1.08,1/1,0.349
459,C5H5N5S,168.0326,35.89,1.19,1/1,0.411
460,C6H7NO2,126.0544,0.68,0.89,1/1,0.798
461,C17H15BrClFN4O3,459.0048,12.02,1.16,1/1,0.087
462,C21H16F4N4O2S,465.1002,26.19,1.12,1/1,0.107
463,C21H20N4O3,377.1606,3.52,1.03,1/1,0.677
464,C27H32ClN5O5,542.2161,4.27,0.7,1/1,0.036
465,C19H17N5O7S3,524.036,6.79,1.36,1/1,0
466,C26H33NO2,392.2582,32.1,1.09,1/1,0.14
467,C33H38N4O6,587.2867,5.9,1.11,1/1,0.135
468,C23H26F2N2O4,433.193,27.82,1.14,1/1,0.221
469,C28H39N7O3,522.3181,3.95,1.09,1/1,0.415
470,C29H31N7O,494.266,4.27,0.84,1/1,0.496
471,C5H5N5,136.0616,3.57,1.3,1/1,0.01
472,C35H28F3N5O2,608.2268,24.99,1.19,1/1,0.01
473,C20H25NO4,344.187,4.73,1.09,1/1,0.234
474,C12H22O11,343.1235,31.51,1.53,1/1,0.142
475,C21H25N3O2S,384.1744,6.41,0.87,1/1,0.34
476,C26H26ClN3,416.1883,5.13,1.24,1/1,0.19
477,C18H18N2O3,311.139,21.62,1.24,1/1,0.002
478,C22H30FN3O7,468.2137,16.94,1.04,1/1,0.205
479,C20H32O2,305.2476,25.81,1.13,1/1,0.152
480,C12H10N2O,199.0867,3.34,1.16,1/1,0.014
481,C20H19N3O,318.1601,16.74,0.93,1/1,0.003
482,C11H14ClN,196.0887,4.47,0.9,1/1,0.115
483,C16H14N2O3,283.1076,21.32,1.12,1/1,0.167
484,C23H36O3,361.2734,32.5,1.1,1/1,0.24
485,C13H18Br2N2O,378.9834,4.45,1.15,1/1,0.126
486,C20H21N5O6,428.1557,3.59,1.44,1/1,0.022
487,C11H12N2O2,205.0969,3.27,1.05,1/1,0.21
488,C21H17Cl3N4OS,479.0259,29.08,1.25,1/1,0.038
489,C29H36O10,545.238,8.59,1.01,1/1,0.869
490,C27H44O3,417.336,34.39,1.22,1/1,0.018
491,C20H28O6,365.1963,21.05,1.01,1/1,0.644
492,C17H17ClFN3O3,366.1014,3.9,1.34,1/1,0.003
493,C14H25N3O9,380.1688,4.85,0.91,1/1,0.037
494,C16H16O5,289.1077,4.85,1.41,1/1,0.003
495,C19H20FN3O3,358.1569,3.54,1.34,1/1,0.012
496,C8H12N4S3,261.0315,25.83,1.45,1/1,0.058
497,C25H21F3N4O3S,515.1372,31.28,1.08,1/1,0.447
498,C23H33N5O2,412.2705,4.14,1.15,1/1,0.129
499,C25H24N4O2,413.1973,4.29,1.2,1/1,0.052
500,C22H21NO3,348.1595,26.78,1.2,1/1,0.015
501,C27H28N4O3S2,521.1677,26.32,1.11,1/1,0.158
502,C26H24ClN3O3,462.1573,8,1.16,1/1,0.121
503,C22H30N4O,367.2488,3.86,1.26,1/1,0.026
504,C14H10F3N5O2,338.0857,15.86,1.37,1/1,0.02
505,C24H23N5OS,430.1698,30.29,1.12,1/1,0.27
506,C16H16N2OS,285.1058,18.04,0.71,1/1,0.063
507,C16H14N2O2S2,331.0568,25.83,1.22,1/1,0.05
508,C23H22N6O2,415.1872,4.03,1.25,1/1,0.015
509,C16H10N2O2,263.0815,13.92,1.32,1/1,0.012
510,C18H14N2O4,323.1025,13.74,1.4,1/1,0.002
511,C18H21F3N6O2,411.1751,5.02,1.5,1/1,0
512,C17H11F6N7O,444.0999,24.62,1.09,1/1,0.13
513,C31H29N5O6S,600.1912,31.42,1.08,1/1,0.159
514,C21H27N7O,394.235,9.11,1.13,1/1,0.005
515,C18H14Cl2N2O2,361.0507,27.52,1.02,1/1,0.673
516,C19H20ClN3,326.1419,9.94,0.88,1/1,0.236
517,C19H23N3O3,342.1811,13.75,1.28,1/1,0
518,C31H32N6O2,521.2672,31.31,0.92,1/1,0.231
519,C25H34N4O2S,455.2475,21.35,1.27,1/1,0.039
520,C17H13ClN4,309.0906,31.22,1.2,1/1,0.04
521,C16H10BrN3O2,356.0027,26.03,1.17,1/1,0.117
522,C23H30N8O3S,499.226,4.06,1.16,1/1,0.491
523,C22H21Cl2IN4O,555.0219,31.65,0.98,1/1,0.9
524,C21H28N6O2,397.2345,4.4,1.14,1/1,0.099
525,C18H17Cl2FN4OS,427.0553,13.45,1.22,1/1,0.031
526,C22H24N8OS,449.1868,26.53,1.2,1/1,0.012
527,C22H29N7O5,472.2292,16.48,0.55,1/2,0.004
528,C21H16FN7O,402.1474,8.55,1.07,1/1,0.233
529,C22H20N6O3,417.1669,7.51,1.25,1/1,0.063
530,C18H17F2N3O2,346.1363,25.85,1.1,1/1,0.309
531,C30H27BrN4O2,555.1387,15.84,1.09,1/1,0.298
532,C19H16N8O,373.1515,3.76,1.44,1/1,0.017
533,C25H23N5O2S,458.1645,8.65,1.2,1/1,0.32
534,C19H18N2O5S2,419.0728,28.41,1.07,1/1,0.392
535,C13H9Cl2N5,306.0306,8.21,1.2,1/1,0.011
536,C19H17N3O3,336.134,5.87,0.92,1/1,0.11
537,C24H25N5O3S,464.1748,9.52,1.28,1/1,0.17
538,C29H29N7O2,508.2454,4.48,1.4,1/1,0.026
539,C26H24F4N6O,513.2039,8.74,1.28,1/1,0.044
540,C21H17FN2O2,349.1349,8.44,1.16,1/1,0.102
541,C26H29N5O2,444.2392,7.45,1.26,1/1,0.002
542,C22H19ClN4O5,455.1119,12.89,1.49,1/1,0.039
543,C25H52NO4P,462.3703,33.01,0.93,1/1,0.539
544,C20H19N5,330.1715,14.53,1.16,1/1,0.003
545,C18H25NO3Si,332.168,32.14,1.03,1/1,0.691
546,C25H23N5O2,426.1921,3.96,1.21,1/1,0.004
547,C21H18F3N3O3S2,482.0816,29.75,1.13,1/1,0.296
548,C32H36N6O4,569.2876,19.37,1.06,1/1,0.429
549,C16H13FN2O2,285.1035,14.96,1.2,1/1,0.002
550,C16H14IN3O2,408.0206,9.27,1.39,1/1,0.079
551,C16H15N3O2,282.1237,4.67,1.3,1/1,0.022
552,C12H21N3O2,240.1703,15.11,0.97,1/1,0.632
553,C24H16F3NO4,440.11,31.2,1.14,1/1,0.077
554,C19H16ClNO4,358.0844,30.59,1.1,1/1,0.024
555,C22H19FN4O2,391.1563,4.32,1.29,1/1,0.023
556,C22H24Cl2N2O4,451.1183,27.67,1.24,1/1,0.007
557,C18H24N6O,341.2086,6.19,1.17,1/1,0.171
558,C9H11NOS,182.0631,5.4,1.26,1/1,0.091
559,C16H15N3O3,298.1184,3.82,1.39,1/1,0.022
560,C25H27N5O5,478.2084,24.39,1.01,1/1,0.924
561,C15H12N2O,237.1024,22.42,1.14,1/1,0.026
562,C29H24ClN3O3S,530.1298,29.27,1.24,1/1,0.069
563,C32H36N2O3,497.2799,31.58,1.3,1/1,0.026
564,C15H23N5O2S,338.1645,3.46,1.27,1/1,0.027
565,C17H16N4O2S,341.1067,5.51,1.38,1/1,0.018
566,C15H14O3S2,307.0456,27.19,1.26,1/1,0.045
567,C27H24N2O5,457.1759,27.51,1.05,1/1,0.076
568,C19H17NO3,308.1283,16.78,1.1,1/1,0.107
569,C20H24FN5O3,402.1935,26.33,1.07,1/1,0.3
570,C24H30ClN7O2S,516.1946,9.59,0.94,1/1,0.522
571,C11H10N2O2S,235.0535,13.02,1.17,1/1,0.135
572,C24H28N8O2,461.2409,12.85,1.04,1/1,0.679
573,C17H12BrFN2O3,391.0085,21.25,1.13,1/1,0.056
574,C34H36FN5O2,566.2918,25.4,1.2,1/1,0.012
575,C22H18FN3O2,376.1458,12.96,1.36,1/1,0.013
576,C22H30N4O6,447.2234,21.62,1.13,1/1,0.014
577,C18H13ClF6N2O3,455.0587,31.28,1.03,1/1,0.502
578,C19H21F3N6,391.1853,4.64,0.86,1/1,0.099
579,C28H25FN6O3,513.2046,8.74,1.27,1/1,0.034
580,C23H24N6,385.2137,10.4,1,1/1,0.938
581,C18H17N3O4S,372.101,5.02,1.29,1/1,0
582,C21H27N3O3,370.2127,14.16,1.06,1/1,0.37
583,C25H28Cl2N4O2,487.1662,4.05,1,1/1,0.982
584,C16H14BrN3O2,360.0343,8.02,1.21,1/1,0.001
585,C21H19FN4O,363.1613,22.41,1.07,1/1,0.277
586,C23H17FN6O2,429.147,17.85,0.85,1/1,0.133
587,C21H19F4N7,446.1704,5.74,1.4,1/1,0.06
588,C20H15NO3,318.1124,21.95,1.92,2/1,0.05
589,C20H23ClFNO,348.1527,13.49,1.15,1/1,0.053
590,C21H21N5,344.1871,4.73,1.09,1/1,0.243
591,C21H16FN3OS,378.107,4.07,1.33,1/1,0.015
592,C18H17N5O3S,384.1122,8.21,1.6,1/1,0.001
593,C16H12F3NOS,324.0665,29.31,1.08,1/1,0.013
594,C16H13NO2,252.102,25.76,1.17,1/1,0.001
595,C16H13ClFN3O2,334.0755,6.93,1.19,1/1,0.055
596,C23H28N8OS,465.2193,32.47,0.96,1/1,0.776
597,C26H34N2O5Si,483.2316,32.47,1,1/1,0.988
598,C15H18BrN7,376.0875,3.75,1.37,1/1,0.003
599,C20H22N2O5,371.1605,18.85,0.55,1/2,0
600,C12H11ClN2O2S,283.0303,26.35,0.99,1/1,0.772
601,C30H33N3O5S,548.2209,8.15,1.58,1/1,0.014
602,C16H15NO2,254.118,5.69,1.56,1/1,0.016
603,C23H23F3N2O4,449.1683,29.17,1.05,1/1,0.194
604,C17H15FN2O3,315.1139,14.99,1.27,1/1,0.008
605,C32H38ClN3O2,532.2721,19.98,0.78,1/1,0.003
606,C19H15Br2N3O3,493.9527,27.05,1.18,1/1,0.114
607,C20H21N3O2,336.1708,7.31,1.08,1/1,0.141
608,C16H16F3N3O3,356.122,31.05,1.24,1/1,0.006
609,C20H31N3O2S2,410.1933,32.44,1.11,1/1,0.241
610,C17H18N2O4,315.1338,4.31,1.28,1/1,0.02
611,C24H27N5O3,434.2186,15.54,1.16,1/1,0.06
612,C20H21NO4S,372.1267,27.4,1.12,1/1,0.257
613,C10H8BrN5OS,325.9705,5.65,1.47,1/1,0.009
614,C18H15Cl4N3OS,463.9731,29.88,1.24,1/1,0.007
615,C16H15NO7S,366.064,16.61,1.39,1/1,0.007
616,C13H12N4O2S2,321.0476,10.98,1.21,1/1,0.084
617,C12H7F2NO3S2,315.991,28.2,1.26,1/1,0.073
618,C22H20N2O5S,425.1161,13.32,1.3,1/1,0.034
619,C16H14N2O4,299.1028,23.64,1.15,1/1,0.148
620,C24H25ClFN5O3,486.1696,4.79,1.39,1/1,0.002
621,C21H20F3N7O3S,508.1371,6.6,1.34,1/1,0.005
622,C25H30N6O,431.2552,5.11,1.29,1/1,0.034
623,C25H27FN4O3,451.2141,10.9,1.01,1/1,0.68
624,C17H15BrF2N4O3,441.0366,9.06,1.27,1/1,0.003
625,C23H25NO,332.2007,13.77,0.89,1/1,0.011
626,C17H15NO3,282.1126,11.78,1.15,1/1,0.053
627,C43H69NO12,792.4889,31.41,1.05,1/1,0.534
628,C23H18N4O3,399.1452,4.68,1.27,1/1,0.112
629,C18H17N5O3,352.1402,3.74,1.3,1/1,0.005
630,C19H14F3N3O3,390.1035,14.63,1.2,1/1,0.021
631,C24H18F3N3O4,470.1322,15.91,1.1,1/1,0.153
632,C22H19N5O,370.1652,3.39,1.01,1/1,0.913
633,C18H21N5O2S,372.1486,3.98,1.44,1/1,0
634,C20H19ClFN5OS,432.1056,4.97,1.05,1/1,0.424
635,C17H17N7,320.1619,8.53,1.22,1/1,0.052
636,C25H23N7OS,470.1758,14.44,1.29,1/1,0.038
637,C17H14ClF2N3O3S,414.0483,23.71,1.17,1/1,0.049
638,C18H16N2OS,309.1059,30.81,1.09,1/1,0.26
639,C23H28N4O2,393.2286,12.87,1.29,1/1,0.02
640,C19H18F3N3O6,442.1217,21.46,1.13,1/1,0.047
641,C27H30ClN7O2,520.2222,12.94,1.05,1/1,0.339
642,C24H25F3N6S,487.1883,4.63,1.12,1/1,0.011
643,C19H19N5OS,366.1381,26.81,1.23,1/1,0.073
644,C25H20N4O2S2,473.1102,28.78,1.08,1/1,0.413
645,C16H13F3N4O,335.1116,20.78,1.09,1/1,0.113
646,C27H27N5O2,454.2234,3.32,1.03,1/1,0.116
647,C19H26N6O,355.2242,9.33,1.26,1/1,0.119
648,C19H16N2O2S2,369.0722,29.32,1.08,1/1,0.22
649,C17H15N5O,306.135,6.85,1.25,1/1,0.015
650,C25H30N4O2,419.2443,6.5,1.02,1/1,0.818
651,C17H21ClN4O3S2,429.0813,5.3,1.33,1/1,0.022
652,C19H24N8,365.2193,3.23,1.3,1/1,0.049
653,C28H30F3N7O3,570.2438,13.41,1.12,1/1,0.057
654,C26H21F3N4O4,511.1589,27.3,1.24,1/1,0.131
655,C20H17F2N3O2,370.1364,28.14,1.09,1/1,0.053
656,C25H27N7O3S2,538.1687,13.6,1.13,1/1,0.02
657,C21H21N3O2S,380.1427,10.7,1.1,1/1,0.201
658,C15H22N2O3,279.1704,9.58,1.01,1/1,0.921
659,C30H40ClN7O3S,614.2677,9.28,0.86,1/1,0.114
660,C26H27N5O2,442.2224,17.92,18.52,16/1,0
661,C17H18BrN3O4S,440.027,21.35,1.2,1/1,0.009
662,C29H31F3N6O3,569.2484,13.55,1.02,1/1,0.628
663,C14H7F6N3O,348.0567,27.9,1.18,1/1,0.015
664,C16H14ClN3O2,316.0849,7.3,1.06,1/1,0.016
665,C18H18N4O3S2,403.089,6,1.31,1/1,0.009
666,C20H27N7O3S,446.1965,6.74,1.36,1/1,0.032
667,C21H19N5O2S,406.1343,31.92,1.04,1/1,0.169
668,C23H21N5O3,416.1713,6.48,1.25,1/1,0.006
669,C18H17ClN2O3S,377.0723,27.73,1.12,1/1,0.193
670,C19H17N3O2S2,384.0835,24.82,1.37,1/1,0.004
671,C34H37N5O4,580.2915,28.05,1.12,1/1,0.009
672,C19H18ClN5OS,400.0994,15.61,1,1/1,0.926
673,C22H22FN3O3,396.1717,10.27,1.27,1/1,0.001
674,C24H19N3O6,446.1342,31.14,1.14,1/1,0.259
675,C27H28N4O2,441.2286,6.71,1.1,1/1,0
676,C26H19F3N4O,461.1585,25.81,1.13,1/1,0.085
677,C29H27N7O4S,570.191,3.66,1.39,1/1,0.022
678,C17H14ClF2IN2O2,478.9827,31.26,0.86,1/1,0.101
679,C12H9ClN2O4,281.0324,18.81,1.19,1/1,0.03
680,C22H25N3O3,380.1963,3.58,1.52,1/1,0.002
681,C19H23N9O,394.2095,5.12,1.2,1/1,0.043
682,C18H16N4O3S,369.1018,22.93,1.21,1/1,0.061
683,C19H23N5O3,370.1872,21.69,1.15,1/1,0.036
684,C23H28N4O4S,457.1905,26.7,1.13,1/1,0.268
685,C27H40N8O7,589.3095,4.59,1.21,1/1,0.118
686,C13H8N6,249.0883,3.8,1.3,1/1,0.015
687,C18H12Cl2N4O4S,451.0026,30.42,1.21,1/1,0.005
688,C22H15Br2N3O4,545.9482,31.21,1.44,1/1,0.066
689,C37H61N7O2,636.4953,3.34,1.07,1/1,0.311
690,C23H25N3O3S,424.169,16.79,1.23,1/1,0.007
691,C23H24FN9O,462.2162,22.67,1.18,1/1,0.069
692,C20H20N4O,333.1701,32.14,0.95,1/1,0.61
693,C26H35N7O2S,510.261,7.56,1.09,1/1,0.234
694,C21H16Cl2N4OS,443.0497,31.04,1.12,1/1,0.135
695,C29H23N5O3S,522.1596,23.71,1.22,1/1,0.185
696,C19H23N7O2,382.1968,3.35,1.29,1/1,0.007
697,C26H43N5O7,538.3236,16.99,1.12,1/1,0.165
698,C18H21N3OS,328.1479,26.2,1.42,1/1,0.013
699,C22H21ClN2O3,397.1311,13.44,1.06,1/1,0.285
700,C6H7N5,150.0773,0.6,0.91,1/1,0.623
701,C28H34N2O,415.2745,18.99,1.13,1/1,0.133
702,C7H5N5S2,224.0058,5.47,1.29,1/1,0.008
703,C12H15N3O2,234.1233,0.59,2.81,4/1,0.014
704,C26H31N3O5,466.2338,7.68,1.31,1/1,0.004
705,C25H17F2N5O3S,506.1092,16.83,1.18,1/1,0.074
706,C18H18N4,291.1602,0.64,1.8,2/1,0.026
707,C13H14ClN3O2,280.0848,6.98,1.41,1/1,0.003
708,C15H13N5OS,312.0916,5.88,1.2,1/1,0.05
709,C18H15NO4,310.108,30.81,1.07,1/1,0.396
710,C23H26FN6O9P,581.1556,6.93,1.25,1/1,0.02
711,C28H30N6OS,499.2268,4.06,1.19,1/1,0.427
712,C26H31BrN8O,551.1871,3.7,1.43,1/1,0.005
713,C29H31F3N2O3,513.2363,21.84,1.08,1/1,0.387
714,C24H20F3N5O,452.1692,17.31,0.93,1/1,0.214
715,C18H15ClN6OS2,431.0505,10.63,1.33,1/1,0.004
716,C15H19N7O3S,378.1342,5.64,1.88,2/1,0.013
717,C31H33N3O5,528.2489,7.84,1.46,1/1,0
718,C20H22F3N5O,406.1847,4.38,0.63,1/2,0.011
719,C19H12N2O2Cl2,371.0347,28.97,1.17,1/1,0.185
720,C23H25ClFN7O,470.1864,11.51,1.1,1/1,0.077
721,C15H14F2N4S,321.098,3.77,1.31,1/1,0.001
722,C14H12N4OS,285.0803,3.19,1.91,2/1,0.002
723,C21H18Cl2N2O4,433.0713,31.28,1.19,1/1,0.025
724,C25H33N7O2,464.2762,3.56,1.12,1/1,0.069
725,C25H25BrN6O2,521.1292,11.5,1.08,1/1,0.112
726,C19H20FN5,338.1776,5.93,1.03,1/1,0.35
727,C9H7ClFN5O2,272.0344,15.48,1.21,1/1,0.063
728,C30H28FN7O3,554.2312,24.25,1.31,1/1,0.022
729,C23H21Cl2FN4O3,491.105,13.16,1.18,1/1,0.045
730,C25H30N2O5,439.223,30.57,1.05,1/1,0.261
731,C18H25N5S2,376.1626,9.51,1.34,1/1,0.061
732,C25H22N2O2,383.1756,28.13,1.27,1/1,0.004
733,C28H41N7O3,524.3346,13.41,1.09,1/1,0.251
734,C21H18FN5O,376.1569,22.76,1.21,1/1,0
735,C22H20Br2N2O2,504.994,31.61,0.99,1/1,0.925
736,C27H31N7O2,486.2611,4.03,0.67,1/1,0.009
737,C24H29N3O2,392.2333,9.25,0.9,1/1,0.11
738,C13H20Cl2N2,275.1078,3.5,0.93,1/1,0.222
739,C15H14N2O,239.1163,27.73,1.01,1/1,0.793
740,C17H17N3O2,296.1393,3.36,1.34,1/1,0.001
741,C18H22N2O,283.1806,10.23,0.99,1/1,0.863
742,C19H16N2O5,353.1133,25.96,1.26,1/1,0.005
743,C19H16N2O5,353.1127,27.5,1.28,1/1,0.009
744,C20H17Cl2N9O2,486.0951,7.88,1.09,1/1,0.316
745,C22H21N3O3S,408.1378,28.46,1.18,1/1,0
746,C22H21N3O3S,408.1333,31.92,1.11,1/1,0.052
747,C23H20N6O,397.177,3.86,1.53,1/1,0.015
748,C23H20N6O,397.1769,4.85,0.85,1/1,0.081
749,C23H21N5O3S,448.1437,6,1.3,1/1,0.043
750,C24H29N7O2,448.2461,11.12,1.33,1/1,0.033
751,C25H31N5O4,466.2449,9.32,1.31,1/1,0.142
752,C25H31N5O4,466.245,8.69,1.08,1/1,0.09
753,C29H27F3N6O,533.2272,18.3,1.27,1/1,0.002
754,C37H40N2O6,609.2954,3.88,0.78,1/1,0.113
755,C25H31N7O6,548.2211,8.15,1.6,2/1,0.011
756,C19H14N2O4,357.0843,15.04,1.73,2/1,0.011
757,C16H18N2OS,309.1057,30.81,1.08,1/1,0.256
758,C14H16N2O2S,299.0795,14.19,1.27,1/1,0.127
759,C17H12N2O2,299.0814,13.34,0.97,1/1,0.107
760,C22H33N8O6S2,592.1881,31.53,1.61,1/1,0.567
761,C19H20N4O2,359.1468,28.3,1.25,1/1,0.028
762,C35H46O20,804.2916,3.42,1.39,1/1,0.039
763,C29H24F3N5O,533.2272,18.3,1.27,1/1,0.002
764,C26H44O4,438.357,31,1.03,1/1,0.497
765,C24H27N7O,447.2574,26.99,1.11,1/1,0.561
766,C32H37N4O12S3,766.1635,31.79,1.27,1/1,0
767,C19H24N2S,313.1765,3.39,1.23,1/1,0.039
768,C19H24N2S,313.173,5.07,1.17,1/1,0.177
769,C19H24N2S,313.1768,32.26,0.96,1/1,0.704
770,C15H25NO3,268.1887,7.84,1.06,1/1,0.317
771,C11H11N5,214.1106,7.45,1.41,1/1,0.015
772,C11H11N5,214.1103,28.41,1.15,1/1,0.081
773,C21H28O5,361.1987,31.44,1.15,1/1,0.139
774,C21H26N2S2,371.16,9.65,1.09,1/1,0.318
775,C18H28N2O4,337.2167,13.04,1.3,1/1,0.001
776,C21H19F2N3O3,400.1473,4.68,1.39,1/1,0.057
777,C21H19F2N3O3,400.1427,27.69,1.22,1/1,0.051
778,C25H31NO6,442.2233,3.24,0.97,1/1,0.831
779,C22H38O5,383.2788,13.04,0.98,1/1,0.77
780,C12H20N4O7,333.1411,13.48,1.15,1/1,0.178
781,C17H16FN3O2S,346.1025,4.78,1.56,1/1,0.003
782,C17H16FN3O2S,346.1022,13.08,1.07,1/1,0.133
783,C22H28F2O5,411.196,32.44,1.09,1/1,0.324
784,C20H29FO3,337.2127,3.78,0.06,1/16,0
785,C16H21N5O2,316.1767,0.6,1.11,1/1,0.523
786,C21H23N7O2S,438.1719,32.47,0.87,1/1,0.373
787,C15H13NO3,256.0966,3.74,1.84,2/1,0.002
788,C15H13NO3,256.0992,5.93,1.06,1/1,0.067
789,C15H22N2O,247.1805,12.02,0.88,1/1,0.159
790,C15H22N2O,247.1804,24.68,1.41,1/1,0.069
791,C19H17N5O2,348.1423,25.55,1.04,1/1,0.642
792,C14H17N3O2S,292.1086,28.81,1.26,1/1,0.01
793,C27H31N7OS,502.2354,14.91,1.14,1/1,0.109
794,C27H37N3O7S,548.2492,29.31,0.9,1/1,0.18
795,C20H19F2N3O5,420.1304,6.51,1.12,1/1,0.457
796,C20H23NO4,342.1691,0.59,2.72,4/1,0.007
797,C22H29N3O4S,432.1896,14.95,0.97,1/1,0.811
798,C15H14N2O2,255.1127,3.47,0.98,1/1,0.756
799,C9H12ClN5O,242.0805,2.01,1.11,1/1,0.009
800,C14H10N4O5,315.0768,31.05,1.03,1/1,0.337
801,C17H21NO3,288.1597,2.31,1.19,1/1,0.013
802,C24H30O6,415.2113,11.83,1.31,1/1,0.004
803,C24H30O6,415.2117,27,1.34,1/1,0.012
804,C19H18N2O4S,371.107,4.04,1,1/1,0.964
805,C19H18N2O4S,371.1059,23.76,1.21,1/1,0.001
806,C19H18N2O4S,371.1008,31.39,1.08,1/1,0.842
807,C19H18N2O4S,371.1016,31.96,1.42,1/1,0.53
808,C19H18N2O4S,371.1016,32.74,0.91,1/1,0.795
809,C19H18N2O4S,371.1012,34.07,0.87,1/1,0.732
810,C24H26FNO4,412.1958,18.18,1.12,1/1,0.221
811,C24H26FNO4,412.1911,32.44,1.15,1/1,0.202
812,C16H25NO4,296.1837,5.17,1.34,1/1,0.025
813,C22H22N2O4,379.166,4.85,0.96,1/1,0.344
814,C22H22N2O4,379.1652,7.68,1.4,1/1,0.004
815,C22H22N2O4,379.1615,9.51,1.37,1/1,0.006
816,C22H22N2O4,379.1651,25.55,1.08,1/1,0.838
817,C15H9FN2O3,285.07,9.06,1.05,1/1,0.473
818,C20H25NO2S2,376.14,13.77,1.17,1/1,0.018
819,C9H14N4O3,227.1142,10.9,1.18,1/1,0.169
820,C25H25N5O4,460.192,26.7,1.2,1/1,0.028
821,C10H17NOS,200.1103,3.27,0.98,1/1,0.834
822,C12H11NO,186.0886,3.39,0.95,1/1,0.789
823,C15H21N3O2S,308.1404,9.28,1.29,1/1,0.005
824,C6H8N2,109.0754,3.52,1.18,1/1,0.135
825,C6H8N2,109.0755,4.85,1.76,2/1,0.028
826,C21H43N5O7,478.3273,27.74,1.04,1/1,0.881
827,C16H20N6O,313.1733,5.07,1.2,1/1,0.166
828,C16H20N6O,313.174,12.32,4.57,4/1,0
829,C16H20N6O,313.1772,32.27,0.97,1/1,0.774
830,C19H20FNO3,330.1487,26.78,1.27,1/1,0.026
831,C24H32O7,433.222,30.06,1.13,1/1,0.126
832,C13H15NO3,234.1125,29.49,1.18,1/1,0.064
833,C13H15NO3,234.1125,30.57,1.17,1/1,0.038
834,C12H13NO3,220.0984,31.31,1.25,1/1,0.011
835,C8H11NO2,154.0855,3.4,1.83,2/1,0.128
836,C8H11NO2,154.086,31.66,0.21,1/4,0.037
837,C8H11NO2,154.0859,31.72,0.14,1/4,0
838,C12H11N5,226.1114,10.9,1.15,1/1,0.078
839,C8H13NO2,156.1015,3.33,1.18,1/1,0.074
840,C15H12O2,225.0915,10.98,1.08,1/1,0.176
841,C13H16N4O6,325.1131,25.9,1.94,2/1,0.015
842,C15H24N2O2,265.1912,2.17,1.2,1/1,0.113
843,C15H24N2O,249.1963,1.55,0.96,1/1,0.596
844,C15H24N2O,249.196,18.99,1.5,1/1,0.034
845,C21H24N4O2S,397.1736,10.26,1.25,1/1,0.069
846,C26H24N8O2,481.2147,12.79,0.28,1/4,0
847,C18H10F3NO3S2,410.0126,29.75,0.37,1/2,0.01
848,C18H10F3NO3S2,410.0126,30.02,0.69,1/1,0.011
849,C22H22F3N3O3,434.1698,18.48,1.39,1/1,0.021
850,C21H24FN5O5S,478.1589,8.57,1.11,1/1,0.301
851,C27H31FN6OS,507.2315,14.93,1.06,1/1,0.154
852,C15H15N7O,310.141,4.12,1.4,1/1,0.003
853,C30H22N4O2,471.1799,14.58,7.96,16/1,0
854,C25H27N3O2S,434.1953,27.82,1.24,1/1,0.075
855,C14H16ClN5O2S,354.0787,5.67,1.12,1/1,0.325
856,C27H27N7O2S,514.2009,7.15,1.19,1/1,0.324
857,C27H27N7O2S,514.2063,8.74,1.26,1/1,0.032
858,C10H7NO2,174.0574,4.43,1.55,1/1,0.005
859,C10H7NO2,174.0528,13.41,1.1,1/1,0.072
860,C20H20N4O3,365.1583,4.28,0.89,1/1,0.466
861,C28H31N5O,454.2623,4.83,1.05,1/1,0.553
862,C27H31FN4O2,463.2551,6.11,1.19,1/1,0.104
863,C20H21N5O4,396.171,10.27,1.29,1/1,0.003
864,C22H20FN3O2,378.1598,9.51,1.34,1/1,0.029
865,C24H18FN3O2,400.1473,4.07,0.35,1/4,0.001
866,C24H18FN3O2,400.1472,4.68,1.39,2/1,0.056
867,C24H18FN3O2,400.1427,27.69,1.22,1/1,0.06
868,C12H17N3O3S,284.1099,21.32,1.16,1/1,0.202
