mz,rt,Compound Name,formula,Fold change,p-value,Compound concentration ratio
546.1429,19.8,438,C25H22F3N5O4S,1.05,0.455,1/1
329.0901,25.7,439,C18H11F3N2O,1.04,0.37,1/1
563.3466,3.61,440,C30H42N8O3,1.09,0.018,1/1
609.2975,0.58,441,C37H40N2O6,0.91,0.096,1/1
192.077,3.32,442,C9H9N3O2,1.05,0.539,1/1
401.3059,33.31,443,C26H40O3,0.95,0.433,1/1
359.2223,14.14,444,C22H30O4,1,0.962,1/1
560.2081,23.93,445,C28H37N3O3S3,0.92,0.054,1/1
435.2035,7.83,446,C24H26N4O4,1.05,0.081,1/1
486.9446,30.77,447,C16H14Br2N4O4,0.95,0.612,1/1
168.034,0.91,448,C5H5N5S,0.93,0.534,1/1
126.0551,0.63,449,C6H7NO2,0.97,0.589,1/1
459.0061,11.65,450,C17H15BrClFN4O3,1.08,0.091,1/1
465.1014,26.06,451,C21H16F4N4O2S,0.95,0.511,1/1
377.1615,3.54,452,C21H20N4O3,0.97,0.588,1/1
542.2177,4.26,453,C27H32ClN5O5,0.55,0,1/2
524.0375,6.61,454,C19H17N5O7S3,1.12,0.002,1/1
392.2588,32.18,455,C26H33NO2,0.94,0.275,1/1
248.0504,1.93,456,C8H10FN3O3S,0.86,0.093,1/1
587.2879,5.88,457,C33H38N4O6,0.99,0.712,1/1
433.1941,27.78,458,C23H26F2N2O4,0.84,0.06,1/1
469.2588,31.37,459,C28H36O6,0.87,0.525,1/1
522.32,3.95,460,C28H39N7O3,0.99,0.876,1/1
494.2667,18.1,461,C29H31N7O,1.04,0.319,1/1
448.2466,4.66,462,C24H29N7O2,1.07,0.085,1/1
136.062,0.58,463,C5H5N5,0.96,0.07,1/1
608.2283,24.86,464,C35H28F3N5O2,1.05,0.126,1/1
344.1864,4.5,465,C20H25NO4,0.74,0.443,1/1
343.1227,31.6,466,C12H22O11,0.9,0.308,1/1
384.1746,6.31,467,C21H25N3O2S,0.74,0.005,1/1
358.1681,3.75,468,C18H20FN5O2,1.02,0.794,1/1
416.1894,4.99,469,C26H26ClN3,0.82,0.104,1/1
311.1391,21.19,470,C18H18N2O3,1.04,0.573,1/1
468.2152,16.62,471,C22H30FN3O7,1.11,0.279,1/1
296.1397,3.4,472,C17H17N3O2,1.09,0.108,1/1
305.2478,25.7,473,C20H32O2,0.92,0.415,1/1
199.0869,3.38,474,C12H10N2O,1.07,0.077,1/1
318.1605,16.58,475,C20H19N3O,1.08,0.097,1/1
196.0893,4.49,476,C11H14ClN,1.07,0.01,1/1
283.1081,20.88,477,C16H14N2O3,1.06,0.538,1/1
361.2741,32.52,478,C23H36O3,1,0.99,1/1
378.9846,4.47,479,C13H18Br2N2O,1.05,0.127,1/1
428.1573,3.59,480,C20H21N5O6,1.05,0.401,1/1
479.0273,28.96,481,C21H17Cl3N4OS,1.05,0.396,1/1
545.2394,8.44,482,C29H36O10,0.93,0.21,1/1
417.3371,34.31,483,C27H44O3,0.9,0.222,1/1
366.1023,3.92,484,C17H17ClFN3O3,1.04,0.381,1/1
358.1567,3.57,485,C19H20FN3O3,1.06,0.109,1/1
515.1369,31.37,486,C25H21F3N4O3S,0.94,0.534,1/1
218.0815,3.8,487,C12H11NO3,0.99,0.748,1/1
412.2713,4.18,488,C23H33N5O2,1.01,0.758,1/1
413.1977,4.27,489,C25H24N4O2,1.01,0.794,1/1
348.1599,26.5,490,C22H21NO3,1.03,0.2,1/1
521.1688,26.26,491,C27H28N4O3S2,0.97,0.336,1/1
462.1587,7.87,492,C26H24ClN3O3,1.09,0.047,1/1
367.25,3.87,493,C22H30N4O,1.04,0.537,1/1
430.1702,30.22,494,C24H23N5OS,1.01,0.781,1/1
285.1059,17.54,495,C16H16N2OS,0.99,0.881,1/1
331.0574,25.69,496,C16H14N2O2S2,0.95,0.218,1/1
263.0819,13.48,497,C16H10N2O2,1.07,0.595,1/1
323.1031,13.3,498,C18H14N2O4,1.05,0.355,1/1
411.1757,4.97,499,C18H21F3N6O2,1.3,0.023,1/1
600.1922,31.52,500,C31H29N5O6S,0.9,0.209,1/1
394.2354,8.96,501,C21H27N7O,0.96,0.483,1/1
361.0511,27.44,502,C18H14Cl2N2O2,0.91,0.361,1/1
353.1138,27.39,503,C19H16N2O5,0.97,0.686,1/1
326.1424,9.89,504,C19H20ClN3,0.76,0.009,1/1
342.1818,13.46,505,C19H23N3O3,1.05,0.44,1/1
521.2669,31.39,506,C31H32N6O2,0.86,0.048,1/1
455.2485,21.4,507,C25H34N4O2S,1.11,0.323,1/1
309.0905,31.27,508,C17H13ClN4,1.11,0.133,1/1
451.1527,12.78,509,C23H27ClO7,1.04,0.712,1/1
356.0036,25.83,510,C16H10BrN3O2,1.07,0.239,1/1
499.2245,3.8,511,C23H30N8O3S,0.98,0.731,1/1
555.0217,31.74,512,C22H21Cl2IN4O,0.92,0.138,1/1
397.2353,4.38,513,C21H28N6O2,0.9,0.01,1/1
427.0565,13.39,514,C18H17Cl2FN4OS,1.01,0.889,1/1
449.1876,26.3,515,C22H24N8OS,1.17,0.06,1/1
472.2313,3.51,516,C22H29N7O5,1.02,0.747,1/1
325.1778,5.96,517,C19H26O3,1.13,0.007,1/1
402.148,8.24,518,C21H16FN7O,0.97,0.267,1/1
417.1676,7.23,519,C22H20N6O3,0.94,0.27,1/1
341.1516,3.37,520,C20H16N6,0.99,0.837,1/1
346.1366,25.73,521,C18H17F2N3O2,0.94,0.167,1/1
555.1401,15.78,522,C30H27BrN4O2,1.03,0.645,1/1
373.1527,3.73,523,C19H16N8O,1.05,0.422,1/1
458.1654,8.44,524,C25H23N5O2S,1.01,0.93,1/1
419.0735,28.31,525,C19H18N2O5S2,0.95,0.483,1/1
306.0312,7.81,526,C13H9Cl2N5,1.1,0.101,1/1
336.1349,5.82,527,C19H17N3O3,0.86,0.123,1/1
464.1764,9.38,528,C24H25N5O3S,0.95,0.286,1/1
508.2468,4.39,529,C29H29N7O2,0.99,0.938,1/1
349.1353,8.11,530,C21H17FN2O2,0.82,0.209,1/1
444.2405,7.26,531,C26H29N5O2,1.09,0.031,1/1
455.1126,12.79,532,C22H19ClN4O5,1.1,0.033,1/1
462.3714,31.72,533,C25H52NO4P,1.03,0.866,1/1
330.1717,14.35,534,C20H19N5,1.01,0.885,1/1
332.168,32.18,535,C18H25NO3Si,0.94,0.394,1/1
426.1931,3.93,536,C25H23N5O2,0.99,0.685,1/1
482.0828,29.68,537,C21H18F3N3O3S2,0.91,0.297,1/1
569.2878,19.24,538,C32H36N6O4,0.99,0.872,1/1
285.1037,14.47,539,C16H13FN2O2,0.96,0.664,1/1
408.021,9.1,540,C16H14IN3O2,1.28,0.003,1/1
282.1241,4.67,541,C16H15N3O2,1.17,0.044,1/1
240.1709,14.83,542,C12H21N3O2,0.94,0.473,1/1
440.1114,31.29,543,C24H16F3NO4,0.94,0.656,1/1
358.0847,30.53,544,C19H16ClNO4,0.99,0.866,1/1
391.157,4.26,545,C22H19FN4O2,1,0.971,1/1
451.1196,27.64,546,C22H24Cl2N2O4,0.95,0.545,1/1
341.209,6.14,547,C18H24N6O,1.1,0.003,1/1
182.0638,5.49,548,C9H11NOS,0.96,0.598,1/1
298.119,3.84,549,C16H15N3O3,1.11,0.056,1/1
478.2096,24.14,550,C25H27N5O5,1,0.941,1/1
237.1026,11.01,551,C15H12N2O,1.01,0.871,1/1
530.1312,28.9,552,C29H24ClN3O3S,0.92,0.1,1/1
497.2805,31.64,553,C32H36N2O3,0.95,0.416,1/1
338.1651,3.51,554,C15H23N5O2S,1.08,0.26,1/1
341.1074,5.46,555,C17H16N4O2S,1.13,0.048,1/1
307.0461,27.02,556,C15H14O3S2,0.94,0.354,1/1
457.1769,27.46,557,C27H24N2O5,0.93,0.552,1/1
308.1284,16.44,558,C19H17NO3,0.86,0.147,1/1
516.1956,9.27,559,C24H30ClN7O2S,0.77,0.023,1/1
235.0539,12.7,560,C11H10N2O2S,0.99,0.938,1/1
461.2417,12.5,561,C24H28N8O2,1.07,0.406,1/1
391.0094,20.82,562,C17H12BrFN2O3,0.98,0.857,1/1
566.2912,25.53,563,C34H36FN5O2,0.78,0.005,1/1
514.1702,6.46,564,C23H27N7O3S2,1.06,0.027,1/1
447.2248,21.31,565,C22H30N4O6,1,0.942,1/1
455.0601,31.37,566,C18H13ClF6N2O3,0.92,0.492,1/1
391.1858,4.57,567,C19H21F3N6,0.89,0.125,1/1
504.9956,31.7,568,C22H20Br2N2O2,0.94,0.591,1/1
385.214,10.33,569,C23H24N6,0.93,0.275,1/1
372.102,4.93,570,C18H17N3O4S,0.95,0.322,1/1
370.2129,14.09,571,C21H27N3O3,0.91,0.17,1/1
487.1672,4.03,572,C25H28Cl2N4O2,0.9,0.173,1/1
360.0348,7.89,573,C16H14BrN3O2,1.08,0.026,1/1
363.1621,21.93,574,C21H19FN4O,0.96,0.344,1/1
429.1478,17.54,575,C23H17FN6O2,0.97,0.732,1/1
446.1722,5.56,576,C21H19F4N7,1.07,0.277,1/1
318.1131,21.45,577,C20H15NO3,0.97,0.658,1/1
275.108,3.54,578,C13H20Cl2N2,0.96,0.228,1/1
348.153,13.39,579,C20H23ClFNO,1.01,0.929,1/1
344.1876,4.75,580,C21H21N5,1.04,0.449,1/1
378.1078,4.06,581,C21H16FN3OS,1.06,0.273,1/1
384.1131,7.92,582,C18H17N5O3S,1.23,0.002,1/1
324.0671,29.25,583,C16H12F3NOS,0.93,0.593,1/1
252.1023,25.51,584,C16H13NO2,0.91,0.112,1/1
334.0759,6.84,585,C16H13ClFN3O2,0.64,0.001,1/2
465.2192,5.58,586,C23H28N8OS,0.71,0.001,1/1
376.1574,22.13,587,C21H18FN5O,1.06,0.211,1/1
483.2316,32.48,588,C26H34N2O5Si,0.99,0.838,1/1
376.0887,3.78,589,C15H18BrN7,0.99,0.65,1/1
283.0306,26.15,590,C12H11ClN2O2S,1.03,0.221,1/1
254.118,32.11,591,C16H15NO2,1.27,0.197,1/1
449.1692,29.15,592,C23H23F3N2O4,0.95,0.4,1/1
315.1142,14.61,593,C17H15FN2O3,1.03,0.536,1/1
532.2739,20.04,594,C32H38ClN3O2,1.07,0.508,1/1
493.9543,26.94,595,C19H15Br2N3O3,0.97,0.433,1/1
336.171,7.3,596,C20H21N3O2,1.01,0.859,1/1
356.122,31.09,597,C16H16F3N3O3,0.91,0.298,1/1
410.1935,32.46,598,C20H31N3O2S2,0.96,0.659,1/1
315.1343,4.29,599,C17H18N2O4,0.99,0.726,1/1
434.2195,15.32,600,C24H27N5O3,0.99,0.906,1/1
372.127,27.31,601,C20H21NO4S,0.84,0.045,1/1
283.1808,10.22,602,C18H22N2O,0.83,0.012,1/1
325.9712,5.47,603,C10H8BrN5OS,1.01,0.788,1/1
463.9745,29.84,604,C18H15Cl4N3OS,0.91,0.151,1/1
366.0647,16.14,605,C16H15NO7S,0.94,0.679,1/1
321.048,10.74,606,C13H12N4O2S2,0.82,0.017,1/1
425.1172,12.98,607,C22H20N2O5S,1.01,0.853,1/1
299.1029,23.11,608,C16H14N2O4,0.98,0.685,1/1
486.1712,4.75,609,C24H25ClFN5O3,1.01,0.932,1/1
508.1386,6.3,610,C21H20F3N7O3S,1.02,0.51,1/1
431.2563,5.14,611,C25H30N6O,1.12,0.22,1/1
451.215,10.79,612,C25H27FN4O3,1.05,0.531,1/1
441.038,8.75,613,C17H15BrF2N4O3,1.05,0.134,1/1
332.2011,13.71,614,C23H25NO,0.71,0.023,1/1
282.1127,11.5,615,C17H15NO3,0.98,0.833,1/1
792.491,31.55,616,C43H69NO12,1.02,0.886,1/1
399.1458,4.63,617,C23H18N4O3,0.98,0.618,1/1
352.1411,3.73,618,C18H17N5O3,1.03,0.606,1/1
235.1015,5.32,619,C11H14N4S,0.71,0.095,1/1
470.133,15.75,620,C24H18F3N3O4,1.01,0.868,1/1
370.167,3.42,621,C22H19N5O,0.94,0.174,1/1
372.1496,3.99,622,C18H21N5O2S,1.14,0.105,1/1
432.1065,4.88,623,C20H19ClFN5OS,1.31,0.002,1/1
320.1624,8.28,624,C17H17N7,0.99,0.757,1/1
239.118,27.62,625,C15H14N2O,1.01,0.946,1/1
470.177,14.37,626,C25H23N7OS,1.18,0.067,1/1
414.0492,23.3,627,C17H14ClF2N3O3S,0.97,0.537,1/1
309.1058,30.76,628,C18H16N2OS,0.92,0.159,1/1
393.2289,12.79,629,C23H28N4O2,1.19,0.017,1/1
359.1477,28.24,630,C19H20N4O2,1.01,0.774,1/1
442.123,20.99,631,C19H18F3N3O6,1.07,0.315,1/1
467.0676,27.88,632,C22H18N4O2S3,0.85,0.026,1/1
520.2235,12.83,633,C27H30ClN7O2,1.08,0.319,1/1
487.1896,4.61,634,C24H25F3N6S,1.05,0.31,1/1
366.139,26.69,635,C19H19N5OS,1.1,0.046,1/1
473.1112,28.71,636,C25H20N4O2S2,0.92,0.02,1/1
335.1119,20.4,637,C16H13F3N4O,0.98,0.743,1/1
299.0829,12.81,638,C14H16N2O2S,1.78,0.004,2/1
355.2246,9.21,639,C19H26N6O,1.08,0.217,1/1
306.1353,6.52,640,C17H15N5O,1,0.945,1/1
419.2447,6.5,641,C25H30N4O2,0.89,0.001,1/1
429.0825,5.28,642,C17H21ClN4O3S2,1.11,0.043,1/1
365.2204,3.29,643,C19H24N8,1.13,0.035,1/1
570.2449,13.27,644,C28H30F3N7O3,1.14,0.082,1/1
511.1598,27.09,645,C26H21F3N4O4,1.17,0.003,1/1
538.1702,13.49,646,C25H27N7O3S2,1.08,0.038,1/1
380.1434,14.76,647,C21H21N3O2S,0.97,0.701,1/1
279.1707,9.41,648,C15H22N2O3,0.72,0,1/1
614.269,9.04,649,C30H40ClN7O3S,0.95,0.37,1/1
440.0284,20.95,650,C17H18BrN3O4S,1,0.99,1/1
569.2495,13.46,651,C29H31F3N6O3,1.18,0.006,1/1
348.057,27.84,652,C14H7F6N3O,0.96,0.577,1/1
316.0853,7.18,653,C16H14ClN3O2,1.03,0.085,1/1
403.09,5.72,654,C18H18N4O3S2,1.03,0.632,1/1
446.1979,6.61,655,C20H27N7O3S,1.21,0,1/1
406.1337,31.98,656,C21H19N5O2S,0.98,0.735,1/1
416.1723,6.35,657,C23H21N5O3,1.08,0.008,1/1
377.0728,27.67,658,C18H17ClN2O3S,1.01,0.902,1/1
384.0841,24.47,659,C19H17N3O2S2,1.06,0.016,1/1
580.2931,28.08,660,C34H37N5O4,0.92,0.163,1/1
400.1,15.36,661,C19H18ClN5OS,0.81,0.006,1/1
383.0467,12.58,662,C20H12N2O3S,0.95,0.147,1/1
396.1724,10.08,663,C22H22FN3O3,0.99,0.819,1/1
446.1356,31.22,664,C24H19N3O6,0.91,0.177,1/1
441.2295,6.66,665,C27H28N4O2,1,0.847,1/1
461.1593,25.98,666,C26H19F3N4O,0.98,0.601,1/1
570.1933,3.66,667,C29H27N7O4S,1.03,0.436,1/1
478.9843,31.35,668,C17H14ClF2IN2O2,0.94,0.498,1/1
281.0327,18.34,669,C12H9ClN2O4,1.07,0.335,1/1
486.2623,4,670,C27H31N7O2,0.85,0.003,1/1
380.1975,3.61,671,C22H25N3O3,1.09,0.039,1/1
394.2106,5.01,672,C19H23N9O,1.01,0.617,1/1
369.1023,22.36,673,C18H16N4O3S,1.03,0.67,1/1
370.188,21.35,674,C19H23N5O3,0.96,0.406,1/1
457.1914,26.62,675,C23H28N4O4S,1.04,0.015,1/1
589.3107,4.59,676,C27H40N8O7,0.99,0.771,1/1
249.0887,3.77,677,C13H8N6,1,0.969,1/1
451.0042,30.37,678,C18H12Cl2N4O4S,0.98,0.752,1/1
545.9497,31.3,679,C22H15Br2N3O4,1.03,0.877,1/1
636.4969,3.34,680,C37H61N7O2,0.57,0.006,1/2
497.2482,31.7,681,C28H36N2O4S,0.92,0.278,1/1
424.1695,16.31,682,C23H25N3O3S,1.02,0.71,1/1
462.2169,22.25,683,C23H24FN9O,1.11,0.439,1/1
333.1702,32.18,684,C20H20N4O,0.95,0.435,1/1
443.0504,31.09,685,C21H16Cl2N4OS,0.9,0.001,1/1
522.1602,23.31,686,C29H23N5O3S,1.05,0.188,1/1
382.1992,3.38,687,C19H23N7O2,0.97,0.713,1/1
538.3246,16.84,688,C26H43N5O7,0.78,0,1/1
299.0796,13.89,689,C17H12N2O2,0.82,0,1/1
397.132,13.36,690,C22H21ClN2O3,0.99,0.86,1/1
150.0777,0.57,691,C6H7N5,1.02,0.591,1/1
415.2749,18.8,692,C28H34N2O,1.04,0.591,1/1
224.0063,5.35,693,C7H5N5S2,0.97,0.669,1/1
234.124,0.58,694,C12H15N3O2,1.01,0.888,1/1
466.2348,7.59,695,C26H31N3O5,1.13,0.002,1/1
506.1106,16.37,696,C25H17F2N5O3S,1.11,0.038,1/1
291.1607,0.58,697,C18H18N4,0.91,0.026,1/1
466.2458,8.64,698,C25H31N5O4,0.99,0.254,1/1
280.0852,6.77,699,C13H14ClN3O2,0.84,0.026,1/1
312.0918,5.67,700,C15H13N5OS,1.01,0.839,1/1
405.2655,3.33,701,C25H32N4O,1.22,0.035,1/1
581.157,6.67,702,C23H26FN6O9P,1.06,0.15,1/1
501.1618,21.99,703,C26H29ClN2O4S,0.92,0.289,1/1
371.1067,24.45,704,C19H18N2O4S,0.88,0.01,1/1
499.2284,4,705,C28H30N6OS,0.89,0.038,1/1
551.1891,3.71,706,C26H31BrN8O,0.97,0.615,1/1
513.2369,21.64,707,C29H31F3N2O3,0.79,0.119,1/1
452.1701,17.2,708,C24H20F3N5O,1.01,0.639,1/1
431.0519,10.4,709,C18H15ClN6OS2,1.02,0.803,1/1
442.0813,25.98,710,C21H20ClF2O4S,1.17,0.003,1/1
378.135,5.5,711,C15H19N7O3S,1.05,0.363,1/1
528.2506,7.75,712,C31H33N3O5,1.06,0.025,1/1
406.1855,4.34,713,C20H22F3N5O,0.84,0.029,1/1
392.2338,8.94,714,C24H29N3O2,0.94,0.27,1/1
371.0355,28.9,715,C19H12N2O2Cl2,0.96,0.717,1/1
470.1877,11.35,716,C23H25ClFN7O,1.07,0.119,1/1
321.0986,3.81,717,C15H14F2N4S,1.01,0.823,1/1
285.0808,3.27,718,C14H12N4OS,1.27,0.026,1/1
433.0725,31.36,719,C21H18Cl2N2O4,0.95,0.611,1/1
464.2778,3.6,720,C25H33N7O2,1.03,0.623,1/1
521.1309,11.18,721,C25H25BrN6O2,1.07,0.31,1/1
338.178,5.8,722,C19H20FN5,0.98,0.707,1/1
272.0349,14.94,723,C9H7ClFN5O2,1.07,0.488,1/1
491.106,12.97,724,C23H21Cl2FN4O3,1.02,0.721,1/1
486.0967,7.69,725,C20H17Cl2N9O2,0.95,0.047,1/1
439.2235,30.56,726,C25H30N2O5,0.99,0.79,1/1
376.1631,9.44,727,C18H25N5S2,0.86,0.127,1/1
383.1757,28.06,728,C25H22N2O2,0.95,0.302,1/1
533.228,18.22,729,C29H27F3N6O,1.27,0.004,1/1
524.3355,13.29,730,C28H41N7O3,0.92,0.252,1/1
313.1746,4.9,731,C19H24N2S,0.95,0.17,1/1
407.2218,0.58,732,C18H34N2O6S,0.26,0,1/4
278.1907,12.33,733,C20H23N,0.55,0,1/2
416.2801,14.58,734,C25H37NO4,0.92,0.142,1/1
368.1742,0.58,735,C18H26ClN3O3,1.26,0.266,1/1
422.177,5.95,736,C25H24FNO4,0.92,0.018,1/1
316.1774,0.58,737,C16H21N5O2,1,0.999,1/1
256.0972,3.73,738,C15H13NO3,1.09,0.109,1/1
348.146,3.29,739,C19H17N5O2,1.03,0.755,1/1
292.1118,3.28,740,C14H17N3O2S,2.31,0.001,2/1
502.2373,15.01,741,C27H31N7OS,0.94,0.477,1/1
367.1673,10.07,742,C22H18N6,1.09,0.359,1/1
475.1151,20.59,743,C22H24BrFN4O2,0.91,0.017,1/1
282.1605,11.02,744,C17H19N3O,0.99,0.969,1/1
329.1535,3.33,745,C15H24N2O4S,0.96,0.599,1/1
415.212,22.6,746,C24H30O6,0.9,0.076,1/1
415.212,11.56,747,C24H30O6,0.93,0.451,1/1
371.1068,23.35,748,C19H18N2O4S,0.95,0.059,1/1
847.4477,26.96,749,C46H62N4O11,1.11,0.072,1/1
296.1843,5.2,750,C16H25NO4,0.93,0.184,1/1
304.2024,3.28,751,C17H25N3O2,0.91,0.155,1/1
379.1652,27.6,752,C22H22N2O4,1.03,0.637,1/1
390.1563,16.01,753,C18H20FN5O4,1.14,0.131,1/1
245.1401,3.27,754,C13H16N4O,0.84,0.029,1/1
245.14,4.66,755,C13H16N4O,1.11,0.067,1/1
200.1108,0.58,756,C10H17NOS,0.98,0.587,1/1
461.1615,27.86,757,C21H30Cl2N2O5,0.89,0.124,1/1
359.2447,3.26,758,C20H30N4O2,1.75,0.002,2/1
302.1755,0.58,759,C18H23NO3,1.01,0.84,1/1
328.1582,0.58,760,C16H25NO4S,0.97,0.527,1/1
475.2462,3.92,761,C26H30N6O3,1.07,0.341,1/1
485.1903,8.42,762,C24H29ClN6OS,0.92,0.098,1/1
527.3142,8.19,763,C31H38N6O2,0.91,0.005,1/1
527.3141,9.76,764,C31H38N6O2,1.06,0.189,1/1
507.2349,4.11,765,C27H31FN6OS,0.98,0.412,1/1
334.065,4.48,766,C18H11N3O2S,1.02,0.661,1/1
310.1415,4.1,767,C15H15N7O,0.97,0.676,1/1
441.2756,10.51,768,C27H32N6,1.47,0.025,1/1
400.1474,4.08,769,C24H18FN3O2,0.23,0,1/4
258.0336,6.16,770,C12H7N3O2S,1.09,0.042,1/1
338.0868,0.58,771,C15H20BrN3O,0.99,0.79,1/1
312.171,15.34,772,C18H21N3O2,2.02,0.436,2/1
229.1339,0.58,773,C14H16N2O,1.12,0.335,1/1
296.1398,0.59,774,C17H17N3O2,1.02,0.781,1/1
374.2121,18.48,775,C25H27NO2,1.08,0.213,1/1
352.058,5.93,776,C18H13N3OS2,1.06,0.073,1/1
312.1234,20.81,777,C18H17NO4,0.92,0.618,1/1
398.1715,0.58,778,C21H23N3O5,1.01,0.897,1/1
261.1352,0.58,779,C13H16N4O2,1.17,0.409,1/1
309.1601,5.25,780,C19H20N2O2,1.14,0.116,1/1
365.1967,7.03,781,C21H24N4O2,1.07,0.108,1/1
434.1718,18.17,782,C24H23N3O5,0.98,0.761,1/1
478.0963,26.98,783,C21H15F4N5O2S,0.93,0.428,1/1
609.2975,3.9,784,C37H40N2O6,1.04,0.493,1/1
377.1609,22.12,785,C21H20N4O3,1.02,0.623,1/1
392.2588,28.63,786,C26H33NO2,0.22,0.353,1/4
469.2562,18.39,787,C28H36O6,1.18,0.168,1/1
311.1388,6.79,788,C18H18N2O3,1.02,0.756,1/1
205.0974,0.58,789,C11H12N2O2,1.05,0.425,1/1
462.1587,14.49,790,C26H24ClN3O3,1.16,0.003,1/1
338.0864,15.49,791,C14H10F3N5O2,0.97,0.717,1/1
263.0818,10.4,792,C16H10N2O2,0.84,0.098,1/1
263.0819,20.88,793,C16H10N2O2,0.25,0.172,1/4
444.1012,24.49,794,C17H11F6N7O,0.95,0.164,1/1
448.1449,5.85,795,C23H21N5O3S,1.25,0,1/1
472.2297,16.46,796,C22H29N7O5,0.42,0.001,1/2
227.1139,10.77,797,C9H14N4O3,1,0.968,1/1
237.1025,21.92,798,C15H12N2O,0.95,0.386,1/1
566.2939,7.54,799,C34H36FN5O2,0.71,0.121,1/1
513.2059,8.51,800,C28H25FN6O3,0.99,0.826,1/1
385.2121,20.96,801,C23H24N6,1.11,0.147,1/1
315.1343,9.92,802,C17H18N2O4,0.77,0.383,1/1
434.219,5.96,803,C24H27N5O3,1.02,0.464,1/1
283.1809,9.6,804,C18H22N2O,0.77,0.018,1/1
486.1712,4.06,805,C24H25ClFN5O3,0.95,0.253,1/1
408.136,19.65,806,C22H21N3O3S,1.07,0.5,1/1
408.1384,28.39,807,C22H21N3O3S,0.95,0.367,1/1
393.2272,8.96,808,C23H28N4O2,0.87,0.223,1/1
397.1758,10.07,809,C23H20N6O,1.01,0.813,1/1
397.1779,3.87,810,C23H20N6O,1.15,0.082,1/1
353.1138,25.81,811,C19H16N2O5,0.99,0.861,1/1
466.246,9.29,812,C25H31N5O4,0.91,0.156,1/1
371.1609,9.39,813,C21H26N2S2,0.88,0.014,1/1
487.187,8.42,814,C24H25F3N6S,0.94,0.255,1/1
487.1904,19.48,815,C24H25F3N6S,1.09,0.262,1/1
454.2239,10.78,816,C27H27N5O2,1.01,0.85,1/1
369.0734,24.29,817,C19H16N2O2S2,0.95,0.424,1/1
218.0816,6.54,818,C12H11NO3,1.05,0.185,1/1
380.1434,10.59,819,C21H21N3O2S,1.05,0.441,1/1
446.1356,30.08,820,C24H19N3O6,0.92,0.155,1/1
486.2621,16.36,821,C27H31N7O2,1,0.997,1/1
380.1974,16.03,822,C22H25N3O3,0.98,0.745,1/1
394.2114,12.1,823,C19H23N9O,1.02,0.596,1/1
451.0038,31.42,824,C18H12Cl2N4O4S,0.98,0.855,1/1
510.2624,7.51,825,C26H35N7O2S,0.96,0.613,1/1
510.2628,19.61,826,C26H35N7O2S,0.99,0.893,1/1
499.2258,8.77,827,C28H30N6OS,0.81,0.067,1/1
499.2258,10.91,828,C28H30N6OS,0.87,0.154,1/1
452.1686,28.82,829,C24H20F3N5O,0.91,0.127,1/1
431.0498,13.39,830,C18H15ClN6OS2,0.95,0.44,1/1
378.136,13.68,831,C15H19N7O3S,0.53,0.312,1/2
392.2339,7.05,832,C24H29N3O2,1,0.931,1/1
310.1254,7.73,833,C19H19NOS,1.06,0.204,1/1
242.1175,25.26,834,C15H15NO2,0.99,0.853,1/1
242.1179,26.45,835,C15H15NO2,1.05,0.561,1/1
484.1236,11.84,836,C24H26BrN3O3,1.01,0.899,1/1
