,Compound Name,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Retention Time,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Retention Time,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Area,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,rt,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
219,220,10.722,10.684,10.428,10.394,10.333,10.275,10.628,10.571,9046.695,8423.646,10372.922,9786.518,10170.189,10200.649,8754.42,9018.16,C23H32N6O4S,489.2277,10.47,1.1,1/1,0.319,8810.73025,3.2876003518317423,10132.5695,2.441303816541084,1.1500260719024962,1.0454782471840873
220,221,30.302,30.301,30.135,30.173,30.334,30.356,30.271,30.196,1.034,1.098,1.979,1.837,0.329,0.092,0.277,1.138,C21H43N5O7,478.3215,30.17,0.9,1/1,0.852,0.88675,46.09534065195003,1.0592499999999998,93.13394261505341,1.1945305892303353,1.327256210255928
221,222,0.803,0.774,0.824,0.773,0.739,0.754,0.741,0.735,2.295,10.646,1.808,8.672,12.276,18.048,10.374,12.976,C20H41N5O7,464.3071,0.72,1.02,1/1,0.933,9.072750000000001,51.43933986797678,10.201,66.64603186586164,1.1243559009120718,1.102309706776541
222,223,33.748,33.732,33.739,33.749,33.737,33.784,33.769,33.745,58.835,57.379,55.083,54.697,45.044,56.765,51.408,66.173,C19H39N5O7,450.2886,33.7,0.95,1/1,0.32,58.448750000000004,10.38493408268816,52.89725,10.04196739204708,0.905019354562758,0.9526519521713243
223,224,9.436,9.423,9.412,9.431,9.462,9.456,9.418,9.428,2821.878,2983.439,3424.181,3578.832,3926.35,3793.976,2748.445,3122.312,C12H12N2O3,233.0922,9.44,1.34,1/1,0.032,2919.0185,5.7328108569664185,3680.83475,6.061806189146575,1.2609837005144022,0.9410326123241807
224,225,22.102,22.107,22.091,22.066,22.033,21.989,22.1,22.099,6174.757,6313.206,5956.48,5528.203,6043.635,5002.401,6143.505,5308.565,C28H36ClN5O3S,558.2299,22.03,0.96,1/1,0.49,5985.00825,7.634941397840127,5632.679749999999,8.464160036246366,0.9411314930100555,0.9803453052188078
225,226,3.424,3.426,3.429,3.426,3.403,3.433,3.412,3.421,904.686,1031.538,1033.185,1223.839,1045.775,1247.322,1023.687,1013.026,C21H20O9,417.1177,3.4,1.13,1/1,0.06,993.23425,5.99230779478869,1137.53025,9.998857937615158,1.1452789208588006,1.0135211689015935
226,227,30.9,30.905,30.901,30.9,30.895,30.897,30.895,30.9,11543.965,10962.404,11828.367,12154.431,13171.478,13522.527,13141.625,10903.218,C27H30F6N2O2,529.2286,30.87,1.02,1/1,0.676,11637.803,8.96562955103128,12669.20075,6.367643129390498,1.088624781670561,1.0672791977162361
227,228,3.755,3.756,3.787,3.762,3.772,3.753,3.728,3.726,9498.753,8818.319,9067.25,8667.832,9060.772,9602.716,8968.577,8578.703,C20H26N2O4,359.1963,3.79,1.16,1/1,0.007,8966.088,4.346581026678234,9099.642500000002,4.21868395637362,1.0148955151901256,0.8749099268880394
228,229,3.42,3.415,3.411,3.419,3.42,3.419,3.414,3.411,2307.279,2416.83,3071.639,3100.94,3416.04,3787.084,2870.482,2760.831,C16H20N6O,313.177,3.39,1.24,1/1,0.03,2588.8555,10.407052656498907,3343.9257499999994,9.989809630244666,1.291661798041644,1.0416627403561645
229,230,11.221,11.188,10.922,10.87,10.81,10.73,11.114,11.056,6712.921,6711.496,6581.684,6764.434,7410.635,7555.495,6348.128,5911.896,C19H20FNO3,330.1501,10.95,1.11,1/1,0.178,6421.110250000001,5.924144168361637,7078.062,6.742655119301248,1.102311239711232,0.9930731889290377
230,231,22.802,22.806,22.81,22.808,22.817,22.814,22.801,22.79,6726.769,7192.905,6760.33,7226.298,6545.456,6356.499,6756.452,6565.121,C24H32O7,433.2223,22.78,1.09,1/1,0.062,6810.31175,3.943458618372369,6722.145750000001,5.569771069243109,0.9870540434510947,0.9055541683037566
231,232,11.51,11.506,11.546,11.548,11.559,11.581,11.555,11.527,1274.941,1276.496,1529.325,1498.505,1593.063,1590.421,1328.801,1378.444,C13H15NO3,234.1125,11.53,1.04,1/1,0.489,1314.6705,3.752813029695955,1552.8285,3.0057595289498975,1.1811541371012737,1.1357251318281478
232,233,7.593,7.573,7.38,7.333,7.313,7.274,7.486,7.435,1724.004,1517.276,2020.766,2062.487,2029.859,1994.022,1702.575,1763.312,C21H21ClN4OS,413.1196,7.42,1.16,1/1,0.01,1676.7917499999999,6.517066244868606,2026.7835,1.3936994296868648,1.2087270228995344,1.0420060542237366
233,234,5.716,5.712,5.722,5.713,5.711,5.73,5.678,5.704,747.856,702.763,876.941,879.746,912.517,998.194,745.111,781.621,C9H10N2O,163.0858,5.69,1.23,1/1,0.019,744.33775,4.340541475236274,916.8494999999999,6.171507740632065,1.2317654183198419,1.001435299447026
234,235,3.474,3.47,3.455,3.445,3.431,3.438,3.463,3.455,2822.995,2886.277,2771.762,2896.016,2915.988,3173.235,2839.077,2859.46,C18H25N3O2,316.2018,3.44,1.2,1/1,0.006,2851.9522500000003,0.9578765476269445,2939.25025,5.7339240870860415,1.0306099094050398,0.8588415911708666
235,236,6.874,6.864,6.88,6.872,6.889,6.893,6.859,6.846,3046.509,3024.546,2228.634,2201.123,2554.733,2960.709,3164.149,3206.419,C12H13NO3,220.0968,6.85,0.85,1/1,0.004,3110.40575,2.8492100123528066,2486.29975,14.266716689250888,0.7993490077620903,0.940410597367165
236,237,10.698,10.73,11.127,11.211,11.285,11.401,10.851,10.923,13842.764,13626.539,16161.526,16490.285,16154.74,17278.538,14496.46,13486.223,C14H10N2O,223.0867,10.99,1.16,1/1,0.052,13862.9965,3.224757458746198,16521.27225,3.1993606969108903,1.1917533305299473,1.0273735608016787
237,238,5.178,5.183,5.183,5.193,5.182,5.209,5.182,5.181,563.427,651.919,680.195,656.04,724.064,831.319,609.516,615.965,C7H6N2,119.0602,5.16,1.15,1/1,0.382,610.20675,5.955437181533698,722.9045,10.729937194429745,1.18468781277821,1.030163315459313
238,239,10.966,10.938,10.96,10.963,11.008,10.997,10.955,10.976,129.529,121.3,141.725,161.468,145.955,154.375,117.591,120.177,C7H4ClNOS,185.9774,10.96,1.2,1/1,0.023,122.14925000000001,4.223614353362756,150.88075,5.833304480210575,1.235216343939893,1.0293469532832442
239,240,3.828,3.829,3.887,3.885,3.906,3.924,3.843,3.837,2836.296,2712.84,3645.023,3585.073,3801.006,4125.787,2911.152,2681.701,C12H11N5,226.1087,3.82,1.34,1/1,0.005,2785.4972500000003,3.8455370678056906,3789.22225,6.390042248944162,1.3603396126131517,1.015178815382949
240,241,6.908,6.882,6.65,6.606,6.578,6.523,6.799,6.776,13589.682,12928.801,12139.417,12251.793,11696.443,11447.902,12705.119,12160.854,C20H25NO,296.2011,6.7,1.09,1/1,0.26,12846.114,4.60357216381703,11883.88875,3.1704331069947087,0.9250960056870117,0.8487119318229465
241,242,3.215,3.238,3.24,3.232,3.186,3.145,3.211,3.22,17.725,12.75,18.825,17.997,19.911,20.694,18.568,15.89,C18H27NO3,306.2068,3.2,1.03,1/1,0.586,16.23325,15.876593556085847,19.35675,6.132374119513458,1.1924137187562565,1.1576832220934528
242,243,5.809,5.82,5.715,5.693,5.688,5.679,5.763,5.733,3802.203,3712.303,5513.485,5169.371,5743.321,6094.991,3995.123,4482.85,C25H32N2O4,425.2436,5.73,1.41,1/1,0.001,3998.11975,8.604516829013454,5630.2919999999995,6.915518913754746,1.4082349584451541,0.9987481974788328
243,244,8.859,8.834,8.627,8.578,8.547,8.5,8.764,8.728,18827.482,16393.14,17798.375,18317.383,19220.771,19051.0,18381.091,18589.358,C25H32N2O6,457.2334,8.65,0.98,1/1,0.762,18047.76775,6.1950020527151795,18596.882250000002,3.554943221027327,1.0304256187029004,1.0514547129621432
244,245,21.25,21.241,21.257,21.252,21.263,21.262,21.264,21.253,10323.376,9926.17,11206.792,9938.966,10111.704,9563.225,9194.268,10517.652,C15H10O2,223.0755,21.21,0.99,1/1,0.889,9990.3665,5.856052632982962,10205.17175,6.917210705311047,1.021501238217837,1.0318194325432697
245,246,3.53,3.549,3.537,3.519,3.512,3.511,3.525,3.527,888.435,815.809,999.746,995.95,1039.807,1177.193,794.794,811.237,C9H9I2NO3,433.874,3.5,1.3,1/1,0.003,827.56875,5.023006014143653,1053.174,8.073359030509616,1.2726120941613612,0.978932380124124
246,247,0.657,0.675,0.664,0.679,0.677,0.678,0.645,0.651,134.595,165.54,220.431,260.75,310.655,264.954,129.622,148.32,C8H13NO2,156.1013,0.59,1.32,1/1,0.059,144.51925,11.133981874684586,264.1975,13.969274343250362,1.828112863857237,1.3849339877706341
247,248,0.647,0.995,1.107,1.086,1.031,1.029,1.008,0.967,2.095,0.674,0.524,0.643,1.134,0.905,1.004,0.626,C42H70O35,1135.377,0.97,1.38,1/1,0.252,1.09975,62.23637033636456,0.8015000000000001,34.046660041287005,0.7288020004546488,0.5281173916338036
248,249,6.527,6.502,6.285,6.243,6.222,6.198,6.421,6.394,2682.062,2681.911,2691.725,2722.785,2902.203,2580.077,2630.004,2354.77,C17H28O6,329.1942,6.34,1.13,1/1,0.036,2587.18675,6.063353766218071,2724.1975,4.902651010563865,1.0529574256670882,0.9318207306788392
249,250,31.262,31.265,31.256,31.235,31.254,31.261,31.259,31.257,287.28,254.746,258.098,223.649,240.593,226.222,218.591,284.621,C10H6O3,175.0363,31.21,0.89,1/1,0.435,261.30949999999996,12.2735745311589,237.1405,6.67804899082627,0.9075081464699907,1.0196720746853827
250,251,19.114,19.114,19.126,19.138,19.144,19.176,19.124,19.124,1921.603,1886.844,2136.78,2045.527,2138.086,2270.951,1900.813,2019.718,C15H12O2,225.091,19.11,1.28,1/1,0.021,1932.2445,3.107208968542873,2147.8360000000002,4.32114726416686,1.1115756830980759,0.8684185024203718
251,252,7.921,7.929,7.986,7.952,7.991,7.986,7.963,7.949,325.398,275.988,302.726,316.438,369.814,355.617,279.897,290.268,C11H8O3,189.0543,7.96,1.29,1/1,0.015,292.88775,7.6805825202299,336.14875,9.43548660011151,1.1477050508257858,0.8896938378494463
252,253,8.009,7.982,7.749,7.705,7.679,7.635,7.89,7.849,16268.688,15895.095,18644.032,18289.198,19750.939,18078.502,15205.375,14181.104,C22H31N3O3,386.244,7.78,1.11,1/1,0.176,15387.565499999999,5.959403056971073,18690.66775,3.98259346243435,1.214660483492337,1.09428872386697
253,254,18.144,18.077,17.69,17.598,17.487,17.385,17.967,17.885,26944.096,26954.517,25930.021,26665.441,26930.794,28801.994,27259.501,27168.373,C20H31NO2,318.243,17.74,0.98,1/1,0.663,27081.62175,0.5808597364753543,27082.0625,4.513202532390313,1.000016274874676,1.0204247702802816
254,255,3.108,3.12,3.132,3.186,3.143,3.158,3.154,3.123,257.148,255.13,157.904,125.829,149.261,137.186,159.685,183.772,C13H16N4O6,325.114,3.17,0.99,1/1,0.698,213.93374999999997,23.24244615430354,142.54500000000002,9.831035104330125,0.6663044049851883,0.6730347525102912
255,256,22.046,22.022,21.72,21.654,21.583,21.506,21.936,21.883,121.745,105.397,129.98,137.655,146.741,117.929,109.798,107.025,C13H16N4O6,325.1152,21.77,1.36,2/1,0.014,110.99125000000001,6.663411883968688,133.07625,9.169691265708641,1.1989796492966787,0.8816026833063813
256,257,6.513,6.529,6.5,6.47,6.485,6.469,6.502,6.495,1323.532,1335.029,1600.571,1639.929,1695.342,1825.439,1362.214,1488.771,C21H18O11,447.0919,6.47,1.3,1/1,0.003,1377.3864999999998,5.518201742911593,1690.3202500000002,5.804203874942592,1.2271938559002868,0.9439952737694514
257,258,0.698,0.675,0.66,0.679,0.682,0.68,0.673,0.66,375.169,429.17,858.493,946.242,1061.487,1009.618,368.847,367.938,C15H24N2O2,265.1909,0.59,1.83,2/1,0.052,385.28099999999995,7.640018326254959,968.96,9.023345733883849,2.5149436385391444,1.374286141278221
258,259,0.649,0.627,0.669,0.689,0.683,0.685,0.657,0.611,256.863,282.712,823.432,807.099,947.048,900.66,275.966,249.497,C15H24N2O,249.1959,0.59,2.94,4/1,0.015,266.2595,5.875360310256025,869.5597499999999,7.570498283355841,3.2658355852091656,1.1108284303432536
259,260,4.537,4.549,4.545,4.529,4.545,4.555,4.532,4.508,750.85,761.786,1061.852,1184.863,1221.038,1182.025,865.369,887.163,C22H16N4O3,385.1296,4.51,1.48,1/1,0.001,816.292,8.570930979843233,1162.4445,5.967895117751933,1.4240547500159257,0.9621991554161661
260,261,4.443,4.419,4.306,4.275,4.251,4.231,4.387,4.374,6518.128,7069.181,7091.37,7450.774,7658.069,7883.063,7209.889,6998.37,C14H22N4O4S,343.1434,4.38,1.12,1/1,0.193,6948.892,4.32198596663989,7520.8189999999995,4.472232894838067,1.082304776070775,0.9663435500631918
261,262,11.087,11.056,10.783,10.729,10.661,10.585,10.989,10.938,18400.272,18992.413,19882.389,20630.791,22516.026,22413.937,18018.233,18179.789,C24H27FN2O2,395.213,10.81,1.15,1/1,0.034,18397.67675,2.3170883393084756,21360.785750000003,6.141040397574469,1.1610588684791412,1.0096164073731664
262,263,12.051,12.047,12.104,12.087,12.081,12.056,12.056,12.063,8626.084,8210.62,8232.489,8258.987,8514.227,8862.867,8773.228,8073.722,C24H32N2O2,381.2538,12.02,0.96,1/1,0.433,8420.9135,3.9444350075225065,8467.1425,3.458142527249577,1.0054897844515325,1.047385192137013
263,264,4.762,4.772,4.919,4.919,4.942,5.003,4.8,4.811,5723.786,5247.524,6383.971,6524.994,6319.594,6086.41,5486.777,5031.684,C24H32N6O3,453.261,4.83,1.12,1/1,0.017,5372.44275,5.565776986518984,6328.74225,2.8902250339603013,1.1780008730665394,1.0517864938094101
264,265,5.395,5.4,5.452,5.448,5.469,5.494,5.408,5.405,13817.285,13025.51,15335.44,13486.039,14800.683,15920.077,13302.467,13735.708,C17H19N3O2S,330.1272,5.39,1.19,1/1,0.008,13470.2425,2.767271690585028,14885.559749999999,6.979830084174086,1.1050699161503588,0.9286301816389569
265,266,4.007,4.002,3.956,3.951,3.935,3.937,3.988,3.968,525.929,569.047,751.955,747.237,775.147,788.524,632.25,538.715,C18H14N6O2,347.1249,3.96,1.4,1/1,0.001,566.4852500000001,8.371902838407728,765.71575,2.545785317637009,1.3516958296795898,0.965497021199707
266,267,7.814,7.815,7.939,7.984,8.044,8.071,7.828,7.852,1846.345,2053.73,1565.037,1505.076,1463.964,1524.449,1497.603,1188.822,C28H40BrN7O4,618.2396,7.89,1.04,1/1,0.749,1646.625,23.189471970479307,1514.6315,2.7738949538997693,0.9198399757078873,0.8844615151037378
267,268,22.424,22.379,21.96,21.869,21.755,21.658,22.252,22.176,40640.243,40643.486,45478.957,39060.907,40047.91,43344.552,40926.346,38924.835,C26H29ClN2O4S,501.161,22.01,1.04,1/1,0.302,40283.72749999999,2.2733781076661264,41983.0815,7.060368742166931,1.0421846265343744,1.0021006024368984
268,269,23.208,23.204,23.153,23.108,23.106,23.07,23.192,23.166,25436.369,27793.801,28498.234,27999.255,23781.095,23245.782,21570.794,27118.411,C26H26F3N7O2,526.2176,23.1,1.08,1/1,0.304,25479.84375,10.942692908719703,25881.091500000002,10.62631236000793,1.0157476534760934,0.9405070865519383
269,270,29.639,29.64,29.629,29.626,29.636,29.645,29.643,29.642,6729.169,6592.128,7310.425,7190.134,7562.187,7591.36,6497.344,6817.529,C19H19N5O,334.1664,29.61,1.17,1/1,0.002,6659.0425,2.135391662942759,7413.5265,2.6324456152587596,1.1133021752001133,0.9515403206838576
270,271,25.735,25.76,25.709,25.704,25.694,25.697,25.73,25.728,382.662,372.327,452.989,489.737,496.562,494.02,380.212,422.009,C14H10F3NO5,330.0582,25.7,1.17,1/1,0.018,389.3025,5.714250482684159,483.327,4.224981933674097,1.2415204115051919,1.0611285568420443
271,272,6.368,6.383,6.305,6.264,6.265,6.255,6.317,6.283,412.017,458.278,600.727,598.513,658.466,619.597,463.716,433.892,C21H24N4O2S,397.1691,6.29,1.68,1/1,0.009,441.97575,5.388008352371133,619.32575,4.481580312905092,1.401266359070605,0.8340871184944078
272,273,26.889,26.884,26.888,26.879,26.886,26.893,26.876,26.892,4695.677,4621.313,4165.103,4294.066,4366.548,4351.789,4298.188,4115.562,C19H17Cl3N4O3,455.0437,26.85,0.97,1/1,0.676,4432.6849999999995,6.156243543748925,4294.3765,2.1349268123812415,0.9687980309902465,0.9987608566909758
273,274,7.716,7.679,7.48,7.436,7.392,7.354,7.594,7.575,2114.72,2070.455,2724.188,2687.144,2411.15,2675.55,1965.976,2146.108,C18H19FN2O2,315.1502,7.5,1.23,1/1,0.0,2074.31475,3.7897303285757884,2624.508,5.47695664980138,1.2652409669265476,1.0286511926232096
274,275,7.205,7.232,7.204,7.186,7.193,7.198,7.187,7.185,4535.052,4395.261,4943.679,4910.522,4136.546,4181.123,4600.754,4534.575,C26H28N8O,469.2459,7.16,1.02,1/1,0.621,4516.4105,1.916164674534232,4542.967500000001,9.776386845889103,1.0058801120934424,0.9861569726406298
275,276,5.258,5.24,5.092,5.073,5.041,5.006,5.191,5.172,3338.72,3066.704,3433.231,3635.772,3726.21,4072.679,3144.993,3171.691,C21H22FN3O,352.1818,5.17,1.18,1/1,0.068,3180.527,3.599606242649209,3716.973,7.180714794097794,1.168665758850656,0.9903947108903864
276,277,5.174,5.194,5.448,5.454,5.561,5.606,5.256,5.27,257.81,235.684,284.826,233.793,273.8,278.957,204.815,234.051,C16H15N7O,322.141,5.35,1.04,1/1,0.751,233.08999999999997,9.327933654205964,267.84400000000005,8.640574847387697,1.1491012055429237,1.1049050053297342
277,278,5.502,5.53,5.691,5.7,5.744,5.788,5.554,5.582,3308.896,3303.019,3728.875,3504.602,3328.53,3316.162,3521.338,3359.466,C27H32N8O2,501.2786,5.58,0.96,1/1,0.6,3373.1797500000002,3.022974506233095,3469.54225,5.566316645775289,1.0285672591269408,1.07142422825723
278,279,26.343,26.349,26.367,26.379,26.394,26.398,26.346,26.354,16405.62,16127.486,17604.836,16357.708,17385.598,18108.987,15150.813,14941.723,C23H23O2N5,402.1926,26.33,1.06,1/1,0.316,15656.4105,4.590518575409803,17364.282250000004,4.239901893077298,1.1090845024790328,1.0463061344141817
279,280,3.399,3.402,3.446,3.452,3.472,3.477,3.397,3.388,5473.324,5697.827,6082.668,6314.079,5250.825,6633.091,6648.93,7060.202,C18H14N4,287.1293,3.39,1.07,1/1,0.469,6220.07075,12.173687817034784,6070.16575,9.73619418969321,0.975899791815069,0.912055880200999
280,281,3.419,3.434,3.425,3.422,3.424,3.417,3.428,3.424,1688.571,1616.793,1826.442,1958.3,1924.14,2164.537,1678.553,1629.889,C19H21ClN4,341.1524,3.42,1.45,1/1,0.007,1653.4515,2.1418362245980633,1968.35475,7.225511763316647,1.1904520634563518,0.8210014230733461
281,282,3.766,3.771,3.828,3.822,3.822,3.842,3.78,3.781,1230.942,1234.191,1538.214,1576.421,1804.626,1829.779,1340.726,1342.902,C26H24N8O2,481.2092,3.75,1.26,1/1,0.0,1287.19025,4.901705300021575,1687.2600000000002,8.961412818770683,1.3108085615160618,1.0403242551714778
282,283,6.48,6.504,6.553,6.556,6.62,6.68,6.485,6.49,2649.218,2711.576,3033.618,3248.808,3310.793,3384.164,2771.37,2732.429,C21H24ClFN4O3,435.159,6.51,1.27,1/1,0.022,2716.14825,1.8791103815956132,3244.34575,4.65382508525371,1.1944656371389153,0.9405241237314294
283,284,26.946,26.935,26.939,26.942,26.938,26.944,26.929,26.929,8774.861,9956.745,10831.817,11894.406,11637.984,12916.729,9482.492,10015.636,C24H17N3O6,444.1191,26.9,1.22,1/1,0.015,9557.4335,6.002779343969452,11820.233999999999,7.274324970188613,1.2367581736247497,1.0137362078891392
284,285,22.242,22.196,21.835,21.754,21.647,21.555,22.104,22.024,3766.447,3638.004,4080.433,4506.75,4770.952,4722.974,3523.548,3511.79,C25H25ClN6O4S,541.1421,21.88,1.24,1/1,0.01,3609.94725,3.2924108042767646,4520.277250000001,6.96736708124538,1.2521726598636589,1.00981666118037
285,286,6.772,6.805,7.0,7.062,7.124,7.189,6.837,6.879,1369.466,1629.863,2455.259,2343.027,2460.575,2105.408,1735.849,1791.181,C26H19ClN8,479.1491,6.93,1.37,1/1,0.01,1631.58975,11.46908875852703,2341.06725,7.099054625090186,1.4348381693376047,1.047327130903361
286,287,18.967,18.876,18.537,18.463,18.353,18.28,18.784,18.728,17064.409,18511.368,19470.516,20518.458,19604.542,18632.972,17736.638,15203.269,C25H34FN3O2,428.2709,18.57,1.09,1/1,0.335,17128.921000000002,8.25131995834837,19556.622000000003,3.94753008426457,1.1417311107920924,1.0474597346716443
287,288,6.316,6.317,6.307,6.3,6.339,6.361,6.298,6.304,4620.552,4533.403,5868.471,5168.874,4220.358,3638.029,5493.564,5620.664,C29H35N7O4,546.2824,6.28,1.04,1/1,0.849,5067.04575,11.236699921108864,4723.933,20.958592419856622,0.9322854446301377,0.8964283121443631
288,289,3.861,3.9,3.959,3.98,4.015,4.037,3.901,3.915,270.079,280.181,402.72,392.669,407.232,441.402,335.794,397.519,C34H44N4O4,573.3429,3.92,1.24,1/1,0.172,320.89324999999997,18.289186340455085,411.00575000000003,5.148013876457791,1.280817686255476,1.0329174889157064
289,290,5.379,5.392,5.539,5.578,5.606,5.67,5.397,5.405,3188.327,3362.623,4043.331,4083.599,4570.338,4663.432,3348.954,3061.562,C24H30N6O2,435.2501,5.46,1.41,1/1,0.033,3240.3665,4.415600109952438,4340.175,7.423415633120382,1.339408674913779,0.9499352304353044
290,291,12.954,12.932,12.732,12.696,12.645,12.607,12.865,12.834,5345.095,5343.502,6262.28,6438.69,6552.662,6931.614,5672.583,5768.802,C22H22F3N3O3,434.1688,12.73,1.17,1/1,0.033,5532.4955,3.9915774726885846,6546.3115,4.327429742531433,1.183247505578631,1.0113226543407103
291,292,5.581,5.579,5.647,5.636,5.68,5.683,5.567,5.574,3659.415,3397.136,4051.357,4558.674,4721.1,4888.579,3837.319,3757.652,C24H29ClN6OS,485.1883,5.56,1.36,1/1,0.002,3662.8804999999998,5.228739403924874,4554.9275,7.941389418834417,1.2435370195669775,0.914365455563954
292,293,26.263,26.268,26.266,26.263,26.282,26.282,26.254,26.258,6191.077,6343.342,6354.306,6378.207,6162.452,6447.234,5913.266,5875.017,C21H24FN5O5S,478.1557,26.23,1.08,1/1,0.056,6080.675499999999,3.695718946673629,6335.54975,1.9246851424324793,1.04191545001867,0.9647365277950648
293,294,3.59,3.57,3.548,3.53,3.522,3.515,3.548,3.557,2087.994,1927.285,1981.803,2112.366,1745.619,1826.97,1922.293,1776.315,C26H40N4,409.3322,3.53,0.93,1/1,0.363,1928.4717500000002,6.602625571147907,1916.6895,8.511539389507163,0.9938903694077965,1.0686993219438672
294,295,6.212,6.19,6.026,5.992,5.958,5.937,6.128,6.096,1713.304,1638.759,1783.217,1783.676,2132.156,2174.683,1849.937,1810.198,C11H11Cl2N,228.0342,6.04,1.11,1/1,0.011,1753.0495,5.441116572476216,1968.433,10.887264110426829,1.122862189573084,1.0115875581739493
295,296,13.583,13.597,13.688,13.678,13.675,13.67,13.616,13.626,8692.465,8614.13,9892.255,10761.023,10467.641,10662.248,7822.302,7871.859,C36H46N8O3,639.3768,13.6,1.17,1/1,0.151,8250.189,5.660541207619138,10445.79175,3.7204642507183863,1.2661275699259738,1.082160316176046
296,297,31.928,31.946,31.923,31.925,31.925,31.929,31.918,31.917,1280.237,731.768,1281.448,1149.07,1233.331,1415.597,1103.87,1019.917,C31H32BrNO4S2,628.1011,31.91,1.1,1/1,0.325,1033.948,22.129382467485133,1269.8615,8.780649538559283,1.2281676641378483,1.1165160583071347
297,298,13.381,13.371,13.084,13.013,12.905,12.841,13.289,13.239,10482.822,10113.298,10067.025,10256.803,10668.516,10645.182,9946.294,10161.001,C18H16ClN3O2,342.1006,13.09,1.09,1/1,0.048,10175.853750000002,2.2051833772460974,10409.3815,2.845712331295363,1.0229492046306186,0.9384855088354298
298,299,4.177,4.18,4.132,4.117,4.12,4.122,4.153,4.142,934.633,1056.256,1037.745,1165.656,1020.607,881.404,1046.799,1010.787,C27H31FN6OS,507.2333,4.11,1.17,1/1,0.27,1012.1187500000001,5.458530894278728,1026.353,11.331560327934811,1.0140638141522424,0.8667212086771303
299,300,27.692,27.712,27.79,27.815,27.845,27.855,27.734,27.752,7678.3,7948.395,8268.068,9646.873,9184.699,9390.22,7432.969,6754.412,C24H22F3N5O5,518.1647,27.73,1.31,1/1,0.021,7453.519,6.861240132773491,9122.465,6.5788861809628525,1.2239138318423821,0.9342853678186123
300,301,3.898,3.875,3.824,3.805,3.786,3.761,3.864,3.812,8881.873,8716.462,7598.87,6766.257,6381.598,7070.044,8856.764,8383.357,C23H35N5O2,414.2865,3.83,0.86,1/1,0.052,8709.614,2.6334016051552807,6954.19225,7.389485017435817,0.798450109270055,0.928430359616343
301,302,4.567,4.574,4.737,4.747,4.772,4.845,4.593,4.605,1524.03,1519.099,1618.054,1502.432,1853.829,1835.924,2013.366,2102.113,C26H36N6O3,481.2919,4.64,1.04,1/1,0.605,1789.652,17.41569235343087,1702.55975,10.05158285588271,0.9513356507298625,0.9147458180094831
302,303,15.272,15.197,14.877,14.798,14.675,14.658,15.125,15.079,12082.896,11826.777,13387.097,14086.922,13263.117,13389.146,12170.3,11240.034,C26H33FN4O3S,501.2331,14.91,1.16,1/1,0.038,11830.00175,3.5456993333874136,13531.5705,2.770524654356382,1.1438350378942252,0.9860646878398495
303,304,5.07,5.073,5.385,5.426,5.514,5.62,5.155,5.18,834.147,719.634,1025.639,1062.715,1029.208,1218.68,777.375,765.969,C18H11N3O2S,334.0642,5.28,1.32,1/1,0.001,774.28125,6.080164916257658,1084.0605,8.420833153497544,1.4000862089841386,1.0606713704425292
304,305,15.11,15.072,14.739,14.661,14.564,14.467,14.97,14.903,7130.349,6772.255,6215.993,6989.3,6903.149,6453.821,6645.153,6675.872,C15H15N7O,310.1414,14.76,0.99,1/1,0.855,6805.907249999999,3.276115300495845,6640.565750000001,5.537801917243392,0.9757061778942111,0.9855617958527385
305,306,14.322,14.368,14.654,14.729,14.786,14.833,14.452,14.503,5992.829,6063.922,6956.139,7114.993,7884.714,8417.712,6527.318,6819.328,C24H25N5O4,448.198,14.54,1.13,1/1,0.057,6350.84925,6.173255058680641,7593.3895,8.994222069955319,1.1956494637311694,1.0580968705585572
306,307,5.746,5.718,5.576,5.523,5.5,5.477,5.658,5.625,2613.047,2318.936,3257.3,3415.165,3522.107,3585.346,2441.978,2647.781,C19H19N3O2S,354.1268,5.62,1.48,1/1,0.008,2505.4355,6.125146969816207,3444.9795,4.165048883083956,1.3750022700644258,0.9290555878813688
