,Compound Name,/home/zzy/peakformer/resources/paper/qe-shift/SA1_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA2_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA3_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA4_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA5_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB1_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB2_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB3_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB4_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB5_Area,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
220,221,83180.677,80686.503,79145.698,82401.416,85151.141,77398.832,67072.959,73935.618,77560.679,78958.623,C22H28FO5,392.2006,21.74,1.05,0.552,1/1,82113.087,2.809816932521785,74985.3422,6.394022694951117,0.9131959951767493,0.8697104715969041
221,222,48952.474,39133.173,36885.684,35292.642,36232.192,27584.841,29745.117,31825.834,28454.259,32954.031,C5H11NO4S,204.0303,0.67,0.74,0.001,1/1,39299.233,14.196000820889083,30112.8164,7.478098796018304,0.7662443793750376,1.0354653775338347
222,223,940649.804,938471.971,851020.187,857040.592,848502.579,857694.731,838378.253,962077.447,867397.153,904988.936,C18H23NO3,302.1754,3.41,1.0,0.927,1/1,887137.0265999999,5.406474764888697,886107.3040000001,5.518099259592039,0.9988392744647958,0.9988392744647958
223,224,4841.269,3620.846,6500.906,6303.694,5806.099,3864.369,5290.483,4581.659,5730.763,5312.526,C19H30O5,339.2167,31.5,0.76,0.61,1/1,5414.5628,21.98878767225844,4955.960000000001,14.865372735198001,0.9153019704564146,1.2043446979689665
224,225,327601.712,469227.715,321752.506,323158.28,465385.325,328485.735,320430.479,317830.88,310343.569,314759.577,C10H19O6PS2,331.0439,27.22,0.84,0.149,1/1,381425.1076,20.565015049012565,318370.048,2.1321985618509522,0.8346856084101162,0.9936733433453765
225,226,26760889.417,25770887.575,30504613.493,26378927.836,25959758.444,25055642.752,29259647.713,25182434.035,25191617.406,24647531.82,C12H17NO,192.1385,13.66,0.98,0.753,1/1,27075015.352999996,7.221105099912465,25867374.7452,7.38073963298863,0.9553964940719346,0.9748943817060557
226,227,1364364.046,2372191.257,2083611.517,2055270.584,2443341.239,2485806.573,2152177.807,2268159.595,2156422.413,2236279.008,C21H45N3,340.3695,29.46,1.13,0.474,1/1,2063755.7285999998,20.683575250189808,2259769.0792,6.017807570842783,1.0949789492446234,0.9690079196855075
227,228,4112310.797,4374733.946,4022132.965,4021144.293,4036989.775,4111960.922,4103222.603,4603137.861,4269069.945,4454893.108,C22H42N4O8S2,555.253,3.66,1.06,0.445,1/1,4113462.3552,3.666280393605266,4308456.8878,5.066034816302064,1.0474039910328823,0.9881169726725304
228,229,2926.288,1144.67,2703.454,2135.839,967.694,1176.92,1962.481,2225.819,2594.46,2155.02,C12H17O,178.1354,29.3,1.27,0.253,1/1,1975.589,45.0297666799107,2022.9399999999998,25.977563701135768,1.023968041935848,0.8062740487683842
229,230,17821895.352,20572442.896,17245450.791,17220385.745,20863516.719,16299964.44,16183903.125,16193326.085,16044732.932,16011516.87,C12H21N2O3PS,305.1084,29.94,0.88,0.09,1/1,18744738.3006,9.710592691526672,16146688.6904,0.730956210814938,0.8613984592083188,0.9788618854639987
230,231,1055746.986,1171481.589,1126622.788,1133838.939,1115478.445,1102134.863,1047208.826,962579.701,1013697.604,1047266.606,C6H8N2,109.0763,0.71,0.94,0.221,1/1,1120633.7494,3.7416642060047813,1034577.5199999999,4.953232933635376,0.9232075337316267,0.9821356741825816
231,232,19554221.595,19871362.883,19414039.507,19181141.026,19071486.098,18027673.211,21107157.906,18250374.023,19573932.511,18633384.978,C13H17NO,204.1386,18.06,0.94,0.43,1/1,19418450.221800003,1.629067155197585,19118504.525799997,6.585626040698106,0.9845535718569717,1.047397416869119
232,233,378145.016,357001.79,351534.518,365123.088,354751.245,391650.881,341567.801,309112.446,332058.587,355132.706,C7H15N,114.128,0.61,0.96,0.296,1/1,361311.1314,2.952159915095692,345904.4842,8.84238336733491,0.9573590574408746,0.9972490181675777
233,234,2240444.018,3408917.907,2583283.273,2556625.668,2603702.501,3004288.846,2300757.201,2430427.464,2293354.467,2357185.55,C18H26O3,291.1957,32.3,0.96,0.719,1/1,2678594.6734,16.218577767086494,2477202.7056,12.099412430560895,0.9248143178212294,0.9633482477304472
234,235,6881617.854,6436404.821,6320471.217,6304306.351,6095719.716,6315049.26,6055059.491,6192595.888,5542197.408,5826002.444,C7H15NO2,146.1177,0.46,1.03,0.155,1/1,6407703.9918,4.55699381501318,5986180.8982,5.137233634639131,0.9342162037854078,0.9070060230926289
236,237,189479.318,185554.006,195516.603,194970.322,191294.104,173222.785,179071.856,185978.542,184502.715,184515.441,C4H7Cl2O4P,220.9536,8.56,0.98,0.68,1/1,191362.87060000002,2.147659969652023,181458.26779999997,2.923457800138604,0.948241773501071,0.9675936464296643
237,238,8277801.982,10586184.716,8005380.116,8060007.157,10685984.259,10373087.122,7888201.637,8018745.67,8030870.949,8113738.449,C16H22O4,279.1595,31.24,0.96,0.715,1/1,9123071.646000002,15.185560481509555,8484928.7654,12.47619294366578,0.9300517517167812,0.9688039080383138
238,239,7073301.743,7922722.201,7141069.077,7013547.648,7108172.079,6120985.525,5988641.309,5666283.029,5397504.208,5203848.56,C17H26N2O,275.2123,4.48,0.86,0.01,1/1,7251762.5496,5.21305811629986,5675452.5262,6.8032308916411015,0.7826307725027556,0.9100357819799484
239,240,118280.363,132298.311,125886.521,119809.804,122468.701,118825.395,132593.418,144133.296,133131.873,127784.548,C8H10N2O3S,215.049,2.29,0.93,0.321,1/1,123748.73999999999,4.512331397614115,131293.706,6.9982451452191645,1.0609700430081148,1.140828003234532
240,241,2844005.197,2866555.56,2948823.691,2855653.393,2902591.256,2695069.985,2459483.473,2435063.538,2426104.219,2414884.703,C24H33N3O4,428.2553,6.94,0.94,0.355,1/1,2883525.8194000004,1.4768495785424018,2486121.1836,4.74450518746741,0.8621810031572071,0.917213833145965
241,242,3980731.763,4667174.1,3979328.446,3978509.82,4111666.097,3977358.793,3962560.617,4622833.964,3931128.448,3917446.239,C11H16ClNO,214.0996,3.81,0.97,0.633,1/1,4143482.0452,7.199096647167365,4082265.6122000003,7.425589549252607,0.9852258481315453,1.0156967506510777
242,243,1194512.791,1260417.983,1145313.689,1152318.66,1148589.4,1136689.686,1162196.56,1172203.209,1238717.701,1294693.295,C21H19ClN4O4,427.1176,4.43,1.04,0.449,1/1,1180230.5046,4.158087666419272,1200900.0902,5.3759374385021514,1.0175131768916659,0.9783780547035248
243,244,941876.229,910321.938,1133554.612,940474.144,917309.703,1107671.512,1116891.05,914352.397,921470.815,930231.552,C21H30O4,347.2223,12.95,1.05,0.674,1/1,968707.3252000001,9.620689229433147,998123.4651999999,10.461020017026748,1.030366385423922,0.9813013194513542
244,245,1018975.571,1040236.249,1039567.557,1010225.773,1012405.544,1053335.306,959895.022,1009316.103,1018500.578,1037980.887,C22H26ClN7O2S,488.1642,6.66,0.97,0.184,1/1,1024282.1388000001,1.4273366203435676,1015805.5792000002,3.5067332946375442,0.9917243899127923,1.0223962782606106
245,246,2806244.419,2749570.633,3066896.146,2773747.228,3076266.976,2587576.911,3050370.934,2664589.49,2731486.788,2859963.092,C23H32N6O4S,489.229,10.63,0.94,0.324,1/1,2894545.0804000003,5.6275308524944645,2778797.443,6.541955746880403,0.9600118035183598,1.0212891526791061
246,247,84481.423,40838.126,32277.797,44809.803,65436.329,37288.54,26497.743,24158.17,40601.532,66742.09,C14H20N4,245.1752,32.84,0.75,0.134,1/1,53568.6956,39.473577590673834,39057.615,43.44417701496114,0.7291126760234199,0.9721502346978932
247,248,4637947.231,4333764.07,4309889.995,4227529.566,4537228.198,4501539.425,4818353.532,5064789.622,4893533.691,4727709.152,C12H12N2O3,233.0924,9.39,1.09,0.085,1/1,4409271.812,3.883322261147628,4801185.0844,4.337775273472837,1.0888838994532823,0.9989760545442956
248,249,668610.39,735478.572,703456.638,727069.199,727543.005,632919.315,614840.047,715237.953,729640.902,741120.252,C28H36ClN5O3S,558.2312,22.12,0.89,0.034,1/1,712431.5608,3.8277448269796266,686751.6938,8.514348421635447,0.9639546190638106,1.0830950775997872
249,250,6162400.861,6307332.633,5824642.448,5747985.598,5716452.659,5763448.911,5919115.038,6756206.847,6052354.865,6415538.989,C21H31N3O5,406.2343,3.49,1.07,0.295,1/1,5951762.8398,4.475811774619105,6181332.93,6.498102752599055,1.038571780559676,0.9706278322987625
250,251,307963.991,356265.114,332679.125,314906.252,315076.388,321024.987,312733.058,322478.632,327310.227,333189.245,C22H24N2O8,445.1615,5.13,0.98,0.613,1/1,325378.174,6.003554562481828,323347.22980000003,2.352135764719071,0.9937582039537785,1.0140389836263046
251,252,467850.506,523467.789,492073.507,467987.07,488115.679,434925.139,432814.054,498446.274,449877.243,478353.081,C21H20O9,417.1186,3.38,0.93,0.064,1/1,487898.9102,4.6749857869308435,458883.15820000006,6.239348118198294,0.9405291723482109,1.0113216906970008
252,253,3376320.068,3599313.506,3244233.058,3316715.138,3095812.883,3361592.128,3129330.208,3111345.318,3118271.828,3067999.304,C27H30F6N2O2,529.2294,31.03,0.93,0.108,1/1,3326478.9305999996,5.563251396831595,3157707.7572,3.6838558590359574,0.9492643191431372,1.0207143216592873
253,254,2514107.183,2484518.55,2244649.709,2260782.326,2204868.849,2317798.147,2227839.317,2247172.79,2309851.214,2231956.937,C20H26N2O4,359.1972,3.76,1.07,0.067,1/1,2341785.3233999996,6.217958465255139,2266923.6810000003,1.9191970132814655,0.9680322352130429,0.9047030235635914
254,255,1474815.212,1536126.926,1436089.009,1412052.328,1412646.714,1405759.017,1454931.848,1688402.125,1533534.601,1614819.831,C16H20N6O,313.1776,3.3,1.02,0.814,1/1,1454346.0377999998,3.600528045426414,1539489.4844,7.471345099453261,1.0585441458820881,1.0377883783157726
255,256,2576457.342,2609862.487,2532167.393,2527193.705,2803035.652,2386993.505,2776553.002,2387808.604,2488349.411,2460131.798,C19H20FNO3,330.1505,10.87,0.99,0.903,1/1,2609743.3158,4.339511867199664,2499967.264,6.436360985348768,0.9579360732009965,0.9676121951525217
256,257,923172.89,904033.275,877692.597,880768.726,998865.299,787999.018,732088.837,805883.947,801558.778,859415.789,C24H32O7,433.2228,22.78,0.89,0.049,1/1,916906.5573999999,5.388911963407546,797389.2738,5.708930970862074,0.8696516208381083,0.9771366526270879
257,258,905660.166,908547.476,920911.398,913190.262,1126237.21,860444.66,1074818.24,889034.87,903063.959,913773.746,C13H15NO3,234.1128,11.29,1.02,0.775,1/1,954909.3024,10.0479210980524,928227.0950000001,9.087510512414191,0.9720578621101095,0.9529979040295191
258,259,869988.584,851624.041,848711.92,838589.814,824512.892,909893.98,832887.589,846640.609,858719.188,875383.385,C21H21ClN4OS,413.1203,7.36,1.05,0.159,1/1,846685.4502000001,1.983974150395346,864704.9502000001,3.435773871945215,1.0212824018597975,0.9726499065331404
259,260,1457869.331,1516992.002,1423158.661,1399089.368,1414120.42,1368891.51,1393888.407,1633043.805,1481096.827,1514795.702,C16H25NO4S,328.1583,3.23,1.06,0.033,1/1,1442245.9564,3.261188338594617,1478343.2502000001,7.125132029375621,1.0250285283448481,0.9670080456083473
260,261,1462116.075,1560290.037,1385948.474,1428415.006,1417366.812,1488758.042,1389165.513,1393172.808,1412765.459,1427977.76,C9H10N2O,163.0868,5.67,0.94,0.229,1/1,1450827.2807999998,4.61608755085997,1422367.9164,2.8310609267654923,0.9803840437958218,1.0429617487189593
261,262,1761456.053,1707559.852,1566885.903,1494725.662,1545374.878,1447255.356,1468900.186,1709782.538,1498412.476,1595031.251,C18H25N3O2,316.2025,3.69,1.06,0.373,1/1,1615200.4696000002,7.034899306963176,1543876.3614,7.0334854720652995,0.9558419468404047,0.901737685698495
262,263,7496969.955,6781981.957,7637471.451,6546754.64,7382974.366,6138355.96,7379873.597,6680748.234,6434935.218,7121191.06,C14H10N2O,223.0869,10.36,0.94,0.631,1/1,7169230.473800001,6.652230361324089,6751020.8138000015,7.453126188374642,0.9416660321455211,1.0017723746228948
263,264,1469812.526,1760935.322,1470083.493,1446723.054,1416422.29,1341174.539,1363213.312,1381355.814,1374255.619,1440189.174,C7H6N2,119.0606,5.09,0.92,0.143,1/1,1512795.3369999998,9.283771415586418,1380037.6916,2.6739222495538435,0.9122434858483439,0.9915690063568955
264,265,8888.167,7830.552,9775.483,8403.807,12057.991,7800.515,11073.202,8274.9,8107.154,8653.369,C7H4ClNOS,185.9776,10.78,0.94,0.702,1/1,9391.2,17.596286085371034,8781.828,15.001283064828089,0.9351124456938409,0.9948004741423839
265,266,2194840.705,2561575.95,2243118.671,2174455.008,2165413.451,2182975.152,2152270.973,2170391.736,2244855.936,2331895.016,C12H11N5,226.109,3.91,0.98,0.645,1/1,2267880.757,7.359635436977811,2216477.7626,3.307338150043795,0.9773343487124089,0.9972799476657234
266,267,11054747.955,10927305.24,10978115.828,10814390.661,10881132.594,11029076.598,9379509.66,9402582.3,9418899.875,9101961.203,C20H25NO,296.2012,6.79,0.99,0.897,1/1,10931138.455599999,0.8388374030180792,9666405.9272,7.994299244044944,0.8843000174650538,0.8932323408737918
267,268,2356789.038,2378975.056,2349494.215,2378756.02,2361076.863,2626073.077,2347005.541,2412977.921,2451850.312,2404040.583,C25H32N2O4,425.2443,5.75,1.16,0.084,1/1,2365018.2384,0.5624465309180479,2448389.4868,4.3360635021822045,1.035251841633324,0.8924584841666587
268,269,9193701.953,8877497.171,8798094.821,8937725.532,8875302.081,7905975.232,8405468.658,8311351.659,8469493.954,8518596.585,C25H32N2O6,457.2343,8.54,0.88,0.015,1/1,8936464.3116,1.7020081748129499,8322177.2176,2.946769327953335,0.9312606112909081,1.058250694648759
269,270,4720547.987,4498252.624,5075358.767,4637093.024,5261539.704,5131706.983,5208817.714,4543673.946,4372946.849,4526507.073,C15H10O2,223.0757,20.71,0.97,0.759,1/1,4838558.4212,6.578818045118877,4756730.513,8.078600426963705,0.9830883703209053,1.0134931652792838
270,271,573508.354,675908.643,575349.327,574655.889,574260.398,559982.286,562340.672,660418.223,589333.328,606574.817,C9H9I2NO3,433.8753,3.66,1.04,0.647,1/1,594736.5222,7.630518552781979,595729.8652000001,6.888370704600169,1.001670223641766,0.9631444458093904
271,272,979427.276,1000443.92,962990.993,929389.603,914456.313,918440.33,935995.856,931456.719,866962.265,931601.444,C8H13NO2,156.1024,0.7,0.97,0.413,1/1,957341.621,3.692322745864049,916891.3228,3.127324713919561,0.9577472687777354,0.9873683183275623
272,273,1562452.778,1425207.753,1420063.13,1340444.572,1314632.441,1115158.285,1025804.45,1028282.764,1039835.448,1072685.386,C17H28O6,329.1947,6.5,0.68,0.002,1/1,1412560.1348,6.852219523617528,1056353.2666,3.5794219549826756,0.7478288821661851,1.0997483561267427
273,274,607.024,668.147,636.767,532.945,796.846,679.177,527.49,624.894,630.062,527.971,C10H6O3,175.0392,29.32,1.12,0.711,1/1,648.3458,14.954651264519025,597.9188,11.286572638140804,0.9222220611284904,0.8234125545790092
274,275,1203939.87,1247099.913,1227218.268,1220934.965,1224336.425,1193637.181,1515698.518,1259149.328,1463774.98,1238308.99,C15H12O2,225.0913,18.59,1.14,0.085,1/1,1224705.8882,1.2605878064324516,1334113.7994,10.882647466708294,1.08933402889146,0.9555561656942632
275,276,83179.231,81653.511,89123.129,85760.252,88185.726,118024.271,87161.421,87786.485,89836.714,90034.515,C11H8O3,189.0549,7.76,1.11,0.312,1/1,85580.36979999999,3.7207383071214712,94568.68119999999,13.928242634857826,1.105027723308576,0.9955204714491674
276,277,9630.774,2468.985,4123.357,4000.528,4102.545,5835.164,4218.858,4177.578,4089.507,3540.393,C20H36O2,331.2597,6.35,1.0,0.99,1/1,4865.2378,56.60016481172087,4372.300000000001,19.719326363672298,0.898681663617758,0.898681663617758
277,278,7583427.7,7435577.288,7414551.522,7330710.939,7431363.396,7965737.211,7073835.662,6791284.114,6881685.926,7128660.738,C22H31N3O3,386.2444,7.83,1.11,0.03,1/1,7439126.169,1.2256519730523698,7168240.7302,6.5086223042609745,0.9635863900347837,0.8680958468781835
278,279,12939493.321,13195584.168,12940945.257,13006203.958,12955013.826,12198978.772,14578766.279,12657863.779,11879131.09,12338500.222,C20H31NO2,318.2431,17.87,1.04,0.277,1/1,13007448.105999999,0.8350011364847624,12730648.0284,8.407457015709149,0.9787198783847296,0.9410768061391631
279,280,62517.821,82857.984,83226.026,73389.517,69424.069,72004.464,81579.71,82358.138,81546.735,85205.232,C13H16N4O6,325.115,0.71,1.12,0.205,1/1,74283.0834,11.971641998359765,80538.8558,6.2088011100413905,1.0842153033189788,0.9680493779633738
280,281,790911.575,755513.919,770812.005,747849.299,761429.007,861395.809,805199.338,819460.965,870804.684,925535.902,C21H18O11,447.0931,6.49,1.14,0.04,1/1,765303.161,2.168458885478503,856479.3396,5.537717585717184,1.1191373343876727,0.9816994161295376
281,282,755382.831,838586.683,838557.128,815366.01,815014.981,801177.007,802006.002,787525.772,795801.156,783003.23,C15H24N2O2,265.1914,0.52,0.97,0.616,1/1,812581.5266,4.189786652718205,793902.6333999999,1.0569518459674974,0.9770128995201796,1.0072297933197727
282,283,833637.954,1003323.862,973294.629,935736.874,929401.228,949108.915,925479.894,870406.285,905655.029,913983.471,C15H24N2O,249.1965,0.53,1.01,0.602,1/1,935078.9094,6.856185688348305,912926.7188000001,3.1598931262297585,0.9763098168750122,0.9666433830445665
283,284,422886.544,468663.168,446582.697,434097.0,437757.834,444971.103,467238.055,480008.36,504052.456,531487.316,C22H16N4O3,385.13,4.31,1.1,0.142,1/1,441997.44859999995,3.882112953144306,485551.458,6.881105363662626,1.0985390516120732,0.9986718651018847
284,285,3694766.267,3795440.359,3556412.953,3448721.554,3497955.844,3332263.683,3282856.112,3353334.464,3199319.807,3442393.724,C14H22N4O4S,343.1441,4.43,0.95,0.123,1/1,3598659.3954,3.9875380033318053,3322033.5579999997,2.699320482353904,0.9231308643008566,0.9717166992640596
285,286,17014.954,15100.995,21124.832,18624.164,16273.963,10121.835,20243.219,18948.061,19124.446,18456.895,C4H4N6O,153.0525,0.73,0.94,0.507,1/1,17627.781600000002,13.248041127730573,17378.891200000002,23.64451185392079,0.9858807871774404,1.048809348061107
286,287,9774307.037,9538536.077,8992340.504,9223881.021,10289870.115,8559232.483,9597258.428,8045802.31,8438011.021,8376952.282,C24H27FN2O2,395.2136,10.74,0.97,0.6,1/1,9563786.9508,5.265147137703923,8603451.3048,6.825260076319125,0.8995862568938062,0.9274085122616559
287,288,3576545.75,3720876.773,4481187.238,3684547.785,4155812.88,3286522.472,4031934.017,3386760.554,3398540.185,3266587.846,C24H32N2O2,381.2543,11.96,0.97,0.671,1/1,3923794.0851999996,9.73396965043026,3474069.0148,9.133900530701617,0.8853851500270364,0.9127681959041613
288,289,688929.972,483454.348,487176.085,491233.817,469879.29,509698.023,515453.662,592785.082,661341.254,651495.693,C24H32N6O3,453.2618,4.65,1.05,0.818,1/1,524134.70239999995,17.642830649285557,586154.7427999999,12.30554671977776,1.1183284375486142,1.0650747024272516
289,290,7763204.475,8265710.248,7488025.148,7439428.732,7370832.107,7285101.335,7433002.965,7247354.617,7296780.122,7513148.803,C17H19N3O2S,330.1276,5.37,0.92,0.12,1/1,7665440.142,4.789842333811593,7355077.5684,1.5345836396073549,0.9595114477641694,1.042947225830619
290,291,1014071.032,1047382.927,1054795.669,1046278.815,1065498.863,1014500.546,1168812.081,1088406.131,1204955.016,1101277.667,C17H18Br2N2O,426.9846,18.32,1.08,0.169,1/1,1045605.4612,1.8385468056896999,1115590.2881999998,6.644996024656768,1.0669323464700355,0.9879003208055884
291,292,323644.25,367923.968,329644.026,328726.396,320715.07,323578.795,344266.717,337377.243,363736.348,381406.903,C18H14N6O2,347.1257,3.77,1.04,0.444,1/1,334130.74199999997,5.75930615128463,350073.2012,6.490927699158913,1.047713236754492,1.0074165738023961
292,293,790969.337,712051.667,695314.472,688110.678,669847.325,559238.159,509372.947,526969.681,552295.105,564390.987,C28H40BrN7O4,618.2413,7.85,0.7,0.001,1/1,711258.6958000001,6.616734841747532,542453.3757999999,4.317344348520506,0.7626667751174084,1.0895239644534407
293,294,5569937.245,5686482.238,5794912.302,5790323.23,6771089.601,6038362.52,6416463.377,6418417.601,6161204.312,6368018.41,C26H26F3N7O2,526.2182,22.99,1.04,0.444,1/1,5922548.9232,8.158341586625443,6280493.244,2.7350813082374565,1.0604375456313833,1.0196514861840222
294,295,2715590.591,3165710.69,2703897.25,2704052.367,3169537.823,3025947.183,2562400.736,2595755.206,2588355.445,2611530.278,C19H19N5O,334.1667,29.42,0.94,0.29,1/1,2891757.7442,8.710231862510787,2676797.7696,7.321652452437453,0.9256645979314329,0.9847495722674818
295,296,62904.847,63546.864,64662.359,90969.059,64372.688,59335.436,60410.444,64734.063,64468.498,65596.992,C14H10F3NO5,330.0588,25.49,0.94,0.575,1/1,69291.1634,17.51747771154891,62909.086599999995,4.496148535863312,0.9078947951392022,0.9658455267438322
296,297,235073.301,239615.059,245856.849,245205.18,244210.495,283184.918,262916.15,271049.353,278556.468,275019.073,C21H24N4O2S,397.1709,6.3,1.27,0.0,1/1,241992.17680000002,1.890320406119001,274145.19239999994,2.811425285918891,1.132867996086392,0.8920220441625134
297,298,1454586.05,1466731.936,1424547.503,1391196.088,1389279.788,1257961.254,1230665.137,1261079.573,1251722.574,1268474.465,C19H17Cl3N4O3,455.0447,26.69,0.83,0.0,1/1,1425268.2729999998,2.489368307472965,1253980.6006,1.1452811701480674,0.8798207497880648,1.0600249997446565
298,299,1675636.673,1571308.054,1560929.268,1530955.211,1496725.488,1634775.985,1499406.37,1556472.684,1568590.294,1596617.28,C18H19FN2O2,315.1507,7.49,1.05,0.494,1/1,1567110.9388000001,4.291901060309389,1571172.5226000003,3.1928163831187524,1.0025917653303538,0.9548493003146226
299,300,550779.08,580619.042,598011.872,574371.404,572486.532,596633.472,601415.828,606725.077,606764.303,615395.331,C26H28N8O,469.2471,6.87,1.1,0.029,1/1,575253.586,2.952870677684312,605386.8022,1.1570184848920124,1.0523824917103604,0.9567113561003275
300,301,1775308.085,1842133.633,1760111.581,1693887.174,1710033.136,1653566.354,1659641.449,1590849.621,1673688.41,1738424.157,C21H22FN3O,352.1827,4.98,0.92,0.172,1/1,1756294.7218,3.34183578443078,1663233.9982,3.168463510751546,0.9470130369095322,1.0293619966407959
301,302,667880.553,718486.126,639946.498,634313.292,619574.238,589585.386,638818.02,682254.317,653112.542,621601.39,C16H15N7O,322.1417,5.2,0.95,0.429,1/1,656040.1414,5.952823569258018,637074.331,5.43531046924026,0.971090472666007,1.0222004975431653
302,303,666410.732,518751.573,473799.36,458887.665,461738.487,448940.183,462318.628,474709.884,480033.5,496159.555,C27H32N8O2,501.2732,5.19,0.99,0.797,1/1,515917.56340000004,16.958121671615853,472432.35,3.7866462102801908,0.9157128648355684,0.9249624897328973
303,304,8616238.11,8197633.041,8071807.257,8093788.684,7968800.401,7807425.973,7806057.015,7787521.309,7722902.634,7639975.215,C23H23O2N5,402.193,26.29,0.95,0.107,1/1,8189653.4986000005,3.076302087025571,7752776.429199999,0.926752816683619,0.9466549995705332,0.9964789469163509
304,305,4285065.992,4702630.144,4350482.224,4203467.595,4336595.015,4086128.502,4145023.486,4765809.106,4215411.436,4278028.429,C18H14N4,287.1294,3.5,1.05,0.311,1/1,4375648.194,4.380042890569672,4298080.1918,6.3114949230933,0.9822727973637453,0.9354979022511859
305,306,1137288.174,1198130.131,1134474.821,1085359.983,1114480.83,1165826.493,1185080.648,1332120.961,1260693.095,1301241.708,C19H21ClN4,341.1534,3.65,1.22,0.019,1/1,1133946.7878,3.6548786818175096,1248992.5809999998,5.770555199819436,1.1014560775141866,0.9028328504214644
306,307,605966.036,638255.715,592043.77,577799.361,606346.738,608934.22,624539.735,616053.848,658155.566,675682.821,C26H24N8O2,481.2105,3.76,0.96,0.511,1/1,604082.324,3.7128836440849957,636673.238,4.528495618720469,1.0539511134578405,1.0978657431852505
307,308,2056008.001,1882949.388,1882417.298,1887112.444,1919256.636,2031762.692,1859785.294,1865554.48,1920924.795,2012638.334,C21H24ClFN4O3,435.1603,6.27,0.99,0.69,1/1,1925548.7534000003,3.869949105007965,1938133.1190000002,4.161380888568534,1.0065354697344222,1.0167024946812346
308,309,4450638.336,4404409.045,4382934.441,4319442.628,4389213.277,4303873.282,4416226.509,4408536.518,4364488.755,4423025.241,C24H17N3O6,444.1198,26.94,1.03,0.183,1/1,4389327.545399999,1.075328996593271,4383230.061,1.1385175063836848,0.9986108385995505,0.969525086018981
309,310,1659841.673,1637003.655,1642299.83,1641371.747,1844719.766,1812365.111,1628959.402,1719011.294,1727385.877,1763322.514,C25H25ClN6O4S,541.1432,21.78,1.0,0.925,1/1,1685047.3342,5.3224119329050374,1730208.8396,3.9019021971834675,1.0268013274662349,1.0268013274662349
310,311,454170.465,543121.82,578167.895,551884.135,557262.298,399480.496,348578.847,397117.725,584627.269,774118.845,C26H19ClN8,479.1505,6.72,0.79,0.345,1/1,536921.3226,8.944255988988171,500784.6364,35.42920659297892,0.9326964963413804,1.180628476381494
311,312,5451.613,3077.896,6165.03,5285.018,3405.308,2817.332,5588.026,4502.024,4748.567,5532.873,C32H38ClN5O4,592.2687,31.23,1.0,0.999,1/1,4676.973,28.99968332617007,4637.7644,24.224756399234366,0.9916166717233561,0.9916166717233561
312,313,6987888.288,6569937.285,6407410.734,6428913.998,6685554.887,6240165.215,7217794.184,6572558.227,7298567.663,6572243.788,C25H34FN3O2,428.2715,18.45,1.04,0.659,1/1,6615941.0384,3.575036377776792,6780265.8154,6.751419236197662,1.0248377027615923,0.9854208680399925
313,314,677320.103,681776.216,692903.281,686716.735,684986.108,740862.785,716560.713,756613.535,764891.548,766612.854,C29H35N7O4,546.2835,6.35,1.28,0.001,1/1,684740.4886,0.8466776368983042,749108.2870000001,2.783543553025003,1.0940032019015038,0.8546900014855499
314,315,1827848.711,1944092.868,2038310.19,1995714.591,2149670.273,2302880.629,2480415.993,2496035.352,2478386.507,2568574.772,C26H30N6O3,475.245,8.92,1.17,0.001,1/1,1991127.3265999998,5.9559714790464895,2465258.6506,3.9739035844556856,1.2381220515965772,1.0582239757235703
315,316,104634.526,123453.203,108279.47,111371.579,108047.52,111944.957,113601.186,105793.095,116630.343,123482.926,C34H44N4O4,573.345,4.0,1.02,0.774,1/1,111157.25960000002,6.545274231228379,114290.5014,5.6730794209600495,1.0281874689181343,1.0080269303118963
316,317,2216671.871,2357466.687,2163573.318,2159858.59,2111621.205,2085864.321,2095024.815,2172080.522,2258953.702,2372791.029,C24H30N6O2,435.2513,5.3,0.97,0.732,1/1,2201838.3342,4.29696308913999,2196942.8778,5.486348116272155,0.9977766503907387,1.028635722052308
317,318,3455557.951,3429738.818,3801129.034,3386379.125,3237014.117,3637949.192,3470873.743,3217393.874,3288547.317,3265814.649,C22H22F3N3O3,434.1696,12.47,0.95,0.424,1/1,3461963.8089999994,5.997238286103599,3376115.755,5.184804828285344,0.975202498137958,1.0265289454083768
318,319,957043.504,1060251.619,1041105.543,1030757.584,1035366.548,1079279.328,1027414.419,1039398.822,1067108.163,1075513.935,C24H29ClN6OS,485.1897,5.36,0.89,0.211,1/1,1024904.9596000001,3.86010008482911,1057742.9334,2.178372331270467,1.0320400184352858,1.1595955263317819
