Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML,Compound formula,mz_y,rt_y,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
212,220.9531,8.93,730341.7438812983,684726.5130132965,695410.4978624645,667955.195983238,8.93,904699.4132474615,917608.266016094,904938.4162720892,900834.474897104,C4H7Cl2O4P,220.9531,8.93,1.05,0.607,1/1,694608.4876850744,3.7958640710953526,907020.1426081872,0.8053873987633129,1.305800546191162,1.2436195678011066
213,279.1593,31.4,1305673.1788313985,1325828.14357345,1416690.4831803725,1043391.8154285464,31.4,3013800.090045256,2616107.4949753834,2568452.4590925,2402396.184554041,C16H22O4,279.1593,31.4,1.06,0.432,1/1,1272895.9052534418,12.60450939103357,2650189.057166795,9.77807559562601,2.0820155412780004,1.9641656049792455
215,428.2543,6.85,7669973.282571769,7041485.750344585,4254150.632752726,4847765.356435965,6.85,5450959.412186678,5596778.963248362,3774441.777200629,5709689.609004696,C24H33N3O4,428.2543,6.85,0.89,0.057,1/1,5953343.755526261,27.83898332280771,5132967.440410091,17.764681860295607,0.8621990684890912,0.9687629983023497
216,214.0993,3.46,2868.992927369328,2193.7193373981067,1974.5638046822685,2652.630272023878,3.46,254106.0513619744,284763.55094546545,197206.28532151063,371940.6082992402,C11H16ClNO,214.0993,3.46,0.96,0.669,1/1,2422.4765853683957,16.941655728051913,277004.12398204766,26.335392566826865,114.347492832391,119.1119717004073
218,347.2215,13.33,1717833.2798998412,1698316.976927015,1800034.3788713338,1748003.043662983,13.33,1848041.592035235,1723499.263207021,2039773.770894211,1763757.4411253317,C21H30O4,347.2215,13.33,1.13,0.013,1/1,1741046.9198402932,2.545560655743232,1843768.0168154496,7.625540604312757,1.0589996144300229,0.9371678003805514
219,488.1626,7.01,1795432.1614977114,1496463.2816597845,1210501.5965011274,1487379.9357715966,7.01,2158413.782863359,2178514.823154879,1553750.0499626163,2126480.753571472,C22H26ClN7O2S,488.1626,7.01,1.22,0.018,1/1,1497444.2438575549,15.954571753565553,2004289.8523880816,15.023926803266644,1.3384737766428254,1.0971096529859226
220,489.2277,10.61,11421349.515826156,11796853.120769557,11474204.742889311,10110584.908251792,10.61,5177.21376460031,3429.0183852384966,5178.087637064709,17408.172908926797,C23H32N6O4S,489.2277,10.61,1.1,0.319,1/1,11200748.071934205,6.65566522740679,7798.123173957578,82.83418756093542,0.0006962144960207963,0.0006329222691098148
222,464.3071,0.75,9407.305518621008,8872.011169527557,138.33146932874513,8064.459767197197,0.75,6635.277844386807,9714.893757729456,9.526322823873192,11370.028119340672,C20H41N5O7,464.3071,0.75,1.02,0.933,1/1,6620.526981168628,65.80398182988034,6932.431511070203,72.3404697161704,1.0471117375986465,1.0265801349006338
223,450.2886,33.54,62.23354523456744,132.9130177258778,3.7547782188791854,63.15151064478256,33.54,54828.63046992199,56270.95279002011,53289.62057953973,62357.72478286179,C19H39N5O7,450.2886,33.54,0.95,0.32,1/1,65.51321295602675,80.64092017366139,56686.73215558591,7.006603952635933,865.2717459245164,910.8123641310699
224,233.0922,9.39,1606470.3329764125,2104005.4694260047,1884413.4941131591,1897969.274607532,9.39,2352699.505980474,2303623.1470014625,2476407.74174523,2260136.6339500444,C12H12N2O3,233.0922,9.39,1.34,0.032,1/1,1873214.642780777,10.903757176568522,2348216.7571693026,3.9796926146021026,1.2535759135874507,0.9355044131249631
225,558.2299,21.94,6457045.877118728,5568127.158228743,5644564.678583623,5796509.253977514,21.94,5175234.113788257,6148989.184696171,5024662.471322496,5062264.9968816,C28H36ClN5O3S,558.2299,21.94,0.96,0.49,1/1,5866561.741977152,6.902478601531412,5352787.691672131,9.98813589968465,0.9124233114894537,0.9504409494681809
226,417.1177,3.3,11852.609956528036,15684.675250266033,7224.027827839314,7466.161115531246,3.3,8576.512615901556,17673.833380384745,13103.71010050529,7211.099472836262,C21H20O9,417.1177,3.3,1.13,0.06,1/1,10556.868537541159,38.13929655859426,11641.288892406965,40.76148713114019,1.1027217826014895,0.9758599846030881
227,529.2286,31.06,9017.419823085726,6150.2655833246645,8066.106996502262,5218.535987698415,31.06,34803.71081527378,29507.96872578114,38911.399435019615,41773.47836600788,C27H30F6N2O2,529.2286,31.06,1.02,0.676,1/1,7113.082097652767,24.419217029756094,36249.1393355206,14.696195256891343,5.096122726810982,4.996198751775473
228,359.1963,3.75,6766855.565791951,6486127.884307737,6237148.927281406,5922717.764958698,3.75,5396782.017880864,5860429.935257372,3904081.914892653,6036413.664108657,C20H26N2O4,359.1963,3.75,1.16,0.007,1/1,6353212.535584948,5.657407397475758,5299426.883034887,18.276739190623793,0.8341334172833496,0.7190805321408187
229,313.177,3.55,473.1339207008083,528.2298190986653,865.2452502917911,202.2009854130869,3.55,2781897.0571796987,3173112.085227701,3021174.960255623,3239174.860335752,C16H20N6O,313.177,3.55,1.24,0.03,1/1,517.2024938760879,52.64643316184602,3053839.7407496935,6.646503638913048,5904.534059499984,4761.721015725794
230,330.1501,11.0,6646591.222492233,6750064.656287131,5508134.066795725,6311942.5955323605,11.0,6949419.942242738,4381692.229614957,7261026.254786053,1108166.0790968568,C19H20FNO3,330.1501,11.0,1.11,0.178,1/1,6304183.135276862,8.925415726015975,4925076.126435151,57.92788708576106,0.7812393803846651,0.7038192616078064
231,433.2223,22.9,5094588.303399528,5198117.68084337,5853991.078688973,5996453.450667676,22.9,5198789.783146534,5035956.061983526,4715955.387022445,5058898.59529301,C24H32O7,433.2223,22.9,1.09,0.062,1/1,5535787.628399886,8.226318229432266,5002399.956861379,4.079505071079756,0.9036473746207127,0.8290342886428556
232,234.1125,11.53,936122.6711396258,926790.3493097846,908289.4971274792,942469.9994292113,11.53,1012117.2632218855,933538.13569636,997944.4605904784,923447.5480516932,C13H15NO3,234.1125,11.53,1.04,0.489,1/1,928418.1292515253,1.6031885170799283,966761.8518901044,4.629519112452701,1.0413000580562672,1.001250055823334
233,413.1196,7.45,1771697.0690830748,1651214.3888490696,1135873.365334094,1422944.206619361,7.45,2139194.6882821126,2130846.9060745137,1765058.726744089,1451116.984440136,C21H21ClN4OS,413.1196,7.45,1.16,0.01,1/1,1495432.2574713998,18.72079464915346,1871554.3263852128,17.639765138808087,1.2515139465760832,1.0788913332552441
234,163.0858,5.69,496655.4693381062,483967.3108445133,467841.55563425866,446064.6468554842,5.69,587900.7936757122,606479.7919441375,548514.4970227235,635950.1932694011,C9H10N2O,163.0858,5.69,1.23,0.019,1/1,473632.24566809065,4.610254357363012,594711.3189779936,6.15500542402618,1.2556394215497566,1.020845058170534
235,316.2018,3.32,7097.647375721268,5821.520711808125,16075.588663844414,6273.793949436924,3.32,1207225.56546515,1388448.0018620775,854929.5459423765,1352839.364815603,C18H25N3O2,316.2018,3.32,1.2,0.006,1/1,8817.137675202683,55.20747844969864,1200860.6195213017,20.28388506552038,136.19619696974928,113.4968308081244
236,220.0968,6.94,2127025.944102136,2122579.7942532403,2135697.6314526848,2154888.110918212,6.94,1538277.1426875389,1698938.343176083,1483244.4209863946,1783265.485900727,C12H13NO3,220.0968,6.94,0.85,0.004,1/1,2135047.8701815684,0.6699879229839495,1625931.348187686,8.561022558306487,0.7615432753971056,0.8959332651730655
237,223.0867,10.9,12165077.365994,10343656.498926004,5562014.351814141,8626420.529266605,10.9,4111315.120466433,326679.6459779444,10115720.812042754,20530.409931620023,C14H10N2O,223.0867,10.9,1.16,0.052,1/1,9174292.186500188,30.61136175616803,3643561.497104688,128.9612787693224,0.3971490577187116,0.34236987734371693
239,185.9774,11.02,75502.78483873559,73372.64616780009,86055.13655755435,73466.2337702325,11.02,95607.31715024238,87005.60733598318,85795.37321187647,86279.8693599975,C7H4ClNOS,185.9774,11.02,1.2,0.023,1/1,77099.20033358064,7.848301315614033,88672.04176452488,5.244255578001534,1.1501032615237603,0.9584193846031336
240,226.1087,3.69,14451.017727792889,17931.223019315512,7376.138674772659,6579.03752182889,3.69,2977696.279729411,3251228.2797903907,3532736.3337029847,3233452.044839382,C12H11N5,226.1087,3.69,1.34,0.005,1/1,11584.354235927487,47.611776044125186,3248778.234515542,6.982076663322577,280.4453462274009,209.28757181149317
241,296.2011,6.88,8009516.80949107,6287752.025562825,10832654.0747287,12197369.487588797,6.88,3316925.0027441625,831407.6318024041,7843923.400817794,259331.76043998796,C20H25NO,296.2011,6.88,1.09,0.26,1/1,9331823.09934285,28.673254938860026,3062896.948951087,112.72480823424662,0.328220639884052,0.3011198531046348
242,306.2068,3.38,361.2688087697724,183.72621340484292,419.5369813167231,199.60708782491287,3.38,20066.863310649813,22317.258188848384,21392.68394499976,19131.00275680781,C18H27NO3,306.2068,3.38,1.03,0.586,1/1,291.03477282906283,40.324920730286095,20726.952050326443,6.797456112001742,71.21812919070075,69.14381474825315
243,425.2436,5.9,3925385.2493628194,3954633.4161760407,3614100.55824012,3403017.603716336,5.9,3920610.6934973313,3782038.240229875,4767332.268865515,3606813.3669113824,C25H32N2O4,425.2436,5.9,1.41,0.001,1/1,3724284.206873829,7.0846606394017835,4019198.642376026,12.813943839073938,1.0791868770266995,0.7653807638487231
244,457.2334,8.6,8787554.63591446,7982404.9542466225,2488782.7259840984,4076945.739022867,8.6,21554647.40308312,23912178.024685625,21752568.31326449,20678911.98688308,C25H32N2O6,457.2334,8.6,0.98,0.762,1/1,5833922.013792012,52.00747884154483,21974576.431979075,6.249945180672896,3.766690123733029,3.8435613507479887
245,223.0755,21.02,6530781.999853692,6608133.396296776,6842844.536149723,7226742.84207592,21.02,6539066.479800532,6355190.136009056,6834926.733416695,5553920.0448484,C15H10O2,223.0755,21.02,0.99,0.889,1/1,6802125.693594027,4.596107211686632,6320775.848518671,8.671467679825993,0.9292353792390704,0.9386215951909802
246,433.874,3.67,1069727.7862352906,1072540.9255404728,1088124.1960550095,907702.5367129308,3.67,1135958.3729223,1104428.505980153,1116158.643206271,1428301.6729734528,C9H9I2NO3,433.874,3.67,1.3,0.003,1/1,1034523.8611359259,8.209942386755776,1196211.7987705444,12.980371365641934,1.1562921298471378,0.8894554844977983
247,156.1013,0.56,61322.518874682966,57432.98734039582,50731.39007632756,67822.95874009095,0.56,52011.92551310526,66742.14041386922,55174.85584769069,63760.58951584381,C8H13NO2,156.1013,0.56,1.32,0.059,1/1,59327.46375787433,12.062267627748984,59422.37782262725,11.713986242504415,1.0015998335128615,0.7587877526612586
249,329.1942,6.53,2696372.923205219,2415569.6024616743,2941876.033380483,2718011.9242098117,6.53,2247.5991704147746,1447.0770437867309,3493.108708691648,847.1738384769812,C17H28O6,329.1942,6.53,1.13,0.036,1/1,2692957.6208142973,8.008759224568161,2008.7396903425338,56.943134924535535,0.0007459232461798379,0.0006601090674157858
250,175.0363,31.35,194095.68490095425,225643.82389846552,235617.32932076816,177174.4752822999,31.35,144944.8046930602,217504.11892914237,247522.92115234467,212438.9012039805,C10H6O3,175.0363,31.35,0.89,0.435,1/1,208132.82835062194,13.062610936636835,205602.68649463193,21.060771124410017,0.9878436194999103,1.1099366511234947
251,225.091,19.03,1176039.088123441,1368970.3243878868,1183615.8769470332,1390415.6447145946,19.03,1504598.0777415491,1433056.909710003,1513777.838112685,1381540.8060745408,C15H12O2,225.091,19.03,1.28,0.021,1/1,1279760.2335432388,9.045865214235182,1458243.4079096946,4.291776548932867,1.1394661044219931,0.8902078940796821
252,189.0543,7.91,174694.92929363996,177099.38188338955,185140.51535531948,157781.1720485608,7.91,195016.31527172463,202700.01867844185,180692.8584317056,193552.363848962,C11H8O3,189.0543,7.91,1.29,0.015,1/1,173678.99964522745,6.622148331700936,192990.38905770853,4.729440027016941,1.1111901234572301,0.8613876926025039
253,386.244,7.92,14607873.380575646,12090217.534652594,9917465.391355611,13480621.751583032,7.92,10329709.447315456,6741992.197001375,16768044.11239606,2455770.638667915,C22H31N3O3,386.244,7.92,1.11,0.176,1/1,12524044.514541721,16.128081131120553,9073879.098845202,66.73766929033638,0.7245166757679186,0.6527177259170437
254,318.243,17.67,10309467.640913796,19744038.39758204,45691.34277285369,415256.9856402263,17.67,2424141.4821911016,307439.8832364761,3817783.287776489,52578.26193235976,C20H31NO2,318.243,17.67,0.98,0.663,1/1,7628613.591727229,122.85338598768583,1650485.7287841067,108.68117021764039,0.2163546113508697,0.2207700115825201
255,325.114,3.04,223109.1382413274,206151.74752818828,228562.11259273905,273116.91949669895,3.04,188737.1538341461,176692.54106945297,199697.00543802217,170678.33079677352,C13H16N4O6,325.114,3.04,0.99,0.698,1/1,232734.9794647384,12.272517039157503,183951.2577845987,7.015977911071893,0.7903893871375236,0.7983731183207309
256,325.1152,21.79,116101.66849853237,107343.22876647009,74693.02270646066,85304.09372542994,21.79,136433.3110654941,88047.61201815102,124130.84979173954,9190.231841599394,C13H16N4O6,325.1152,21.79,1.36,0.014,2/1,95860.50342422325,19.98502612561592,89450.50117924601,64.07051934251312,0.9331319780722382,0.686126454464881
257,447.0919,6.64,1616716.9158498277,1702448.569538816,1582713.0892606152,1639946.9185685616,6.64,1746336.4703489917,1829147.046293936,1719978.0711393326,2051492.995284055,C21H18O11,447.0919,6.64,1.3,0.003,1/1,1635456.3733044553,3.085883351491753,1836738.6457665786,8.195794258299118,1.1230740701786075,0.8639031309066211
258,265.1909,0.67,122434.44245916884,153559.51893523557,106508.18894624453,149641.39264550369,0.67,459329.5970492,521469.3071479074,446172.2531449414,499135.96253078897,C15H24N2O2,265.1909,0.67,1.83,0.052,2/1,133035.88574653817,16.881083495191778,481526.77996820945,7.241942121969966,3.6195254931862593,1.9778827831618901
259,249.1959,0.62,107587.10415924956,122346.43065737696,98223.59396842314,118858.34651848165,0.62,334299.6709201757,377324.9385038432,334198.6889277041,350172.6679825953,C15H24N2O,249.1959,0.62,2.94,0.015,4/1,111753.86882588282,9.84449989803685,348998.99158357957,5.822715553622972,3.122925364913626,1.062219511875383
260,385.1296,4.35,105677.91077778084,100314.1053487666,136587.9410035128,103828.60936712332,4.35,1000235.2197250348,1045814.724894846,876802.5512998768,1048470.2002282204,C22H16N4O3,385.1296,4.35,1.48,0.001,1/1,111602.1416242959,15.058045170268777,992830.6740369945,8.103889021256485,8.896161485675776,6.010919922753903
261,343.1434,4.43,4825790.393041977,4061624.3612094256,5307142.210175741,5138479.233331469,4.43,4417218.059978679,4687902.046423312,3198055.5126009574,4460340.300745423,C14H22N4O4S,343.1434,4.43,1.12,0.193,1/1,4833259.049439653,11.415169545163995,4190878.9799370933,16.04557263190666,0.8670917360456741,0.7741890500407804
262,395.213,11.01,1537582.5535406787,566484.2948158572,3434011.387529624,3981982.9193186457,11.01,2993235.4225587654,831285.0513632585,9445813.843065962,352984.71100735344,C24H27FN2O2,395.213,11.01,1.15,0.034,1/1,2380015.2888012016,67.2080550877087,3405829.7569988347,122.9443066783855,1.4310117136744651,1.2443580118908393
263,381.2538,11.88,7014176.930964323,6319912.936012682,6952387.39764129,6655638.358454954,11.88,6762050.326222599,7472757.012820056,6450056.029009023,8346311.404831348,C24H32N2O2,381.2538,11.88,0.96,0.433,1/1,6735528.905768312,4.724495610744934,7257793.693220757,11.607837243252671,1.0775387938733627,1.1224362436180861
264,453.261,4.84,5151842.128583109,4495684.803835485,5939235.793819589,5504957.8346424615,4.84,7846211.359563088,4990079.45368888,6972316.228899288,1331854.974073945,C24H32N6O3,453.261,4.84,1.12,0.017,1/1,5272930.1402201615,11.569933337226589,5285115.504056301,54.75261295524461,1.002310928366601,0.8949204717558936
265,330.1272,5.54,11127128.05570209,11363736.435897296,11533296.571579942,10000418.7272891,5.54,11164439.586764297,12665099.703110913,13885955.876217607,11288978.545021432,C17H19N3O2S,330.1272,5.54,1.19,0.008,1/1,11006144.947617106,6.277082808397573,12251118.42777856,10.48564376175835,1.1131162169939437,0.9353917789865074
266,347.1249,4.06,488000.21199562296,437467.09373435663,356680.4509122188,344226.0209803593,4.06,843882.4905636822,842364.2950365539,816125.5216269009,927031.6348664814,C18H14N6O2,347.1249,4.06,1.4,0.001,1/1,406593.4444056394,16.77803505172174,857350.9855234046,5.6184231970136,2.1086197953257337,1.5061569966612385
267,618.2396,7.97,1928023.3598939704,1666950.3725264168,2263322.790133535,2469454.8669702546,7.97,2051074.9014256496,1979651.1819503843,2157905.969563524,1997274.5943010668,C28H40BrN7O4,618.2396,7.97,1.04,0.749,1/1,2081937.8473810442,17.071687074191217,2046476.6618101564,3.9217731503882023,0.9829672218046779,0.9451607901968057
268,501.161,22.09,44257707.91064119,47193187.78337914,8131846.935613045,23188416.3806574,22.09,16281572.626786934,3300811.3202066906,47179292.86860355,627606.3248552587,C26H29ClN2O4S,501.161,22.09,1.04,0.302,1/1,30692789.752572697,60.12285606946993,16847320.785113107,126.7017354928075,0.5489015798474608,0.5277899806225584
269,526.2176,23.04,20484792.829348464,26180819.109645125,24412476.25846177,25686549.61926893,23.04,36058120.49056204,30225675.062410057,36679232.467809856,30308897.01740922,C26H26F3N7O2,526.2176,23.04,1.08,0.304,1/1,24191159.454181075,10.668222887151597,33317981.259547792,10.60063398743756,1.377279221471515,1.275258538399551
270,334.1664,29.53,4556840.171282589,4804940.945973059,5303730.909237117,5246792.253349766,29.53,5905317.768197972,5230199.075370597,5487249.1679689605,5616718.83473928,C19H19N5O,334.1664,29.53,1.17,0.002,1/1,4978076.069960633,7.202587452919689,5559871.211569202,5.0502283205623915,1.1168714847728651,0.9545910126263805
271,330.0582,25.82,327294.1967289152,348783.7878466328,284619.59508798795,327252.592255212,25.82,393383.37462684937,413760.5895845893,391450.72956598,400589.5770605604,C14H10F3NO5,330.0582,25.82,1.17,0.018,1/1,321987.542979687,8.353308974754405,399796.0677094948,2.527834621260035,1.241650729744897,1.0612399399529036
272,397.1691,6.41,504240.6578964255,522156.53928527294,462289.4002973975,514658.7538960196,6.41,757790.3203650358,818392.8884736587,788716.56775398,770275.8275728303,C21H24N4O2S,397.1691,6.41,1.68,0.009,1/1,500836.3378437789,5.336558945539208,783793.9010413762,3.3596571106694886,1.5649701146202726,0.9315298301311147
273,455.0437,27.0,3825072.26813065,3613472.207366594,4072003.470465471,4246831.1284997165,27.0,4052673.960579372,3758041.8203041134,3529223.928588012,3614063.544378845,C19H17Cl3N4O3,455.0437,27.0,0.97,0.676,1/1,3939344.768615608,7.0500881377826685,3738500.8134625857,6.145761457023892,0.9490158980871318,0.9783669052444658
274,315.1502,7.67,1392861.435174615,1106676.2918040226,1540433.3132172313,2008459.769946776,7.67,869120.6692147257,343956.7132093321,1740274.736128138,106747.61105065844,C18H19FN2O2,315.1502,7.67,1.23,0.0,1/1,1512107.7025356612,24.913807463781286,765024.9324007136,94.63887019720349,0.5059328321109927,0.4113275057812949
275,469.2459,7.16,4070157.968660672,3914106.8864803393,3774115.776659093,3659651.261020751,7.16,4576498.446696302,3704496.871476787,4102081.250727517,3696444.8388550594,C26H28N8O,469.2459,7.16,1.02,0.621,1/1,3854507.973205214,4.60427270217126,4019880.3519389164,10.363405767649578,1.042903628655926,1.0224545378979666
276,352.1818,5.17,2702619.696747139,2631989.5898366603,2498172.333205971,2503991.497141356,5.17,2237384.654902108,2755150.3663768093,1438702.9434115973,2880858.161055551,C21H22FN3O,352.1818,5.17,1.18,0.068,1/1,2584193.279232782,3.8787776524429876,2328024.0314365164,28.136486453312326,0.9008707089152715,0.7634497533180268
278,501.2786,5.64,3462513.974909483,2820000.048903456,3445965.917534256,3376432.255485065,5.64,4233663.1073997645,2610934.26520695,4570151.245769049,580426.5396212124,C27H32N8O2,501.2786,5.64,0.96,0.6,1/1,3276228.049208065,9.35313777403946,2998793.7894992437,60.861233414058404,0.9153190023582506,0.9534572941231777
279,402.1926,26.41,14116641.876937345,12803395.771942824,16592530.911719618,13421042.66599314,26.41,12571892.892130297,12012737.67124607,14898531.845013388,11873902.731935324,C23H23O2N5,402.1926,26.41,1.06,0.316,1/1,14233402.806648232,11.674810219923366,12839266.28508127,10.947671100909663,0.9020517763386995,0.8509922418289617
280,287.1293,3.51,5711002.378594127,5890360.675947397,5543336.989743285,4894330.599187072,3.51,5055918.3188066855,4144830.2809075536,4452977.6318228375,3810785.646245026,C18H14N4,287.1293,3.51,1.07,0.469,1/1,5509757.66086797,7.878106232269551,4366127.969445526,12.124714856833583,0.792435573066151,0.7405939935197672
281,341.1524,3.58,1205718.8419270287,1228466.3046796075,883191.6025142598,972371.0099628136,3.58,5303.620383091664,5969.690864885906,5962.730005751951,5535.865145839461,C19H21ClN4,341.1524,3.58,1.45,0.007,1/1,1072436.9397709274,15.964359350969632,5692.976599892245,5.787026634921391,0.0053084488129514305,0.003660999181345814
284,444.1191,26.74,10344181.940624868,10563811.761683907,9239130.510805951,11135351.95662342,26.74,13763619.735215236,12433897.378188252,12268386.284526948,14036811.287746286,C24H17N3O6,444.1191,26.74,1.22,0.015,1/1,10320619.042434536,7.696991108886306,13125678.67141918,6.885851187913608,1.2717918002254793,1.0424522952667863
285,541.1421,21.91,851793.7654615017,730612.0385880892,5407.54490411738,27459.89637363084,21.91,4026734.438784285,932417.8155874892,5233775.512247486,157869.45541827468,C25H25ClN6O4S,541.1421,21.91,1.24,0.01,1/1,403818.31133183476,111.46862042025529,2587699.305509384,93.9107700696793,6.4080781700435585,5.167804975841579
287,428.2709,18.56,3860828.355417938,2314955.9175327565,23797.82033902806,198545.3850138468,18.56,21163038.694918133,9872798.37925538,23508823.125856664,2033624.11822494,C25H34FN3O2,428.2709,18.56,1.09,0.335,1/1,1599531.869575892,114.54671791878113,14144571.07956378,70.91864318670875,8.842944206741027,8.112792850221124
288,546.2824,6.3,6049165.330839288,5610735.443165862,4416674.659357569,3960756.302913039,6.3,6028322.345514844,4694182.233375577,6465575.682796227,3331920.6494719605,C29H35N7O4,546.2824,6.3,1.04,0.849,1/1,5009332.93406894,19.605851797600256,5130000.227789652,27.599134605454374,1.0240884954761227,0.9847004764193487
289,573.3429,3.83,345632.62295790896,327175.3665739,279340.54797933483,332156.3324014852,3.83,562742.6879396539,407880.811470416,539415.9102699726,182280.80203499907,C34H44N4O4,573.3429,3.83,1.24,0.172,1/1,321076.21747815725,8.999580086190495,423080.05292876036,41.22352340954106,1.3176935253933668,1.0626560688656184
290,435.2501,5.5,2778557.2810633965,2088614.49404718,3122592.4912397857,3361096.978264677,5.5,4469803.932786392,2989223.212603224,4539773.621079112,271948.4713476641,C24H30N6O2,435.2501,5.5,1.41,0.033,1/1,2837715.3111537597,19.512006222247823,3067687.3094540983,65.07410209457126,1.0810412508247125,0.7666959225707181
291,434.1688,12.54,1786374.3143116194,3499481.4680752605,109748.55101065114,248650.00642365508,12.54,7105518.880561029,7451933.413909571,6375132.050917898,8058985.912703132,C22H22F3N3O3,434.1688,12.54,1.17,0.033,1/1,1411063.5849552967,112.4033363551089,7247892.564522907,9.695639081493155,5.136474813608435,4.390149413340542
292,485.1883,5.37,68.98810976686295,38.03522168917053,42.44761348121075,30.39753466840203,5.37,4364504.793340225,3213552.978387021,3815514.1771548353,1438573.8085586517,C24H29ClN6OS,485.1883,5.37,1.36,0.002,1/1,44.967119901411564,37.29350051458316,3208036.439360183,39.58307439590686,71341.82590287442,52457.22492858413
293,478.1557,26.36,5269876.998837875,4932287.280122066,5448511.5909927245,5103466.159605491,26.36,5875146.493487075,5372677.30475928,5995585.379553489,5036296.237246916,C21H24FN5O5S,478.1557,26.36,1.08,0.056,1/1,5188535.507389539,4.267826414170723,5569926.35376169,8.015771253874593,1.0735064539558363,0.9939874573665151
294,409.3322,3.47,1506176.7052018512,1438653.4768085573,1456953.7948034802,1363987.310779005,3.47,1600161.3449212024,1535160.6711923785,1237578.9664443294,1469982.1680263267,C26H40N4,409.3322,3.47,0.93,0.363,1/1,1441442.8218982234,4.092180799971952,1460720.7876460594,10.814484127519536,1.0133740759293173,1.0896495440100185
295,228.0342,5.89,1397804.5041189631,1225542.454948252,853520.3391544116,950168.0725839896,5.89,1296165.524747463,1601839.4129963256,683565.7086188117,1527845.425885297,C11H11Cl2N,228.0342,5.89,1.11,0.011,1/1,1106758.8427014041,22.58652422191705,1277354.0180619743,32.623954051398854,1.1541394283728308,1.039765250786334
296,639.3768,13.61,8049052.140518984,6771384.239255912,8652881.883762375,9370687.560203169,13.61,15421210.52520354,14881494.73426111,13616577.059522884,14657317.31168047,C36H46N8O3,639.3768,13.61,1.17,0.151,1/1,8211001.455935109,13.412991443764364,14644149.907667,5.164919983495029,1.783479151265021,1.5243411549273684
297,628.1011,32.02,843726.4189146614,858053.1148050376,731660.8934796733,615988.0379565881,32.02,1034686.3301548888,812349.1001442813,967007.8164830044,897395.1800095605,C31H32BrNO4S2,628.1011,32.02,1.1,0.325,1/1,762357.11628899,14.791045916608287,927859.6066979337,10.265109441655708,1.2170931271876604,1.1064482974433276
298,342.1006,12.98,731.3119813010796,227.81351943834312,565.0637949894958,623.6411420064402,12.98,11459966.345061732,11542828.829977062,10924289.747720225,9159658.109939473,C18H16ClN3O2,342.1006,12.98,1.09,0.048,1/1,536.9576094338397,40.46728876152822,10771685.758174622,10.296444768131446,20060.58871115009,18404.2098267432
299,507.2333,4.16,1194175.4584032854,1164211.4333377208,897667.5282968564,863397.170003461,4.16,1008103.3806238284,934753.4188064464,706196.665957605,718099.9587556696,C27H31FN6OS,507.2333,4.16,1.17,0.27,1/1,1029862.8975103309,16.840171541571006,841788.3560358874,18.14452103040408,0.8173790492607227,0.6986145720177117
300,518.1647,27.56,1549.2958975294885,1355.100940180833,549.0503744569196,905.5921275472302,27.56,1990.2099140321457,1444.603403734239,1973.2075533184768,537.7510895883225,C24H22F3N5O5,518.1647,27.56,1.31,0.021,1/1,1089.759834928618,41.305863122874996,1486.442990168296,45.83389899754458,1.3640097042718242,1.0412287818868886
301,414.2865,3.65,7707936.182943145,8638603.739509305,3960764.467481476,4700813.111940053,3.65,5797946.973973946,6897891.889597151,3923633.8606622103,7704242.5789903235,C23H35N5O2,414.2865,3.65,0.86,0.052,1/1,6252029.375468494,36.3233199708791,6080928.825805908,26.91565751341288,0.9726327981864664,1.1309683699842632
302,481.2919,4.65,2188411.930007784,2080883.2916679848,1190289.4889983688,1717617.4150690208,4.65,2113083.688047387,2294281.9132471927,2190440.3488262515,947809.3649025488,C26H36N6O3,481.2919,4.65,1.04,0.605,1/1,1794300.5314357895,25.09309463008166,1886403.8287558449,33.40313381310252,1.0513310316228657,1.0108952227142938
303,501.2331,14.93,3044476.997084866,2749370.6192627857,24947.70600928076,92893.49514074484,14.93,6053101.15505342,1837599.6608107032,2774830.664755064,445045.0829781203,C26H33FN4O3S,501.2331,14.93,1.16,0.038,1/1,1477922.2043744195,111.18171660766527,2777644.140899327,85.83558022994517,1.879425136639759,1.6201940833101371
304,334.0642,5.33,257.8298832388231,451.1340283437824,205.2019708315138,49.6048285387932,5.33,1071131.2274557175,700281.046811678,1074263.4377256525,4157.980114882395,C18H11N3O2S,334.0642,5.33,1.32,0.001,1/1,240.94267773822813,68.76473184107823,712458.4230269826,70.71027638142886,2956.962335253168,2240.1229812523998
