Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML,Compound formula,mz_y,rt_y,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
230,330.1501,10.95,6344989.521469105,6628718.155621038,3100889.386639789,4879512.903196535,10.95,7323058.38378723,6952180.428582368,6243272.6731939325,2825604.254067273,C19H20FNO3,330.1501,10.95,1.11,1/1,0.178,5238527.491731617,30.889500247729192,5836028.934907701,35.23519438948665,1.1140590450501917,1.003656797342515
231,433.2223,22.78,5078438.00782684,5192965.4470932735,5843202.365126832,5958400.100074963,22.78,5863787.67798306,5657621.920801138,5369248.276462047,5632135.190080589,C24H32O7,433.2223,22.78,1.09,1/1,0.062,5518251.480030477,8.094604610376852,5630698.266331708,3.602125477519996,1.0203772493348944,0.936125916821004
232,234.1125,11.53,936122.6711396258,926790.3493097846,908289.4971274792,942469.9994292113,11.53,1012117.2632218855,933538.13569636,997944.4605904784,923447.5480516932,C13H15NO3,234.1125,11.53,1.04,1/1,0.489,928418.1292515253,1.6031885170799283,966761.8518901044,4.629519112452701,1.0413000580562672,1.001250055823334
233,413.1196,7.42,1654633.646974593,1442180.7420160796,1403556.438489074,1618699.9548673565,7.42,2146684.6221824307,2104303.701851208,1831687.767986176,1386404.999268285,C21H21ClN4OS,413.1196,7.42,1.16,1/1,0.01,1529767.6955867757,8.190867709771913,1867270.272822025,18.724923999874726,1.2206234176659043,1.052261566953366
234,163.0858,5.69,496655.4693381062,483967.3108445133,467841.55563425866,446064.6468554842,5.69,587900.7936757122,606479.7919441375,548514.4970227235,635950.1932694011,C9H10N2O,163.0858,5.69,1.23,1/1,0.019,473632.24566809065,4.610254357363012,594711.3189779936,6.15500542402618,1.2556394215497566,1.020845058170534
235,316.2018,3.44,2025037.4645664769,2056375.1399766624,1512594.1617936878,1818851.2447951871,3.44,1263325.1476495662,1432752.2284052183,896824.328580627,1346460.9081882532,C18H25N3O2,316.2018,3.44,1.2,1/1,0.006,1853214.5027830035,13.508063633110028,1234840.6532059163,19.089258396605707,0.6663236507978625,0.5552697089982188
236,220.0968,6.85,2156223.076241847,2134184.329617806,2149702.490799005,2158590.112681983,6.85,1553986.9570024293,1705384.9202471217,1491234.6347119245,1780865.7524224226,C12H13NO3,220.0968,6.85,0.85,1/1,0.004,2149675.00233516,0.511224452156049,1632868.0660959743,8.174079207276325,0.7595883397826247,0.893633340920735
237,223.0867,10.99,10068091.071583876,11173560.897359513,1052298.5488080324,2373436.356234271,10.99,1569937.9153277292,100792.95376757203,2127972.106698273,6890.5441651703095,C14H10N2O,223.0867,10.99,1.16,1/1,0.052,6166846.718496422,84.1738466777172,951398.3799896862,111.60882450767635,0.15427631387952717,0.13299682230993723
238,119.0602,5.16,350989.318895338,344934.25122109614,371650.3592215204,375816.4517878783,5.16,401436.8955321088,427650.63091134565,427353.71216868114,470752.304016965,C7H6N2,119.0602,5.16,1.15,1/1,0.382,360847.5952814582,4.2064253176271045,431798.38565727515,6.653498495596518,1.1966225944237647,1.0405413864554476
239,185.9774,10.96,73949.02991787951,71646.51276036729,83752.59491147492,72766.3428398731,10.96,94720.36904017246,83099.30599525683,85195.68979005869,80468.95001831773,C7H4ClNOS,185.9774,10.96,1.2,1/1,0.023,75528.6201073987,7.364979282143292,85871.07871095143,7.2298803839752654,1.1369342984003437,0.9474452486669531
240,226.1087,3.82,1862646.9774850805,1938104.8755959035,1895684.4281069783,2171668.934463277,3.82,2577318.146889325,2300532.3018058417,2939489.775441527,1094563.582909154,C12H11N5,226.1087,3.82,1.34,1/1,0.005,1967026.30391281,7.111273408345806,2227975.951761462,35.89000700577073,1.1326620021956852,0.8452701508923024
241,296.2011,6.7,2445428.0440684017,2482825.056779372,607796.3094573349,1154285.8304934637,6.7,11617035.9267823,9936767.609947411,8459030.103718774,6235613.445781462,C20H25NO,296.2011,6.7,1.09,1/1,0.26,1672583.810199643,56.25752048897036,9062111.771557488,25.200208511770516,5.418031500900284,4.970671101743379
242,306.2068,3.2,10432.232718307265,8586.564948017802,7569.313654550579,8404.450366645568,3.2,9737.542770169175,11045.651857731966,8021.990647557957,9353.79685254052,C18H27NO3,306.2068,3.2,1.03,1/1,0.586,8748.140421880304,13.796400130763011,9539.745531999903,13.043587327152355,1.0904883863249024,1.0587265886649537
243,425.2436,5.73,4751603.107660885,5177817.3185790805,4800252.775560394,4415705.244986315,5.73,4492707.307554065,4891415.340143667,3673949.9873078046,5498958.559466792,C25H32N2O4,425.2436,5.73,1.41,1/1,0.001,4786344.611696669,6.518464400290689,4639257.798618082,16.491068622440768,0.9692694895559458,0.687425169897834
244,457.2334,8.65,8790724.964930253,8082643.717953108,2457735.3207469336,4058620.233706296,8.65,21293971.57939036,22885942.16677777,21816899.928787444,17220350.379159898,C25H32N2O6,457.2334,8.65,0.98,1/1,0.762,5847431.059334147,52.57065767928465,20804291.01352887,11.917989848153933,3.557851439790703,3.630460652847656
245,223.0755,21.21,6264331.661360175,6277058.912826267,6330409.139182971,6610706.92325432,21.21,6568671.154319994,6400140.718943753,6916070.344421343,5627438.266164621,C15H10O2,223.0755,21.21,0.99,1/1,0.889,6370626.659155933,2.5522305985041545,6378080.120962428,8.53833558289752,1.0011699730976673,1.011282801108755
246,433.874,3.5,868296.0021613619,903978.9530735632,726989.5759166519,605928.4061178224,3.5,916122.9598888096,931427.6472886172,829779.3611929226,1241667.979738949,C9H9I2NO3,433.874,3.5,1.3,1/1,0.003,776298.2343173499,17.634715884128443,979749.4870273245,18.398077491797142,1.2620787265977524,0.9708297896905788
247,156.1013,0.59,59900.30507076429,54836.593905010304,47032.69053525799,62492.29066874152,0.59,46643.33210933955,59356.75429847719,47060.13387025295,55014.62814819899,C8H13NO2,156.1013,0.59,1.32,1/1,0.059,56065.47004494352,12.14576832643033,52018.71210656717,11.969560214541671,0.9278208506031901,0.7028945837902955
248,1135.377,0.97,1809.773648631075,1327.8014156653835,688.3859731157814,1140.2423533972703,0.97,732.5659848042085,1804.61718293396,768.2456068554959,1061.7906866454025,C42H70O35,1135.377,0.97,1.38,1/1,0.252,1241.5508477023775,37.39237123655397,1091.8048653097667,45.57370512984198,0.8793879584797257,0.637237651072265
249,329.1942,6.34,2447048.342585814,2221674.8695851145,1731421.3842204637,1829110.254267826,6.34,2202556.314239745,2547783.4578506714,1225857.5364417168,2266078.85762632,C17H28O6,329.1942,6.34,1.13,1/1,0.036,2057313.7126648047,16.295826348112584,2060569.0415396134,27.97011862947289,1.0015823201171357,0.88635603550189
250,175.0363,31.21,130935.99633282713,163962.33459014373,165949.9561212174,103090.0448775071,31.21,59468.4196981705,83334.60728340462,136439.92211246243,71860.30900468398,C10H6O3,175.0363,31.21,0.89,1/1,0.435,140984.58298042385,21.23244037405083,87775.81452468038,38.59254973996252,0.6225915817821607,0.6995411031260232
251,225.091,19.11,1209849.276011593,1409241.8329242016,1216450.117044026,1416752.9257659358,19.11,1509283.079037639,1426483.5150607869,1521026.4913656863,1358851.3002961364,C15H12O2,225.091,19.11,1.28,1/1,0.021,1313073.5379364393,8.792676297004446,1453911.0964400622,5.231979053105993,1.1072579367679256,0.8650452630999419
252,189.0543,7.96,174638.94823136128,176878.38603263887,185027.2641163848,157443.99173447827,7.96,195062.63638423223,201262.73345770105,180401.5884085461,192977.95031738796,C11H8O3,189.0543,7.96,1.29,1/1,0.015,173497.1475287158,6.683536195124892,192426.2271419668,4.549605223539073,1.1091031171571164,0.8597698582613306
253,386.244,7.78,16505951.798262838,15719486.91916166,13780180.21955162,16451804.953680802,7.78,19923181.666047003,21899278.754159156,20363959.010129284,16035338.73277454,C22H31N3O3,386.244,7.78,1.11,1/1,0.176,15614355.97266423,8.161075829539246,19555439.540777497,12.758104791521117,1.2524012885970355,1.1282894491865183
254,318.243,17.74,19568706.96840314,24237514.20413262,454458.87969454326,3872071.519057544,17.74,2309854.9178809533,290482.8176515803,4028390.560300908,50693.40921774165,C20H31NO2,318.243,17.74,0.98,1/1,0.663,12033187.892821962,96.72433347109032,1669855.4262627957,112.01745157811673,0.13877082624621012,0.14160288392470421
255,325.114,3.17,112183.69575855104,98561.83121796275,100032.21570545308,118430.00328661302,3.17,81739.00017924645,77631.72107031845,74324.95101088716,79614.23065162249,C13H16N4O6,325.114,3.17,0.99,1/1,0.698,107301.93649214497,8.953569551704197,78327.47572801865,4.023671898087673,0.7299726201470055,0.7373460809565712
257,447.0919,6.47,1190140.0018340405,1207310.5026505562,1099217.692026364,1099818.7337766576,6.47,1462254.9050166628,1445829.3751756218,1279703.688505851,1682186.5580876586,C21H18O11,447.0919,6.47,1.3,1/1,0.003,1149121.7325719045,5.021668536822782,1467493.6316964487,11.256036368459423,1.2770567208854198,0.9823513237580151
258,265.1909,0.59,197895.7533419272,237115.1367945413,188862.8151964756,251008.59512020453,0.59,172223.91932335263,207901.8823573641,170436.8650915927,192477.8017111357,C15H24N2O2,265.1909,0.59,1.83,2/1,0.052,218720.57511328714,13.731451629844853,185760.11712086128,9.596835689180812,0.8493033498318397,0.4641001911649397
259,249.1959,0.59,66507.36231288048,81878.68125074296,63757.14782287614,81365.42410915224,0.59,191463.76064340989,234128.17767000516,196829.86868686732,220933.28990421607,C15H24N2O,249.1959,0.59,2.94,4/1,0.015,73377.15387391296,13.067631635509807,210838.7742261246,9.548700557627605,2.873357211270659,0.9773323847859385
260,385.1296,4.51,666757.0803554693,782136.6608378766,591962.107393013,469149.2834215107,4.51,993628.2132510814,1013316.5967090026,805912.231837231,903419.478597222,C22H16N4O3,385.1296,4.51,1.48,1/1,0.001,627501.2830019674,20.93890788572872,929069.1300986342,10.228316488846936,1.4805852278962135,1.0003954242541984
261,343.1434,4.38,4813487.465549446,4026965.6995377946,5315142.767303616,5130548.354761811,4.38,4415448.047801198,4702212.227645479,3242899.277522628,4416230.585693539,C14H22N4O4S,343.1434,4.38,1.12,1/1,0.193,4821536.071788167,11.796722056848475,4194197.534665711,15.459637473218791,0.8698882414686998,0.7766859298827676
262,395.213,10.81,19661404.307628583,20093604.31048344,9471643.19545615,14408591.88717619,10.81,23372380.317891728,20080207.21963137,22829425.93688397,8516783.577048114,C24H27FN2O2,395.213,10.81,1.15,1/1,0.034,15908810.92518609,31.48820570588483,18699699.262863796,37.112301025611565,1.1754303543364955,1.0221133515969527
263,381.2538,12.02,7196084.108859204,6503497.090269751,7012494.357893692,6839054.551465295,12.02,6333970.083772909,7212706.234697653,5997982.460503577,8385852.188458015,C24H32N2O2,381.2538,12.02,0.96,1/1,0.433,6887782.527121985,4.279479915299935,6982627.741858038,15.273600133207902,1.0137700652369004,1.0560104846217713
264,453.261,4.83,5617751.669278968,4958390.574656493,5423584.189451374,5473375.623697979,4.83,7684039.414546275,3911270.672418545,6718311.948144241,789248.6981151087,C24H32N6O3,453.261,4.83,1.12,1/1,0.017,5368275.514271203,5.316305701026516,4775717.683306043,64.95808755434437,0.8896185880568378,0.7943023107650337
265,330.1272,5.39,11222696.1023011,11444007.042062713,11621480.291712862,10220879.88753466,5.39,11067073.35653021,12769143.304735592,13680411.816296054,11728374.85680029,C17H19N3O2S,330.1272,5.39,1.19,1/1,0.008,11127265.830902833,5.624833034719837,12311250.833590535,9.346332523879655,1.1064039469066622,0.9297512158879515
266,347.1249,3.96,491713.8658148292,431869.6435562111,370811.2202491979,355366.7191758895,3.96,559385.8744205488,623464.5534955391,417804.5868715572,638584.7504527452,C18H14N6O2,347.1249,3.96,1.4,1/1,0.001,412440.362199032,15.11059785950514,559809.9413100976,17.988724104760667,1.3573112445283646,0.9695080318059748
267,618.2396,7.89,1534304.3156932644,888552.857240028,1817580.6731826751,2022646.2254859088,7.89,506613.2784457769,114265.6380048637,712767.372541439,7265.440678001281,C28H40BrN7O4,618.2396,7.89,1.04,1/1,0.749,1565771.017900469,31.54240165852799,335227.93241752026,98.68014641818135,0.21409767366049792,0.20586314775047876
268,501.161,22.01,3441693.6599958027,10363566.8077144,14424.464527507898,67227.85751022885,22.01,36698980.59856688,12826528.621699853,55046349.65877348,1959683.9538314007,C26H29ClN2O4S,501.161,22.01,1.04,1/1,0.302,3471728.1974369856,140.16867890316368,26632885.708217904,89.59202435925573,7.671362558820047,7.376310152711584
269,526.2176,23.1,28232392.07881737,35521536.29965787,32728273.506956443,34476072.0009023,23.1,29656587.426695306,23591462.373069234,28292162.27582768,19862211.91988885,C26H26F3N7O2,526.2176,23.1,1.08,1/1,0.304,32739568.471583493,9.8295570157024,25350605.99887027,17.70149981510687,0.7743109387918011,0.7169545729553713
270,334.1664,29.61,4498147.268635787,4654984.389043896,5178799.98159582,5064558.6352001615,29.61,5773670.627109215,4985910.555640867,5450335.555233579,5435876.273087858,C19H19N5O,334.1664,29.61,1.17,1/1,0.002,4849122.568618916,6.692699533025633,5411448.2527678795,5.9822505339111265,1.1159644195814007,0.9538157432319665
271,330.0582,25.7,326394.9835432923,350131.67311156227,286112.973839672,327731.33110931434,25.7,393072.1715736355,412878.0801089246,391470.1311508868,400459.6882280589,C14H10F3NO5,330.0582,25.7,1.17,1/1,0.018,322592.7404009602,8.259951071743963,399470.0177653764,2.4428669780317938,1.2383106243149278,1.0583851489871179
272,397.1691,6.29,445763.21185229375,459059.89959986927,279717.0672608608,338134.2373612344,6.29,566002.6447548268,631600.4359206462,499776.5228178657,628085.8081803625,C21H24N4O2S,397.1691,6.29,1.68,1/1,0.009,380668.6040185645,22.690829734241273,581366.3529184253,10.695519834004605,1.5272243278830349,0.9090620999303779
273,455.0437,26.85,3804116.473517305,3594297.4893693184,4083731.321841412,4282082.895914805,26.85,4067110.8677919777,3818662.873139727,3535824.9490480134,3689342.951063153,C19H17Cl3N4O3,455.0437,26.85,0.97,1/1,0.676,3941057.04516071,7.691397344713982,3777735.4102607174,5.953440959430006,0.9585589264432145,0.9882050788074377
274,315.1502,7.5,447986.5768109912,437247.64482952654,35914.615571094284,121543.47621035538,7.5,2472282.963122211,2388294.2865218623,1928889.527679779,1687851.406631368,C18H19FN2O2,315.1502,7.5,1.23,1/1,0.0,260673.07835549186,81.72095111970481,2119329.5459888047,17.64143173443752,8.130220271916908,6.60993518042025
275,469.2459,7.16,4070157.968660672,3914106.8864803393,3774115.776659093,3659651.261020751,7.16,4576498.446696302,3704496.871476787,4102081.250727517,3696444.8388550594,C26H28N8O,469.2459,7.16,1.02,1/1,0.621,3854507.973205214,4.60427270217126,4019880.3519389164,10.363405767649578,1.042903628655926,1.0224545378979666
276,352.1818,5.17,2702619.696747139,2631989.5898366603,2498172.333205971,2503991.497141356,5.17,2237384.654902108,2755150.3663768093,1438702.9434115973,2880858.161055551,C21H22FN3O,352.1818,5.17,1.18,1/1,0.068,2584193.279232782,3.8787776524429876,2328024.0314365164,28.136486453312326,0.9008707089152715,0.7634497533180268
277,322.141,5.35,234880.4978638587,258924.4500577215,246879.1090397759,263292.16413671686,5.35,263617.3047506719,271428.1972447226,281637.1663021489,115014.90893727228,C16H15N7O,322.141,5.35,1.04,1/1,0.751,250994.05527451824,5.095540189871603,232924.39430870392,33.89590811370006,0.9280076137817245,0.8923150132516581
278,501.2786,5.58,3157315.3446152825,2431092.9926105947,3481761.034017451,3194936.337330848,5.58,4362929.715689487,2910777.505815069,4580095.729241775,829902.8924982917,C27H32N8O2,501.2786,5.58,0.96,1/1,0.6,3066276.427143544,14.596169398695391,3170926.460811156,54.485217543295775,1.0341293540077536,1.0772180770914102
279,402.1926,26.33,13259104.879431976,11494604.81988094,15418733.850494822,12291026.548205916,26.33,12969891.96274778,13516424.810691215,14372534.194579529,13923399.682603229,C23H23O2N5,402.1926,26.33,1.06,1/1,0.316,13115867.524503414,12.933387687163393,13695562.66265544,4.358386042388916,1.044198001929268,0.9850924546502529
280,287.1293,3.39,3178364.868835806,2618122.873467057,3243459.693957338,2730197.1648716056,3.39,5145246.190556462,4127712.4462864,4470823.478168913,3557843.390838227,C18H14N4,287.1293,3.39,1.07,1/1,0.469,2942536.1502829515,10.683938179374758,4325406.376462501,15.344375170437702,1.4699586192157992,1.3737931020708403
281,341.1524,3.42,1107729.5014247226,1206911.320352798,651438.340032514,738456.7553842498,3.42,1509940.65280415,1798825.2259670254,1104363.695304768,2188161.246261054,C19H21ClN4,341.1524,3.42,1.45,1/1,0.007,926133.9792985711,29.405191142919236,1650322.7050842494,27.74795056697938,1.781948121949007,1.2289297392751772
282,481.2092,3.75,1242406.1215612183,1322961.0803132686,1115496.5645930353,1154859.0820067653,3.75,1800706.7449860969,1784223.840035993,1602716.3322007917,1154564.4554110696,C26H24N8O2,481.2092,3.75,1.26,1/1,0.0,1208930.7121185719,7.667537496034941,1585552.8431584877,18.98405241594589,1.3115332642843611,1.0408994160986993
283,435.159,6.51,2240986.997583212,2197621.3614386674,2353529.3946348294,2490801.582242181,6.51,3549751.3455852214,3642816.525984872,2797920.452184143,2588431.0576122114,C21H24ClFN4O3,435.159,6.51,1.27,1/1,0.022,2320734.833974723,5.646508325224347,3144729.8453416117,16.845370710067513,1.3550578029440927,1.0669746479874747
284,444.1191,26.9,7971030.898734379,8314743.044580948,6669517.300888303,8242073.893770707,26.9,11821831.921402272,10325710.083952872,10541318.824292911,11654016.191629818,C24H17N3O6,444.1191,26.9,1.22,1/1,0.015,7799341.284493584,9.841860732536336,11085719.255319469,6.867543844433527,1.421366093744322,1.1650541752002639
285,541.1421,21.88,881200.2520579696,714855.356167123,6127.099240156329,33164.51276427874,21.88,4915926.257755501,1627871.2390155306,5299933.503163695,269969.2341786975,C25H25ClN6O4S,541.1421,21.88,1.24,1/1,0.01,408836.8050573819,111.20210902762105,3028425.0585283563,81.53902133873027,7.4074178769284345,5.973724094297125
286,479.1491,6.93,2312698.886083548,2297255.5665974254,1685577.0612059466,1962315.7268344448,6.93,2765416.4197859145,1833486.9949259527,3003142.1603768566,300665.70402592,C26H19ClN8,479.1491,6.93,1.37,1/1,0.01,2064461.8101803414,14.526304554768341,1975677.8197786612,62.02730062886387,0.9569941231347242,0.6985358563027183
287,428.2709,18.57,16600728.86630506,16231611.356827784,620672.6247260075,4458377.821720906,18.57,2488225.255451832,633230.3790597671,4612744.730247527,96316.35788421036,C25H34FN3O2,428.2709,18.57,1.09,1/1,0.335,9477847.66739494,86.14646620224165,1957629.1806608343,104.47813551736793,0.2065478629072442,0.1894934522084809
288,546.2824,6.28,5998655.147352894,5774925.906900551,4656425.087268492,4508980.772013452,6.28,4657666.105302718,3582128.9178352444,4837351.183361022,2336019.00948804,C29H35N7O4,546.2824,6.28,1.04,1/1,0.849,5234746.728383847,14.53403877414762,3853291.303996756,29.933010848222303,0.7360988991317264,0.7077874030112754
289,573.3429,3.92,366154.1019444021,384704.95702049567,258282.6719395055,328737.4854358444,3.92,539535.0253420814,312828.0650085993,522256.4830374049,69374.37152032167,C34H44N4O4,573.3429,3.92,1.24,1/1,0.172,334469.8040850619,16.70443537716139,360998.4862271018,60.95141140158796,1.0793156267562294,0.8704158280292172
290,435.2501,5.46,2550339.7052874044,1822528.4423285816,3210874.627311224,3305292.8424017606,5.46,4338950.167924995,2597739.131507422,4515245.901128111,166977.99673494068,C24H30N6O2,435.2501,5.46,1.41,1/1,0.033,2722258.904332243,25.252769216004555,2904728.2993238675,69.53917025552464,1.0670286704549814,0.7567579223084975
291,434.1688,12.73,6069793.280421791,5818308.572805415,3978932.484796599,4438843.563762372,12.73,6815523.169955634,6800369.421549958,5535284.9181307405,5289132.809435759,C22H22F3N3O3,434.1688,12.73,1.17,1/1,0.033,5076469.475446545,20.17933253865883,6110077.5797680225,13.291069595714609,1.203607666572359,1.0287245013438966
292,485.1883,5.56,2822773.18178057,2655127.3953018785,2750365.100454876,2326096.490319063,5.56,4428764.331012889,4757676.668693271,4484527.805339336,3151637.8823232474,C24H29ClN6OS,485.1883,5.56,1.36,1/1,0.002,2638590.541964097,8.313136831458289,4205651.671842186,17.05379723102499,1.5939008364335339,1.1719859091423042
293,478.1557,26.23,5378172.524725782,4991544.9038333,5613094.865067551,5387006.523595311,26.23,5639631.670709791,4986934.664402327,5792020.751563215,4607449.045500313,C21H24FN5O5S,478.1557,26.23,1.08,1/1,0.056,5342454.704305486,4.828665301493952,5256509.033043911,10.577915145562976,0.9839127000567153,0.9110302778302919
294,409.3322,3.53,1518078.254004736,1284302.9437891385,1863627.6063098009,1715135.8686908996,3.53,1667964.77567218,1433445.7837016762,1515133.260304771,1333589.0630087869,C26H40N4,409.3322,3.53,0.93,1/1,0.363,1595286.1681986437,15.735506821369718,1487533.2206718535,9.502474871118235,0.9324554116529061,1.00264022758377
295,228.0342,6.04,1400364.455536237,1238146.8967317955,816353.9563007427,923057.4046249436,6.04,1274477.8828544142,1607006.1607382866,648971.4666020677,1541769.274251195,C11H11Cl2N,228.0342,6.04,1.11,1/1,0.011,1094480.6782984298,24.795543804671514,1268056.1961114907,34.4683923475421,1.1585916693229485,1.043776278669323
296,639.3768,13.6,10877426.163131803,10228180.64963066,11249078.944934566,12167729.03785362,13.6,11518881.27447354,11678961.838912675,10170594.31305842,10631788.30455662,C36H46N8O3,639.3768,13.6,1.17,1/1,0.151,11130603.698887661,7.276921955458787,11000056.432750314,6.5423070027359875,0.988271322053233,0.8446763436352419
297,628.1011,31.91,1018590.4272490314,802207.175236605,968461.0447321604,708308.5635529285,31.91,1269031.0618815478,968855.9244381072,1101402.005175761,1199534.547534799,C31H32BrNO4S2,628.1011,31.91,1.1,1/1,0.325,874391.8026926813,16.498811806018608,1134705.8847575537,11.474930858694613,1.2977087402503518,1.1797352184094105
298,342.1006,13.09,9506988.506472396,9588248.97398132,2960484.6635274272,5204911.856255807,13.09,11323085.41299708,10229519.149693605,9721478.69848558,4889071.913148126,C18H16ClN3O2,342.1006,13.09,1.09,1/1,0.048,6815158.500059238,48.211578230432885,9040788.793581096,31.494385077200782,1.3265705843088629,1.2170372333108832
299,507.2333,4.11,1196243.3597593035,1163156.6956806462,904385.3440958798,873001.6822851726,4.11,1017937.9517711884,934637.7867130328,709880.3131743701,717727.6836814999,C27H31FN6OS,507.2333,4.11,1.17,1/1,0.27,1034196.7704552505,16.34515282406755,845045.9338350228,18.383256043121072,0.8171036286093177,0.6983791697515537
300,518.1647,27.73,7506210.208875524,6666641.186622845,6971247.710951887,7851357.555967444,27.73,9745768.115848698,7414402.040468094,8478338.345173601,6304132.331960838,C24H22F3N5O5,518.1647,27.73,1.31,1/1,0.021,7248864.165604425,7.322673106734589,7985660.2083628075,18.42486004582049,1.101642964459791,0.8409488278319014
301,414.2865,3.83,7862441.412916228,5596026.3161666775,7093032.646158479,7406565.540539594,3.83,6796618.172340582,4872639.248529608,7022491.281917062,3214194.374463591,C23H35N5O2,414.2865,3.83,0.86,1/1,0.052,6989516.478945244,14.038648162571782,5476485.7693127105,32.690592636585095,0.7835285582070968,0.9110797188454614
302,481.2919,4.64,2286810.5912569994,2270631.790121203,990699.4139499252,1579290.0403215508,4.64,2091335.0285497764,2396961.82666122,2201866.720536113,2338916.114084687,C26H36N6O3,481.2919,4.64,1.04,1/1,0.605,1781857.9589124196,34.91025044986532,2257269.9224579493,6.094923070598836,1.2668068805190866,1.2180835389606601
303,501.2331,14.91,2966448.1930335257,2814251.75389341,22687.86009246973,80390.60103278651,14.91,16164478.839255242,7758674.105872478,15863850.48509144,3061441.5919927843,C26H33FN4O3S,501.2331,14.91,1.16,1/1,0.038,1470944.6020130478,111.51573144189541,10712111.255552985,59.90187825865749,7.282470897199679,6.277992152758344
304,334.0642,5.28,310484.9321198545,130902.50464563433,22721.92784704248,83545.82831850881,5.28,1073797.882871589,711468.3662008478,1078007.9259017855,4576.58675120316,C18H11N3O2S,334.0642,5.28,1.32,1/1,0.001,136913.79823276005,90.49231018394768,716962.6904313563,70.44219785154723,5.236599230214074,3.9671206289500556
305,310.1414,14.76,4921823.827054612,5449589.985112108,534121.1074940874,1531291.557095656,14.76,471885.0380257331,43215.69989836353,1106284.6351978648,9773.718923164492,C15H15N7O,310.1414,14.76,0.99,1/1,0.855,3109206.619189116,78.52724851032877,407789.7730112815,125.3073706435281,0.13115557213036985,0.13248037588926248
306,448.198,14.54,6821565.703220887,6180462.060164636,4103967.710087138,6142318.307984013,14.54,7884740.452403263,5914546.24063359,8078510.226956372,2475768.612206628,C24H25N5O4,448.198,14.54,1.13,1/1,0.057,5812078.445364169,20.312925901768672,6088391.383049963,42.692328988088185,1.0475411576569802,0.9270275731477702
307,354.1268,5.62,2249547.273490313,2307944.3197151143,1412927.6771889336,1546052.9850271218,5.62,2543786.2798460326,2719082.513240539,1718404.2414661827,2462520.362295588,C19H19N3O2S,354.1268,5.62,1.48,1/1,0.008,1879118.063855371,24.759010371929644,2360948.349212086,18.701756927693836,1.2564129921502365,0.8489276973988085
308,592.0988,8.33,9184426.487836791,8754668.332255175,8938439.270496871,9658684.09628123,8.33,6838482.17759858,6692060.355038088,6476680.221966622,6041432.254852882,C23H26IN7O2S,592.0988,8.33,1.05,1/1,0.484,9134054.546717517,4.286884824902152,6512163.752364043,5.3319313331191855,0.7129543314041521,0.6790041251468115
309,401.0467,9.03,3386539.785322655,3307030.210827097,1228156.0822145743,2467046.211034656,9.03,4683325.90300213,4217025.604827447,4824767.847904043,2784127.6509818244,C14H17IN4O2,401.0467,9.03,1.26,1/1,0.08,2597193.072349746,38.61932211174306,4127311.751678861,22.589588012250562,1.5891432160431487,1.2612247746374197
310,501.2051,10.03,15359987.6132252,14172420.69889003,9551312.908080775,12435580.390168885,10.03,16467574.27102696,11165217.556753447,13636562.143301517,8756936.172889037,C29H29ClN4O2,501.2051,10.03,1.09,1/1,0.577,12879825.402591223,19.589682259371475,12506572.535992742,26.448813499112806,0.9710203473314639,0.8908443553499669
311,499.2504,25.26,11539355.59859372,11377649.513387851,12758780.470326524,12245879.783097124,25.26,14371414.4682713,15147280.749507412,10652934.617822256,10659737.920201045,C30H31FN4O2,499.2504,25.26,1.21,1/1,0.063,11980416.341351306,5.353741709909271,12707841.938950505,18.80696052466847,1.060717889668695,0.8766263550980952
312,376.0823,5.49,2839258.451602286,2710602.076885175,2317343.664344122,2009722.1113926864,5.49,2914462.038959392,3014158.64846169,1783386.3628335963,3279285.634828204,C15H19Cl2N3O4,376.0823,5.49,1.3,1/1,0.007,2469231.5760560674,15.321730132103509,2747823.1712707207,24.060275514339803,1.1128252197631574,0.8560193998178134
313,557.0004,30.58,8408832.448187634,8302817.733348649,8204180.083124364,8177447.744962085,30.58,9901876.930030556,9951475.028761275,9518215.560052546,9393866.544506695,C21H19Cl2IN4O2,557.0004,30.58,1.04,1/1,0.042,8273319.5024056835,1.271642291117888,9691358.515837766,2.859901884533068,1.171399039166776,1.1263452299680536
314,519.1233,26.83,11973147.50004338,9986354.276372544,10016265.709757652,12527183.584015705,26.83,16266045.5971068,15062948.745008614,14122100.91920882,13339639.240493732,C27H20ClFN4O4,519.1233,26.83,1.09,1/1,0.385,11125737.76754732,11.846296992170933,14697683.625454491,8.578139697691556,1.3210524940041446,1.211974765141417
