Compound Name,mz_x,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML,mz_y,RT,formula,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
220,351.1959,32.42,14716976.120981667,13699513.023226287,10024364.3525161,14577240.048790144,21362224.191309214,13154578.507286416,12038593.0627658,12743394.82979779,12759870.567615395,15516714.672261026,351.1959,32.42,C23H26O3,0.95,0.71,1/1,14876063.547364682,27.5340173462152,13242630.327945286,10.068564286898432,0.8901972141878379,0.9370496991450926
221,392.2006,21.68,12805711.850482289,12223432.766984858,12223591.145674694,11872926.90770719,12138848.605129804,16977281.177111976,17992020.837791942,17436881.65526069,14904636.245106945,17919078.092587724,392.2006,21.68,C22H28FO5,1.05,0.552,1/1,12252902.255195767,2.781791867667416,17045979.601571854,7.420681699280843,1.391178942470027,1.3249323261619304
222,204.0303,0.64,5904364.473777577,4826428.19001461,6795092.333341682,5579188.990539165,4558468.50204356,3175358.402372128,3073825.352804253,3128914.2585962773,3112681.3338758666,3563779.9409361137,204.0303,0.64,C5H11NO4S,0.74,0.001,1/1,5532708.497943319,16.120329268205065,3210911.857716928,6.247136829781066,0.58035080989908,0.7842578512149729
223,302.1754,3.57,106505361.17832232,96700526.65567744,96529179.86751702,86679732.42443621,112422005.63512734,98331935.86225826,113083657.92865084,66665263.28906588,84315261.71188287,79109261.80122787,302.1754,3.57,C18H23NO3,1.0,0.927,1/1,99767361.15221605,9.982112633177723,88301076.11861715,20.284511994965502,0.8850697773182086,0.8850697773182086
224,339.2167,31.55,567409.9137425137,227546.4196445145,324497.99539260025,958926.1328188732,116001.53029375664,210061.928396984,604127.1062785462,373242.5237714617,236504.94916064217,656387.8602105329,339.2167,31.55,C19H30O5,0.76,0.61,1/1,438876.39837845165,76.33668914339016,416064.8735636334,49.49565043457696,0.9480228946028959,1.2473985455301262
225,331.0439,27.31,76347011.96966381,52328459.49114089,57916846.22370485,54380552.299002215,80314140.56342247,53879198.752623975,53313479.965594456,53897279.28338469,55128708.736451,55166901.98783162,331.0439,27.31,C10H19O6PS2,0.84,0.149,1/1,64257402.10938685,20.350967017424644,54277113.74517715,1.5271176940431825,0.844682666329709,1.005574602773463
226,192.1385,13.76,4204670790.731624,4349438309.256597,4428274568.290499,5062976608.599768,4210234517.00938,4158148318.119445,4043907923.869984,4213189870.462803,4788376472.392081,4161370113.8055854,192.1385,13.76,C12H17NO,0.98,0.753,1/1,4451118958.777574,7.9746731272643645,4272998539.7299795,6.896132256336471,0.9599830018704978,0.9795744917045895
227,340.3695,29.27,235999329.94819292,195290375.18384317,129010853.4498137,196566290.9426007,239493598.2875028,215111477.88296276,217236819.69490469,211284379.62817127,223340238.18903053,242094346.5211561,340.3695,29.27,C21H45N3,1.13,0.474,1/1,199272089.56239066,22.338994525996533,221813452.38324508,5.477015226592363,1.1131185148424756,0.9850606326039608
228,555.253,3.7,426878162.2741289,400217076.9731655,468594315.6899627,361337756.8773405,498512491.3723209,770203246.8582354,845438073.7783196,671715237.8534751,774875349.6302319,782189962.3286953,555.253,3.7,C22H42N4O8S2,1.06,0.445,1/1,431107960.63738364,12.59259938978291,768884374.0897915,8.100513828165125,1.7835077156845187,1.6825544487589799
229,178.1354,29.14,152581.19426500963,343748.8542903585,317770.32348019304,342671.92821652,201283.79116650324,471429.04637189256,388701.5794481288,387593.0304011975,327581.85674440407,280102.927556339,178.1354,29.14,C12H17O,1.27,0.253,1/1,271611.2182837169,32.67121640775352,371081.6881043924,19.442951696878694,1.3662237165652402,1.075766705956882
230,305.1084,29.89,3294661334.3844395,2766931848.496939,3028476100.0031204,2777879207.6066318,3476550303.916012,2759966675.7818747,2704974599.0532446,2814771523.717728,2762691763.5409703,2558217392.978852,305.1084,29.89,C12H21N2O3PS,0.88,0.09,1/1,3068899758.8814287,10.235245318970131,2720124391.0145335,3.620778183773407,0.8863516584868777,1.0072177937350884
231,109.0763,0.59,152424422.31444824,154415323.86842203,149585273.87869582,155384509.22333348,160020659.7625438,154977873.44001538,157664558.66582823,144872617.47567046,157481069.14727145,165277618.08239385,109.0763,0.59,C6H8N2,0.94,0.221,1/1,154366037.80948868,2.5014233504966126,156054747.36223587,4.7076718375815325,1.010939644346066,1.0754677067511342
232,204.1386,18.06,3470123551.3294387,3494768361.133437,3618747580.575361,3478445040.5080867,3559343521.825222,3593780943.733123,3263659051.1769843,3151059424.9025707,3558520921.4163327,3067014076.438869,204.1386,18.06,C13H17NO,0.94,0.43,1/1,3524285611.074309,1.7978289077002516,3326806883.533576,7.165958511899455,0.9439663099607483,1.0042194786816472
233,114.128,0.58,70418241.86826599,68766793.5352316,76066092.35717586,69420083.50765452,68103032.94850226,59874176.87763297,72117841.65462002,56905604.94808276,61414393.818880096,77735777.72664301,114.128,0.58,C7H15N,0.96,0.296,1/1,70554848.84336604,4.5315293790782505,65609559.005171776,13.5397218992208,0.9299085758205936,0.968654766479785
234,291.1957,32.3,296570243.7157447,247036717.2695942,281207255.12954485,287356413.33377826,392903082.2422688,248730967.1273554,240883280.35380727,262863731.25225085,264413770.86750263,366191943.7764744,291.1957,32.3,C18H26O3,0.96,0.719,1/1,301014742.33818614,18.162279941494468,276616738.6754781,18.44793200367459,0.9189474792058616,0.9572369575061059
235,146.1177,0.58,606784370.2214681,584572684.0531837,641974608.4597195,592041074.2727791,580703127.6473783,531513958.58880895,570483496.3171753,504568375.795429,511703638.2142908,648630640.2421218,146.1177,0.58,C7H15NO2,1.03,0.155,1/1,601215172.9309057,4.136756295555798,553380021.8315651,10.676607529647125,0.9204358884255271,0.8936270761412884
236,362.2122,32.25,467892.03719287936,371875.9108388928,560969.2646320362,464886.9350078837,1498891.0735152254,1025042.3825266176,830063.8821297579,957181.7952189116,900092.8599958541,1635252.482643829,362.2122,32.25,C24H27NO2,0.94,0.781,1/1,672903.0442373834,69.33499970290072,1069526.680502994,30.32233598365134,1.5894216702721464,1.6908741173107942
237,220.9536,8.65,28492500.231092144,28510672.034242984,29648366.936588943,29022158.942374613,26740562.305950686,33769484.272625454,34347179.732710384,32625219.92528949,32801305.71633723,31652818.510031592,220.9536,8.65,C4H7Cl2O4P,0.98,0.68,1/1,28482852.090049874,3.7999210979966107,33039201.631398827,3.172327702307571,1.159968163544291,1.1836409832084602
238,279.1595,31.43,1400152525.5022037,991773441.7181612,1111148263.0087633,1040753577.982675,1344757407.6569197,1004026150.8699726,971185114.6195765,970902101.7913288,982325691.2590036,1390678399.5126429,279.1595,31.43,C16H22O4,0.96,0.715,1/1,1177717043.1737447,15.607370787223521,1063823491.6105049,17.222122914427175,0.9032929410138141,0.9409301468893897
239,275.2123,4.42,1006322417.737579,1022974017.9871782,1099341159.4108791,1031524215.2682648,1112381630.6077898,804344461.312753,645091899.768985,885697230.7002935,921839437.26828,879294757.1745768,275.2123,4.42,C17H26N2O,0.86,0.01,1/1,1054508688.2023382,4.548885298273221,827253557.2449777,13.348853090447163,0.7844919311715002,0.9121999199668607
240,215.049,2.42,16252078.926216649,17256103.573378377,15362100.033721885,17394641.660763256,18717698.87889915,20827429.735799447,19828892.373348262,19958914.803422477,19001566.69971919,19658125.70781062,215.049,2.42,C8H10N2O3S,0.93,0.321,1/1,16996524.614595864,7.450230247107815,19854985.86402,3.3067028572243444,1.1681791609897365,1.2561066247201467
241,428.2553,6.76,405423681.0408847,432985485.976354,454160052.0461495,420015738.133039,398378476.47366005,416919655.9550219,383672163.1972522,424885220.4346727,420804087.19535816,395640128.6745454,428.2553,6.76,C24H33N3O4,0.94,0.355,1/1,422192686.73401743,5.284990908900374,408384251.0913701,4.367448210734654,0.9672935224210867,1.0290356621500922
242,214.0996,3.63,392679739.942336,383674721.5926852,365071868.0791034,342155194.4300727,415080383.29744935,602114436.6534219,583954684.7951252,710739413.1391331,613192673.960911,615924283.7171693,214.0996,3.63,C11H16ClNO,0.97,0.633,1/1,379732381.46832937,7.28328056764576,625185098.4531522,7.909703646403791,1.6463834241254829,1.697302499098436
243,427.1176,4.26,199954525.34901625,174429131.35499638,216380604.35423335,214190442.12110123,225469905.23163,193218140.2925468,220599183.6300572,212751793.6735984,214497217.2555323,215739523.87449336,427.1176,4.26,C21H19ClN4O4,1.04,0.449,1/1,206084921.68219545,9.665684830766825,211361171.7452456,4.992795822404631,1.0256023100573397,0.9861560673628266
244,347.2223,13.0,143826674.04919836,147290360.0590605,145932713.4414793,182363677.8265545,147841804.51215023,145376634.9336177,150597376.0100896,145812528.5752622,172172925.16650912,176313285.42791292,347.2223,13.0,C21H30O4,1.05,0.674,1/1,153451045.9776886,10.580979406741028,158054550.02267832,9.484677246027255,1.0299998218693083,0.980952211304103
245,488.1642,6.85,139112538.96211645,139860153.25457928,144910348.4807678,146248631.02176753,140498633.5198018,148624574.15363544,147236955.31307092,142603152.651731,133121534.09684116,138811749.80441415,488.1642,6.85,C22H26ClN7O2S,0.97,0.184,1/1,142126061.04780656,2.2693717797196356,142079593.20393854,4.460240219949747,0.9996730519123275,1.030590775167348
246,489.229,10.46,498743682.0438459,456964482.5745801,361014461.8461197,527680817.5593897,460083163.69464046,466921103.46953,327602953.0251184,522689593.7266895,599167454.0617214,435719280.7302136,489.229,10.46,C23H32N6O4S,0.94,0.324,1/1,460897321.5437152,13.672904183797732,470420077.0026547,21.500959952666225,1.0206613382500125,1.085809934308524
247,245.1752,32.87,9236585.185688358,5782375.568851154,12997603.351104677,4629315.408573396,6160203.952992378,6911183.356638774,11714126.737490796,4528585.476129394,4887529.261211732,6545728.694671346,245.1752,32.87,C14H20N4,0.75,0.134,1/1,7761216.693441993,43.63875293705678,6917430.705228409,41.50574458489355,0.8912817382194007,1.188375650959201
248,233.0924,9.2,775164788.5848454,740550755.9108236,892811745.6817955,731903169.1652961,767403659.3848147,894616700.4899076,878973441.9022729,913363381.6925558,921988943.1263545,861530699.9880673,233.0924,9.2,C12H12N2O3,1.09,0.085,1/1,781566823.7455151,8.283543607295222,894094633.4398317,2.7616369749552163,1.1439772086986086,1.0495203749528519
249,558.2312,21.93,102993454.72531912,101116973.7513086,94380815.97402091,98731211.75520676,102370086.81225222,112137573.23880714,114996380.13510346,108184459.18130338,93066540.54732393,103964087.0464552,558.2312,21.93,C28H36ClN5O3S,0.89,0.034,1/1,99918508.60362151,3.5020524061004443,106469808.02979863,8.04803337950158,1.0655664252572687,1.1972656463564817
250,406.2343,3.35,630191996.6662681,571112536.6580052,652854316.6677555,646982512.644141,706319153.8939867,676911785.2832832,747567419.2067738,760123814.9431331,685579701.2553087,628171037.3589793,406.2343,3.35,C21H31N3O5,1.07,0.295,1/1,641492103.3060312,7.574052682718308,699670751.6094956,7.755343107575616,1.09069269598742,1.019338968212542
251,445.1615,5.21,44074777.8305168,44930953.22178968,45423691.37170017,46236928.48465498,49588461.97040326,56769981.742354825,49853859.58730841,57530112.12679573,57102214.48027671,52305839.0872107,445.1615,5.21,C22H24N2O8,0.98,0.613,1/1,46050962.57581297,4.619455119998035,54712401.40478927,6.283895699665246,1.1880837738129166,1.2123303814417516
252,417.1186,3.43,63833101.31068678,58006382.76709266,65821218.60504327,64307115.47190485,71698914.30435833,56819922.96815629,65539328.85212992,63483484.97847381,59951684.2395173,60512426.28853531,417.1186,3.43,C21H20O9,0.93,0.064,1/1,64733346.49181718,7.565838956228794,61261369.46536253,5.489732556631015,0.9463649384032149,1.017596707960446
253,529.2294,30.89,438574044.9253601,457548932.99378586,465668816.4963057,446348306.6861437,498350165.3154644,440608211.1526195,417832752.8342522,426532872.3130123,425991404.35283554,456586238.6049918,529.2294,30.89,C27H30F6N2O2,0.93,0.108,1/1,461298053.28341186,5.021026472090355,433510295.8515423,3.524656807836247,0.939761815090953,1.0104965753666162
254,359.1972,3.83,369041353.0244072,353245269.08900297,361499489.0591016,353180189.6085621,404715908.0041553,372641877.7952976,387540229.4508712,289212704.29073185,331362428.14710486,258100737.11886343,359.1972,3.83,C20H26N2O4,1.07,0.067,1/1,368336441.75704587,5.804069950124754,327771595.3605738,16.668207376648052,0.8898701247072682,0.8316543221563254
255,313.1776,3.43,223144302.02528945,216694590.66324323,239152576.17666948,229808442.84664023,247935549.48646283,253683609.478365,267141904.2168918,269189367.6001519,240801894.5256149,227532640.17677745,313.1776,3.43,C16H20N6O,1.02,0.814,1/1,231347092.23966104,5.3834400389134505,251669883.19956023,7.027213151893104,1.0878454566390057,1.0665151535676527
256,330.1505,10.85,464153263.3226893,447820139.3276506,374627666.628777,427082697.8668611,448392491.41950446,486889181.1145357,319068656.2922625,526647632.383196,557022386.4937769,354093120.3510615,330.1505,10.85,C19H20FNO3,0.99,0.903,1/1,432415251.7130965,8.067370998505206,448744195.32696646,23.642154006452465,1.037762182414195,1.048244628701207
257,433.2228,22.61,174239961.97906336,157203172.32515475,162610917.24225911,156176473.676998,158189484.58826405,138513003.47618902,145574414.0913551,136454794.87050977,122934484.31773748,137926975.51164094,433.2228,22.61,C24H32O7,0.89,0.049,1/1,161684001.96234784,4.598650231050145,136280734.45348644,6.0533279336761225,0.8428832339591819,0.947059813437283
258,234.1128,11.21,200571927.69782656,163436456.5521394,163682480.45967832,161839926.3610713,157679235.77711642,166812680.97782385,169713882.01414984,165632968.34914717,204046107.7843608,163408046.017922,234.1128,11.21,C13H15NO3,1.02,0.775,1/1,169442005.3695664,10.367841294683675,173922737.02868074,9.770073525409664,1.0264440429003512,1.0063176891179912
259,413.1203,7.33,103678659.54950476,113666205.0364527,107132841.30528636,116199038.65418528,116882236.8501062,139736594.72385123,122411236.92103332,134112341.62166052,123923460.73072822,101539222.7941006,413.1203,7.33,C21H21ClN4OS,1.05,0.159,1/1,111511796.27910706,5.228742983233858,124344571.35827477,11.76689608043963,1.1150799781491105,1.0619809315705815
260,328.1583,3.39,235834767.79224813,204226834.4418085,211416070.29958045,225747501.74384984,218067277.37239867,246875543.7938416,252508482.37168217,256377575.530953,230206763.55570787,221401075.10036883,328.1583,3.39,C16H25NO4S,1.06,0.033,1/1,219058490.32997712,5.616763785589769,241473888.0705107,6.221941191215568,1.1023260851782932,1.0399302690361256
261,163.0868,5.62,245134878.7020322,260482134.0299255,270051373.20139027,256471071.4555286,276954344.1884776,260987521.51918256,259497783.4107976,250110912.3673566,249751081.0726784,261909619.7685064,163.0868,5.62,C9H10N2O,0.94,0.229,1/1,261818760.31547084,4.699606348942713,256451383.62770432,2.3456696510983037,0.979499648224981,1.042020902367001
262,316.2025,3.49,211561553.50003308,200898051.98971105,215902301.0392681,208990012.7068201,231447163.78033268,208625546.13280672,219258152.25497463,153758172.30770668,183175003.03836316,168844566.5724584,316.2025,3.49,C18H25N3O2,1.06,0.373,1/1,213759816.603233,5.28465518591893,186732288.06126192,14.560901802674634,0.8735612288059836,0.8241143667980977
263,223.0869,10.5,1165874088.68511,1195755194.3457112,1290853055.823297,1402914891.7354136,1304584766.7230978,870269776.1152996,377998935.1464317,1416781602.8022835,1713744660.959375,1230155939.3212998,223.0869,10.5,C14H10N2O,0.94,0.631,1/1,1271996399.4625258,7.419994272710991,1121790182.868938,46.011662833302324,0.8819130174762628,0.9382053377407051
264,119.0606,5.08,285508029.83116263,299706006.4716326,325443168.31594497,288243905.6523834,337598337.7638774,295191948.69266766,301985081.28025186,290812398.68969625,276357900.69272166,286132242.5857681,119.0606,5.08,C7H6N2,0.92,0.143,1/1,307299889.6070002,7.531894385748918,290095914.3882211,3.3255433555467366,0.944015680445636,1.0261040004843869
265,185.9776,10.63,2357915.384489834,1552792.4810659725,1545953.1695977822,1844770.8557579664,1615553.50442612,1531830.5796351775,1507038.390811442,1476790.1254287215,2043265.5195819607,1535151.7191582338,185.9776,10.63,C7H4ClNOS,0.94,0.702,1/1,1783397.079067535,19.25280106292348,1618815.266923107,14.72846831069042,0.907714432149636,0.965653651223017
266,226.109,3.81,238816581.00912333,203720829.38831007,303529859.1616159,227165885.667706,300618418.9468895,363233835.7443016,338276139.5246624,408571638.8431424,516259178.77903485,509530511.4530203,226.109,3.81,C12H11N5,0.98,0.645,1/1,254770314.83472902,17.665277341944588,427174260.8688323,19.252920221610175,1.6767034304838173,1.71092186784063
267,296.2012,6.71,1459809676.8861425,1653265663.8826122,1744718352.1400547,1585067313.592682,1577425149.99043,1538245742.7444737,1358027584.64241,1637008734.0486567,1633072308.1398363,1575886953.4320712,296.2012,6.71,C20H25NO,0.99,0.897,1/1,1604057231.2983842,6.544733011129682,1548448264.6014895,7.371917773802414,0.9653323050999355,0.9750831364645813
268,425.2443,5.67,301613067.09026206,287841640.039935,276986717.7111249,293121409.84649414,278360572.11103725,337332509.29517883,303075524.8806039,327509268.6867894,305292541.90122855,287039698.18579406,425.2443,5.67,C25H32N2O4,1.16,0.084,1/1,287584681.35977066,3.5839078176182158,312049908.589919,6.468867817801524,1.0850713852854428,0.9354063666253818
269,457.2343,8.6,1324268135.6108515,1399520710.4906223,1479488965.6301804,1375604276.123071,1394672880.2139704,1498440663.0064085,1295819107.894221,1498381365.8024037,1408089597.6345043,1132037935.141107,457.2343,8.6,C25H32N2O6,0.88,0.015,1/1,1394710993.613739,4.014160714851028,1366553733.895729,11.36592043647279,0.9798114018983577,1.11342204761177
270,223.0757,20.79,897500660.1450992,793967472.4510032,773846218.8838669,887849266.6377975,778334784.3983108,717713704.3997017,725224149.9257301,726344258.6961523,845599896.7567401,871989125.1796385,223.0757,20.79,C15H10O2,0.97,0.759,1/1,826299680.5032154,7.399970335110111,777374226.9915925,9.645673090018876,0.9407896981373303,0.9698862867395157
271,433.8753,3.54,111150590.24650228,114090629.80481584,117499769.9303544,111690538.10302845,130264375.81676276,129921066.04082862,133437670.38148151,135371520.81566846,120032515.22337334,115615395.72094604,433.8753,3.54,C9H9I2NO3,1.04,0.647,1/1,116939180.78029275,6.720449227946164,126875633.63645959,6.804546982390601,1.084971117377978,1.0432414590172865
272,156.1024,0.58,157249174.97746724,153661654.44104064,150528551.16638452,165572802.3289417,166655672.73191047,143756953.18658426,160081673.56448746,138744386.87998956,142254473.30412415,157736147.47284895,156.1024,0.58,C8H13NO2,0.97,0.413,1/1,158733571.1291489,4.507649955205444,148514726.88160688,6.5292176614269515,0.9356226652317439,0.9645594486925195
273,329.1947,6.35,200122992.2920477,211022462.0700813,266929609.7391757,220565257.52764937,224433013.11258784,180448967.2745264,171734873.655482,180486526.10657528,170862322.9123208,169265827.47870484,329.1947,6.35,C17H28O6,0.68,0.002,1/1,224614666.94830838,11.332188902989374,174559703.48552185,3.1310113128267565,0.7771518479053466,1.1428703645666862
274,175.0392,29.15,110462.32532786133,97706.83371502985,58329.80585695682,105729.40004357084,101163.57385644692,175809.21942290437,124076.8911489024,102570.13952244632,108895.98956581226,154603.11909325287,175.0392,29.15,C10H6O3,1.12,0.711,1/1,94678.38775997315,22.052396493353335,133191.07175066363,23.400866114792105,1.406773762226783,1.256048001988199
275,225.0913,18.59,228995668.16605788,229684951.27355197,231339105.0896182,227013397.18596503,227865638.9975339,280296930.454207,227591909.46009973,224376548.81211892,270799355.9104508,217769552.8931416,225.0913,18.59,C15H12O2,1.14,0.085,1/1,228979752.1425454,0.729854933093933,244166859.50600362,11.90159253601805,1.0663251105014904,0.9353729039486759
276,189.0549,7.76,16083006.230956558,14968939.498555155,15959139.126939263,15004367.427941896,14793614.679598188,16848107.980281048,16575326.975290714,15805812.008425336,15445401.174308108,21234164.56290088,189.0549,7.76,C11H8O3,1.11,0.312,1/1,15361813.392798211,3.9621844324534394,17181762.54024122,13.590097741028487,1.1184722858498086,1.0076326899547825
277,331.2597,6.23,896519.896271098,894449.3906570977,2289820.621562894,1276119.5867229258,835659.5788131248,855211.6038696795,899119.6066391302,955282.3065463712,1082092.903111591,1208909.620851311,331.2597,6.23,C20H36O2,1.0,0.99,1/1,1238513.814805428,49.51482033977378,1000123.2082036166,14.448358601733513,0.8075188150894684,0.8075188150894684
278,386.2444,7.77,1175482665.0770092,1264503414.9946597,1374203752.4673944,1282314542.333954,1303301475.404312,1160462617.01585,1047485178.6517724,1231723502.3733432,1223265879.781772,1195017310.0078204,386.2444,7.77,C22H31N3O3,1.11,0.03,1/1,1279961170.055466,5.604879628731849,1171590897.5661116,6.381761742286818,0.9153331561732782,0.8246244650209712
279,318.2431,17.79,2297552996.759696,2403105320.7481813,1593128332.6571474,2282926967.304429,2315761110.51046,2524973126.156326,1617690373.891252,2853048268.5358725,3020560709.786293,2239138307.2991266,318.2431,17.79,C20H31NO2,1.04,0.277,1/1,2178494945.5959826,15.172860411440356,2451082157.133774,22.631152735074505,1.1251263915433223,1.0818522995608868
280,325.115,0.59,6608809.454189783,7110943.466449328,7153570.758086332,9111704.587114558,7992889.806712061,7219961.97229775,7175488.525231857,7193573.743430718,6613737.753740257,8633433.991124807,325.115,0.59,C13H16N4O6,1.12,0.205,1/1,7595583.614510412,12.93384953271571,7367239.197165078,10.2019717853182,0.9699372123415096,0.8660153681620621
281,447.0931,6.33,131666237.22480118,126190549.91898116,140067328.90019307,126888804.78277564,126769661.01196688,144438201.90081623,154247802.50123185,128401105.657897,125562699.20085022,136143228.75921673,447.0931,6.33,C21H18O11,1.14,0.04,1/1,130316516.36774358,4.5113648394510735,137758607.60400242,8.553880729298195,1.0571078129134284,0.927287555187218
282,265.1914,0.58,144189323.7642538,139018849.76539442,142572048.32597527,146790743.2726751,151745436.63242522,125056289.76839793,137570874.75670412,125187438.4263162,127289693.77379069,139911502.44364998,265.1914,0.58,C15H24N2O2,0.97,0.616,1/1,144863280.35214475,3.291473804364465,131003159.8337718,5.47096159391383,0.9043227484240264,0.9322914932206458
283,249.1965,0.58,159997435.136514,154692559.932957,146602564.89465475,158832295.00416,166851407.0055552,138162616.72285235,157076521.62171286,136706568.30761686,141369510.53590658,151960253.88970518,249.1965,0.58,C15H24N2O,1.01,0.602,1/1,157395252.39476818,4.733647330929723,145055094.21555877,6.19479954249146,0.9215976467431263,0.9124729175674517
284,385.13,4.47,74534440.11751993,67777774.57934214,76113996.65896717,74664034.21500333,79364023.93820442,79704599.04814029,80328502.87612689,75752876.23086908,77864169.56632364,74536106.59128357,385.13,4.47,C22H16N4O3,1.1,0.142,1/1,74490853.9018074,5.6749027525650275,77637250.86254868,3.2030707891264227,1.0422387017457044,0.9474897288597313
285,343.1441,4.4,397926595.6743102,370470775.7497628,346178328.0658707,400933998.9806745,428467421.8503473,385722843.85566974,323222957.33394915,391876978.923668,361644005.5212752,297395942.6446345,343.1441,4.4,C14H22N4O4S,0.95,0.123,1/1,388795424.0641931,8.089281521665916,351972545.6558393,11.56703823160786,0.9052898359156767,0.9529366693849228
286,153.0525,0.92,5088188.308078997,4881584.779861506,6514742.735222254,3009513.4772192934,4912526.385185209,6324777.293193188,7347024.381243914,6963260.395307334,6648221.421025263,6943887.729493798,153.0525,0.92,C4H4N6O,0.94,0.507,1/1,4881311.137113452,25.53709402639183,6845434.244052699,5.587285546253633,1.4023761345605854,1.4918895048516867
287,395.2136,10.75,1546622693.1524367,1425927109.9641595,1184599214.713179,1432893536.2782185,1408505305.7424347,1518048821.0913043,1159754271.5780492,1462954463.5989826,1550115805.6533594,999159711.5213344,395.2136,10.75,C24H27FN2O2,0.97,0.6,1/1,1399709571.9700856,9.432275184894332,1338006614.688606,18.29207346901008,0.9559173141935202,0.9854817672098147
288,381.2543,11.94,723412333.2202666,638951046.8104961,666244940.4185208,778856180.1955407,639970309.8017614,622977672.4255953,633109495.3117926,621272578.0662245,720103511.218411,599853510.7802507,381.2543,11.94,C24H32N2O2,0.97,0.671,1/1,689486962.0893171,8.78744342728699,639463353.5604547,7.299342766990953,0.927448071857257,0.956132032842533
289,453.2618,4.74,55591891.54161677,58605332.21636446,113815850.41524704,67333218.39599445,73616083.0002231,119224897.53573878,103770018.1229325,116251660.88425432,88698399.921284,58656372.3884612,453.2618,4.74,C24H32N6O3,1.05,0.818,1/1,73792475.11388916,31.821073626691643,97320269.77053416,25.42523162102526,1.3188373153269746,1.2560355384066424
290,330.1276,5.33,1397646682.421392,1394956139.7111244,1499474879.936503,1403739806.0459294,1565836240.746903,1312525983.999788,1279470456.681538,1366199553.8761864,1373738217.2139044,1361306734.2578745,330.1276,5.33,C17H19N3O2S,0.92,0.12,1/1,1452330749.77237,5.3055477749606945,1338648189.2058582,3.054620313349638,0.9217240559119678,1.0018739738173563
291,426.9846,18.51,181944672.80721685,181752186.11637405,116572423.3692568,188259743.4966547,183291194.62224257,192607060.39046675,86113746.81905232,221883395.5594549,237692685.58073083,181888435.784834,426.9846,18.51,C17H18Br2N2O,1.08,0.169,1/1,170364044.082349,17.71835271916894,184037064.82690775,32.12121833437559,1.080257667151583,1.00023858069591
292,347.1257,3.96,56904520.43049707,49356995.36647107,51243410.50110707,55892886.98176834,62859563.7884144,64483213.26037026,61061887.59379705,57868922.46264303,61708844.61182634,51424866.42377888,347.1257,3.96,C18H14N6O2,1.04,0.444,1/1,55251475.413651586,9.57012962449999,59309546.870483115,8.423503494558773,1.0734472957771704,1.0321608613242022
293,618.2413,7.72,87645094.66698208,90966305.12824588,121234344.72832882,96854925.84740108,102648727.31914245,72157353.80083781,51428800.307107314,81978033.49696565,84055474.45929809,79672702.34364375,618.2413,7.72,C28H40BrN7O4,0.7,0.001,1/1,99869879.53802006,13.264630643717457,73858472.88157053,18.03456502189506,0.7395470308287787,1.0564957583268269
294,526.2182,23.05,1112140770.5821366,930703048.4588696,783568794.4332138,927962347.766501,820906273.3754007,1015523303.0100348,1011803776.896266,1002348277.3207054,982035957.068637,931674914.8454098,526.2182,23.05,C26H26F3N7O2,1.04,0.444,1/1,915056246.9232242,13.974423079211892,988677245.8282105,3.480269786884775,1.0804551623493406,1.0388991945666737
295,334.1667,29.57,582185546.5567236,487846472.2247127,488669672.5871945,492606025.0750704,557396579.7388159,453180487.8949858,473086925.9020597,470170149.533989,461664224.4617871,531767183.5797583,334.1667,29.57,C19H19N5O,0.94,0.29,1/1,521740859.2365034,8.580273039710784,477973794.2745159,6.498535991893396,0.9161134034508346,0.974588727075356
296,330.0588,25.48,11078108.62359226,14620493.237248886,10840566.047759945,11056226.659447338,11103222.72126119,10835855.794179328,11059044.681637691,10848244.400654344,10175312.336501991,10088012.6363221,330.0588,25.48,C14H10F3NO5,0.94,0.575,1/1,11739723.457861925,13.74645912661675,10601293.96985909,4.139858400614856,0.9030275719790959,0.9606676297649956
297,397.1709,6.19,43964930.56971711,40983631.69163203,38898081.12184793,41257764.19311747,41176916.63457224,53255616.36474176,54771771.57358573,49828307.06287414,47329215.2751886,44978151.877580345,397.1709,6.19,C21H24N4O2S,1.27,0.0,1/1,41256264.842177354,4.366091291659551,50032612.43079411,8.103047061771477,1.2127276335409907,0.954903648457473
298,455.0447,26.8,230459777.32387605,229058815.6786464,236347285.20971367,244735335.28287256,247580075.01830116,224241597.0860652,216756074.24464405,223876242.20074883,223787356.8999952,218622583.69469717,455.0447,26.8,C19H17Cl3N4O3,0.83,0.0,1/1,237636257.70268196,3.4955978926472002,221456770.82523006,1.5831814190228222,0.9319149062779182,1.1227890437083352
